,DSC,0
0,20.0,58.70025
1,5.0,51.404537
2,85.0,44.626945
3,55.0,51.263252
4,40.0,53.112812
5,85.0,53.515102
6,95.0,65.09352
7,100.0,54.904186
8,55.0,49.18856
9,80.0,53.815117
10,5.0,42.76712
11,55.0,51.301933
12,5.0,38.497276
13,65.0,46.321404
14,100.0,63.110077
15,55.0,54.295055
16,25.0,55.892612
17,20.0,45.324863
18,40.0,57.983753
19,75.0,65.16093
20,20.0,53.16458
21,75.0,76.684875
22,80.0,62.887997
23,45.0,58.855988
24,55.0,53.501205
25,55.0,52.82258
26,55.0,40.809525
27,5.0,44.909813
28,75.0,70.9342
29,5.0,44.95639
30,85.0,59.394745
31,55.0,47.045063
32,95.0,70.76504
33,55.0,45.937984
34,45.0,54.81407
35,85.0,59.17987
36,45.0,58.754734
37,85.0,55.722813
38,85.0,68.585815
39,20.0,52.91399
40,5.0,30.968834
41,55.0,57.158398
42,20.0,52.638638
43,40.0,36.685303
44,55.0,56.17404
45,55.0,55.02776
46,5.0,50.428055
47,45.0,67.24653
48,5.0,36.42596
49,5.0,49.13202
50,40.0,48.82213
51,20.0,58.120033
52,20.0,53.551376
53,5.0,52.20944
54,40.0,44.28703
55,20.0,53.93344
56,80.0,60.888344
57,75.0,59.140205
58,5.0,42.9849
59,100.0,59.590256
60,45.0,59.428238
61,45.0,58.467197
