,DSC,0
0,80.0,60.531048
1,65.0,56.548645
2,5.0,48.492413
3,80.0,69.113556
4,55.0,52.78456
5,20.0,51.15603
6,55.0,74.509384
7,95.0,68.4613
8,55.0,52.124313
9,5.0,40.52587
10,5.0,30.80162
11,5.0,33.654045
12,85.0,66.28753
13,95.0,71.73023
14,55.0,46.025658
15,75.0,71.54269
16,55.0,63.90641
17,40.0,62.27022
18,80.0,54.607582
19,25.0,46.714222
20,20.0,51.297295
21,55.0,36.22882
22,5.0,52.848705
23,85.0,50.498016
24,75.0,63.927498
25,75.0,74.50462
26,40.0,23.19343
27,40.0,46.080032
28,45.0,55.90323
29,25.0,33.957874
30,100.0,69.236916
31,45.0,59.075527
32,85.0,49.68757
33,40.0,51.619553
34,55.0,54.41691
35,65.0,70.84787
36,65.0,64.70425
37,5.0,52.77284
38,5.0,54.04347
39,45.0,45.1877
40,40.0,40.64106
41,85.0,54.28491
42,5.0,34.720963
43,80.0,52.599735
44,100.0,57.959213
45,20.0,41.137653
46,5.0,47.843723
47,75.0,61.329697
48,5.0,52.326508
49,65.0,50.897137
50,75.0,42.25662
51,20.0,55.338947
52,55.0,55.758972
53,55.0,47.27051
54,75.0,61.49211
55,5.0,62.53816
56,20.0,64.953156
57,40.0,47.014397
58,40.0,60.112255
59,55.0,38.904575
60,40.0,54.303818
61,95.0,70.30349
62,65.0,51.166084
63,85.0,49.721622
64,75.0,57.626427
65,20.0,35.19635
66,75.0,75.05263
67,5.0,62.807922
68,45.0,61.433426
69,20.0,54.73384
70,75.0,57.127853
71,90.0,61.449833
72,5.0,55.166515
73,5.0,44.386414
74,95.0,59.53664
75,40.0,59.055256
76,95.0,57.29189
77,20.0,56.370346
78,5.0,47.314293
79,5.0,35.444073
80,40.0,47.519066
81,65.0,45.090427
82,5.0,56.972206
83,5.0,55.250683
84,85.0,67.3197
85,5.0,53.537037
86,100.0,49.50228
87,55.0,52.95362
88,65.0,56.04226
89,20.0,32.254623
90,40.0,40.083534
91,45.0,58.839436
92,95.0,55.854397
93,45.0,48.482773
94,40.0,61.828056
95,40.0,49.739964
96,20.0,48.535854
97,95.0,63.804073
98,85.0,51.37704
99,55.0,59.131138
100,5.0,47.600998
101,55.0,56.56044
102,5.0,53.341198
103,25.0,39.824203
104,95.0,45.466263
105,95.0,55.58868
106,40.0,62.785645
107,100.0,68.59822
108,80.0,52.333706
109,55.0,56.129314
110,90.0,62.4479
111,55.0,44.616383
112,5.0,53.542107
113,25.0,59.117184
114,55.0,60.85134
115,40.0,41.38124
116,55.0,54.36519
117,45.0,48.46129
118,45.0,36.936905
119,5.0,42.218452
120,85.0,66.35674
121,75.0,49.806404
122,5.0,39.690582
123,5.0,47.998665
124,55.0,64.50907
125,55.0,65.54918
126,20.0,48.975945
127,40.0,53.030285
128,95.0,62.521076
129,40.0,41.439934
130,40.0,52.596645
131,5.0,49.703735
132,5.0,46.014214
133,5.0,45.271484
134,75.0,59.26469
135,40.0,47.64551
136,5.0,43.626774
137,20.0,36.820854
138,45.0,55.006744
139,55.0,67.67832
140,40.0,76.64017
141,40.0,45.994297
142,75.0,67.12792
143,75.0,66.33269
144,25.0,45.206818
145,95.0,50.471523
146,95.0,56.764896
147,95.0,51.92451
148,75.0,63.28131
149,55.0,54.912987
150,55.0,56.284187
151,20.0,43.18471
152,5.0,52.891388
153,45.0,49.952293
154,40.0,47.116505
155,5.0,66.34419
156,20.0,36.60924
157,55.0,52.553043
158,25.0,59.697655
159,40.0,53.27584
160,25.0,44.302982
161,5.0,47.767258
162,100.0,53.745655
163,5.0,48.88569
164,100.0,59.337273
165,20.0,34.67288
166,40.0,44.89519
167,100.0,57.869522
168,5.0,50.154427
169,40.0,40.902695
170,45.0,76.89918
171,85.0,51.352592
172,5.0,45.60422
173,40.0,53.43792
174,85.0,56.262287
175,65.0,58.29547
176,40.0,39.98044
177,40.0,46.54892
178,5.0,47.368176
179,20.0,43.500435
180,5.0,50.79167
181,100.0,62.673275
182,55.0,51.797127
183,55.0,60.81007
184,45.0,51.596077
185,40.0,43.9127
186,55.0,52.96994
