,DSC,0
0,40.0,55.937428
1,55.0,59.915955
2,20.0,61.61431
3,100.0,67.383766
4,80.0,67.41049
5,40.0,59.310036
6,20.0,56.84931
7,20.0,47.62725
8,5.0,47.314804
9,5.0,47.88314
10,85.0,54.07535
11,45.0,65.205284
12,40.0,46.17756
13,100.0,50.390472
14,55.0,50.41639
15,75.0,58.860672
16,75.0,56.96242
17,5.0,47.449432
18,100.0,70.16506
19,40.0,50.49718
20,55.0,49.15927
21,25.0,58.599846
22,45.0,42.54235
23,40.0,45.933296
24,55.0,42.495888
25,40.0,57.57033
26,95.0,72.5462
27,90.0,61.82616
28,65.0,57.81982
29,5.0,40.584496
30,55.0,43.041645
31,55.0,45.498466
32,100.0,67.93759
33,45.0,43.152702
34,5.0,44.034393
35,40.0,44.587906
36,20.0,46.337257
37,55.0,63.039154
38,5.0,62.036835
39,20.0,52.464584
40,40.0,51.167114
41,75.0,66.44801
42,40.0,32.100872
43,20.0,52.01872
44,20.0,42.363506
45,65.0,47.100864
46,40.0,40.32248
47,90.0,54.358185
48,20.0,53.83271
49,100.0,62.673454
50,25.0,49.948875
51,100.0,59.267113
52,40.0,48.207687
53,75.0,54.866066
54,45.0,59.614735
55,25.0,36.92226
56,65.0,54.947403
57,55.0,58.72538
58,75.0,67.00233
59,85.0,65.40979
60,20.0,53.477028
61,20.0,42.32768
