,DSP,0
0,75.0,78.0092
1,50.0,67.40784
2,45.0,54.648754
3,30.0,52.51443
4,75.0,84.4404
5,95.0,87.08146
6,65.0,61.705173
7,80.0,72.734184
8,100.0,67.527725
9,5.0,28.610378
10,60.0,66.48189
11,100.0,98.54562
12,85.0,89.84366
13,60.0,58.11763
14,75.0,76.026306
15,95.0,91.72243
16,30.0,47.98873
17,30.0,46.993977
18,30.0,48.737038
19,75.0,76.3626
20,5.0,48.86088
21,60.0,69.03586
22,50.0,71.54777
23,45.0,57.46958
24,60.0,64.82609
25,45.0,74.553215
26,50.0,68.8737
27,85.0,87.93641
28,80.0,80.5379
29,50.0,60.12798
30,50.0,79.37436
31,90.0,63.72047
32,85.0,67.84188
33,80.0,91.90645
34,80.0,84.054146
35,30.0,61.678978
36,65.0,71.72358
37,95.0,66.686424
38,65.0,76.60995
39,65.0,83.61081
40,95.0,77.40252
41,45.0,67.01032
42,30.0,74.42796
43,45.0,62.119377
44,60.0,81.15692
45,5.0,73.49185
46,60.0,65.67275
47,50.0,73.888794
48,50.0,64.131775
49,60.0,64.05824
50,85.0,98.28232
51,95.0,63.36239
52,85.0,84.30447
53,30.0,60.76873
54,5.0,69.49146
55,95.0,92.4147
56,5.0,62.15213
57,60.0,74.3365
58,30.0,51.871723
59,60.0,67.14093
60,5.0,36.59166
61,95.0,99.62653
62,75.0,84.73203
63,75.0,88.75317
64,60.0,73.08401
65,30.0,40.9436
66,30.0,48.477604
67,85.0,88.25724
68,30.0,43.93294
69,45.0,52.058926
70,45.0,64.75174
71,50.0,56.69761
72,5.0,62.348347
73,100.0,71.66523
74,30.0,57.452724
75,45.0,49.404255
76,50.0,66.24937
77,45.0,57.713245
78,30.0,59.500347
79,30.0,31.411829
80,60.0,62.861767
81,60.0,77.873924
82,30.0,65.911354
83,30.0,40.387836
84,75.0,82.20649
85,5.0,59.33533
86,5.0,66.81168
87,5.0,59.458622
88,45.0,64.48081
89,60.0,78.64936
90,45.0,52.254066
91,60.0,67.79283
92,30.0,53.68343
93,90.0,94.52152
94,5.0,69.06653
95,30.0,56.84795
96,65.0,65.4181
97,5.0,66.406364
98,95.0,79.06403
99,5.0,46.14844
100,60.0,79.904015
101,95.0,108.41801
102,60.0,67.55023
103,60.0,68.487236
104,100.0,65.852066
105,45.0,56.858536
106,80.0,62.93912
107,5.0,82.06424
108,5.0,65.82878
109,60.0,77.74411
110,60.0,74.35287
111,5.0,64.92644
112,5.0,68.81792
113,50.0,47.094097
114,45.0,64.83137
115,5.0,27.946205
116,100.0,66.61187
117,60.0,82.53837
118,65.0,72.498665
119,5.0,70.00637
120,50.0,61.64906
121,50.0,63.802383
122,65.0,84.22439
123,50.0,67.08937
124,80.0,93.209175
125,30.0,63.124237
126,90.0,93.695045
127,45.0,67.80154
128,60.0,67.293335
129,60.0,68.51182
130,60.0,68.062225
131,100.0,76.05032
132,95.0,89.41631
133,60.0,65.82172
134,75.0,70.55933
135,85.0,71.71954
136,95.0,89.84901
137,5.0,45.017002
138,60.0,66.778984
139,45.0,65.672035
140,45.0,52.670845
141,100.0,84.715034
142,45.0,68.70903
143,60.0,69.46683
144,85.0,88.10331
145,95.0,75.70676
146,75.0,64.39043
147,30.0,54.289227
148,50.0,77.085045
149,95.0,71.198006
150,65.0,76.32584
151,85.0,74.84732
152,30.0,59.870106
153,45.0,61.138447
154,65.0,79.13203
155,45.0,60.953114
156,5.0,50.576687
157,45.0,60.374672
158,90.0,82.40949
159,60.0,68.51851
