,DSP,0
0,60.0,72.24275
1,60.0,76.09233
2,45.0,62.852364
3,30.0,58.41108
4,80.0,78.16789
5,5.0,57.269424
6,95.0,102.978325
7,60.0,82.139175
8,85.0,76.9354
9,30.0,62.30113
10,60.0,71.94741
11,80.0,87.88854
12,80.0,83.76085
13,75.0,76.2689
14,45.0,72.30269
15,75.0,68.5863
16,30.0,70.95323
17,80.0,93.35824
18,45.0,62.62873
19,75.0,76.7886
20,60.0,60.70103
21,30.0,76.27507
22,75.0,68.07752
23,85.0,69.82953
24,5.0,29.50911
25,75.0,72.26196
26,95.0,68.977104
27,30.0,64.10807
28,60.0,76.462
29,75.0,82.407364
30,90.0,88.5323
31,5.0,32.582554
32,60.0,71.807
33,85.0,85.41351
34,60.0,70.36406
35,45.0,67.97437
36,80.0,74.88119
37,30.0,58.4872
38,80.0,68.409195
39,50.0,56.594273
40,30.0,68.64682
41,75.0,72.805275
42,85.0,89.82786
43,75.0,74.91851
44,50.0,61.53633
45,60.0,65.9386
46,90.0,95.56254
47,5.0,82.565704
48,90.0,64.099266
49,60.0,79.463684
50,100.0,70.20555
51,65.0,68.44576
52,60.0,67.662865
53,95.0,89.74984
54,75.0,63.097614
55,85.0,96.76439
56,5.0,52.251934
57,95.0,75.59547
58,45.0,69.515526
59,100.0,92.64169
60,85.0,70.01138
61,100.0,80.26342
