,ECCENTRICITY,0
0,1.0,11.128822
1,0.75,13.901045
2,2.75,16.789307
3,0.0,9.916684
4,1.0,13.356078
5,0.25,5.391221
6,0.75,10.12315
7,1.0,12.660437
8,1.75,12.97797
9,0.0,10.070158
10,1.0,9.921028
11,0.75,9.078482
12,0.0,6.89128
13,0.0,9.766336
14,1.25,12.591698
15,0.0,6.701133
16,0.0,9.646185
17,0.0,11.700405
18,1.25,15.098466
19,0.0,7.926817
20,2.5,14.81888
21,0.5,10.841595
22,0.25,10.517879
23,1.25,10.062128
24,0.0,9.9545355
25,0.0,7.3271055
26,0.5,10.084656
27,0.5,13.911367
28,1.25,10.283272
29,0.5,8.477278
30,2.75,16.858912
31,0.75,8.682507
32,0.0,13.271849
33,0.0,10.491228
34,0.0,11.655558
35,0.0,9.0964365
36,2.0,19.262049
37,0.0,11.540456
38,2.75,15.742538
39,0.75,11.211993
40,0.25,10.190762
41,1.5,10.553301
42,2.75,16.855244
43,0.0,8.609283
44,1.5,15.354046
45,2.5,11.319271
46,2.0,8.252248
47,0.25,10.971184
48,0.25,11.015444
49,1.0,12.170813
50,0.0,9.271471
51,3.0,16.390398
