,ECCENTRICITY,0
0,0.0,11.598859
1,1.75,10.255667
2,1.5,11.1901455
3,0.0,7.1508293
4,0.75,8.035877
5,0.0,9.592598
6,0.25,6.8383827
7,1.75,12.164032
8,0.0,8.349016
9,0.0,12.769189
10,0.25,13.546101
11,1.0,12.896383
12,0.0,9.105244
13,0.25,14.0736685
14,0.75,13.798777
15,0.0,11.791535
16,0.5,7.040945
17,0.5,9.292613
18,0.25,13.162723
19,1.0,12.74456
20,1.75,14.981501
21,1.5,11.263221
22,0.0,8.737856
23,0.75,9.569998
24,0.0,12.567137
25,0.0,8.562982
26,2.25,14.117721
27,0.0,8.788591
28,0.75,12.618888
29,1.75,8.128802
30,2.25,18.127682
31,1.5,16.423597
32,0.0,8.538997
33,1.0,15.389704
34,2.75,11.339409
35,0.0,9.1863575
36,3.0,18.41469
37,0.75,9.624575
38,1.25,11.262964
39,0.0,10.040697
40,1.0,15.026453
41,0.25,12.861353
42,1.5,12.292902
43,0.0,10.941218
44,0.5,11.14319
45,0.25,7.8178663
46,0.0,6.599259
47,2.5,13.785742
48,0.75,7.143692
49,0.75,12.847825
50,1.25,13.258278
51,0.0,9.535191
52,0.0,10.827716
53,0.0,4.568992
54,0.0,10.637233
55,1.0,8.991737
56,2.0,9.346018
57,0.75,10.325149
58,1.5,8.32175
59,2.25,11.283073
60,0.0,10.733921
61,2.0,13.084261
62,0.0,8.981353
63,2.75,12.472901
64,0.5,11.694549
65,0.0,8.309491
66,0.0,7.1187215
67,0.0,8.516209
68,0.75,14.580564
69,0.0,6.5631647
70,0.0,7.40965
71,0.0,8.945466
72,1.75,15.931089
73,2.0,14.573828
74,1.5,8.421035
75,0.5,7.5999336
76,0.25,11.601738
77,1.5,12.429764
78,0.25,7.8808584
79,3.0,16.024343
80,2.25,12.827419
81,1.5,11.506799
82,0.0,7.028182
83,2.25,14.127447
84,0.0,4.7515397
85,0.5,9.592898
86,1.0,13.407978
87,0.25,9.845543
88,2.25,13.698738
89,0.0,7.488249
90,0.0,8.763143
91,0.0,11.864962
92,0.0,11.963164
93,0.0,11.832338
94,0.0,6.833501
95,0.0,10.534487
96,2.0,14.069347
97,0.75,11.963979
98,1.5,11.980835
99,0.0,8.480159
100,2.75,16.627617
101,0.0,11.623584
102,1.75,14.329654
103,0.5,11.800841
104,0.25,12.568907
105,2.0,13.408965
106,1.0,11.268301
107,1.25,12.356911
108,0.25,7.9354286
109,0.0,7.3751345
110,0.25,12.325743
111,0.5,11.856768
112,0.25,6.2888713
113,1.5,14.275034
114,0.5,11.088806
115,1.75,14.5628395
116,0.0,8.50355
117,0.0,8.809652
118,0.0,8.550358
119,0.0,10.699314
120,2.25,11.432146
121,0.75,10.440616
122,0.5,7.96274
123,1.5,11.854105
124,0.0,10.632532
125,1.0,11.0908165
126,1.75,13.274249
127,0.0,7.4717245
128,0.0,8.421726
129,0.0,8.436504
130,0.0,7.528816
131,0.0,13.117718
132,0.25,13.628365
133,1.0,13.824659
134,0.0,5.6757984
135,2.5,14.933475
136,1.5,11.403808
137,0.25,8.431935
138,2.0,10.985239
139,0.0,10.887716
140,0.75,14.94248
141,0.0,9.347492
142,2.0,11.295677
143,0.25,13.053721
144,0.0,7.717841
145,2.0,14.978092
146,0.0,10.620777
147,1.75,11.835128
148,0.0,7.091696
149,0.0,8.687916
150,1.0,15.106999
151,0.25,5.173805
152,0.0,7.5850964
153,0.0,9.4189005
154,0.5,11.086126
155,1.0,11.589815
156,1.75,16.365088
157,0.75,10.12406
158,0.0,11.792259
159,1.5,13.872488
160,0.75,11.533573
161,0.0,9.760946
162,0.0,5.6766996
163,0.25,10.933526
164,0.0,7.732642
165,0.0,5.758095
166,0.0,6.4834085
167,0.5,11.266568
168,0.75,10.981398
169,0.25,6.5611134
170,1.5,13.197514
171,0.75,9.7731695
172,0.0,3.106513
173,0.0,7.682275
174,3.0,11.855374
175,1.75,12.356983
176,0.0,10.644846
177,0.0,12.726955
178,2.75,16.672472
179,1.75,15.01487
180,1.5,12.304407
181,0.0,8.354105
182,0.0,8.237921
183,0.75,11.655811
