,ECCENTRICITY,0
0,1.5,13.559551
1,0.5,6.8838744
2,2.25,10.939117
3,2.5,13.634
4,0.0,7.8797455
5,0.0,9.020386
6,0.0,12.947209
7,0.25,11.251333
8,1.25,9.7434225
9,0.5,10.320642
10,1.25,13.278978
11,1.5,10.01539
12,1.0,15.316282
13,1.75,11.413956
14,1.5,13.687982
15,0.25,9.061482
16,1.25,11.733421
17,0.25,11.569949
18,0.0,7.4285965
19,0.25,7.5418806
20,0.0,6.025649
21,3.0,16.175074
22,0.25,13.9888115
23,2.0,8.220917
24,0.75,10.218426
25,1.5,12.35467
26,1.75,15.649434
27,2.0,11.107182
28,0.0,10.4701605
29,0.25,10.07995
30,0.75,14.991105
31,1.5,10.892997
32,0.0,10.994036
33,2.0,15.996258
34,0.75,9.405784
35,0.0,8.243225
36,0.0,7.9136863
37,0.0,10.50709
38,1.75,15.460098
39,2.25,11.012331
40,1.25,7.207551
41,1.0,11.10004
42,2.75,16.243872
43,0.25,8.271393
44,0.0,9.932867
45,2.75,16.492514
46,1.0,11.588596
47,1.5,12.38085
48,1.25,13.041336
49,0.75,8.145988
50,1.75,12.612509
51,0.0,10.639669
52,0.5,8.603248
