,EGODYST,0
0,13.0,15.465352
1,32.0,20.58411
2,30.0,20.543882
3,10.0,19.604939
4,0.0,14.049716
5,52.0,21.167292
6,1.0,14.974639
7,10.0,18.43305
8,52.0,15.056447
9,81.0,23.171013
10,99.0,25.065931
11,1.0,14.400133
12,10.0,12.209374
13,50.0,23.221312
14,0.0,18.365374
15,5.0,16.08896
16,51.0,21.647774
17,39.0,17.552155
18,52.0,18.612808
19,10.0,14.771905
20,2.0,15.266554
21,52.0,20.84966
22,71.0,19.055847
23,40.0,21.534138
24,25.0,18.305082
25,28.0,21.076374
26,60.0,20.06046
27,49.0,20.218304
28,18.0,17.243866
29,30.0,25.371655
30,19.0,20.485043
31,9.0,15.660386
32,19.0,17.354986
33,51.0,23.416399
34,62.0,23.35205
35,9.0,22.28384
36,9.0,16.188717
37,50.0,25.087234
38,0.0,19.053534
39,9.0,14.268439
