,EGODYST,0
0,11.0,9.608702
1,34.0,12.70933
2,19.0,18.178698
3,49.0,18.708054
4,11.0,19.965837
5,67.0,16.732943
6,7.0,14.476834
7,10.0,13.269579
8,20.0,16.024164
9,10.0,17.434193
10,1.0,19.76832
11,9.0,21.33752
12,1.0,15.402298
13,25.0,18.397875
14,26.0,18.660618
15,50.0,17.66776
16,9.0,16.264404
17,10.0,13.75629
18,6.0,15.069988
19,9.0,17.346079
20,40.0,18.392181
21,94.0,20.89715
22,51.0,20.8079
23,5.0,17.720003
24,11.0,17.844511
25,61.0,24.238258
26,50.0,19.685238
27,45.0,23.1485
28,50.0,23.031305
29,50.0,28.090733
30,54.0,19.634008
31,29.0,21.187037
32,51.0,22.876455
33,40.0,22.71539
34,50.0,23.56981
35,10.0,13.129149
36,11.0,17.612434
37,91.0,25.819038
38,19.0,17.389284
39,20.0,16.737192
40,31.0,16.81779
41,17.0,12.559291
42,12.0,19.433361
43,6.0,13.150843
44,0.0,11.361747
45,20.0,19.664137
46,40.0,19.937416
47,40.0,17.079964
48,20.0,20.185383
49,18.0,16.391077
50,3.0,13.643369
51,10.0,21.659122
52,19.0,18.36591
53,20.0,20.093904
54,5.0,8.414825
55,14.0,16.946075
56,17.0,20.174982
57,7.0,17.087496
58,15.0,18.105171
59,61.0,19.025156
60,9.0,17.650143
61,50.0,20.371479
62,22.0,13.227875
63,42.0,14.6412945
64,35.0,20.319735
65,91.0,23.150326
66,52.0,19.43825
67,10.0,16.698696
68,51.0,23.290985
69,56.0,23.281796
70,3.0,17.723328
71,37.0,17.100788
72,51.0,20.363085
73,19.0,16.883152
74,50.0,24.806404
75,25.0,15.383036
76,1.0,16.619745
77,10.0,19.42352
78,9.0,19.515898
79,9.0,19.045774
80,8.0,13.718784
81,29.0,15.000145
82,20.0,15.624286
83,40.0,14.542232
84,53.0,25.08804
85,95.0,20.540081
86,46.0,21.219166
87,21.0,18.048315
88,11.0,12.604615
89,56.0,21.855974
90,1.0,13.604003
91,40.0,17.299967
92,0.0,14.969432
93,60.0,19.998798
94,47.0,19.835022
95,44.0,21.389656
96,50.0,22.984512
97,9.0,16.077423
98,15.0,19.46878
99,50.0,23.664282
100,14.0,14.736659
101,70.0,22.423256
102,9.0,18.849367
103,37.0,17.312239
104,62.0,18.615137
105,10.0,20.058464
106,14.0,21.856768
107,20.0,20.9028
108,9.0,18.289776
109,25.0,19.795935
110,16.0,18.928177
111,20.0,12.087389
112,0.0,16.51293
113,11.0,15.835365
114,50.0,22.278458
115,51.0,23.826557
116,28.0,18.434189
117,78.0,10.324549
118,19.0,14.683523
119,44.0,20.20234
120,53.0,16.833506
121,45.0,17.055918
122,50.0,22.018164
123,1.0,17.436592
124,10.0,20.695196
125,31.0,21.62103
126,81.0,23.456715
127,51.0,16.698902
128,20.0,17.742693
129,30.0,23.822134
130,9.0,14.825962
131,19.0,14.309097
132,10.0,17.901665
133,61.0,23.643871
134,54.0,18.123314
135,11.0,16.31503
136,3.0,13.788832
137,5.0,8.448896
138,1.0,17.058578
139,20.0,18.429241
140,30.0,20.09283
141,60.0,23.910896
142,20.0,15.521911
143,2.0,18.09428
144,40.0,21.520481
145,4.0,9.992245
146,38.0,20.105658
147,100.0,19.189167
148,21.0,17.831385
149,0.0,19.525667
150,40.0,18.664604
151,7.0,13.778204
152,18.0,17.150787
153,19.0,14.495443
154,23.0,17.113136
155,11.0,15.018747
156,10.0,15.675098
157,11.0,16.596445
158,50.0,23.965252
159,52.0,20.75904
160,21.0,15.779261
161,8.0,16.091541
162,15.0,16.897951
163,30.0,16.944542
164,22.0,17.248198
165,61.0,19.559834
166,41.0,17.522995
167,13.0,20.604872
168,34.0,20.389162
169,9.0,12.305742
170,30.0,18.542736
171,40.0,18.0991
172,31.0,16.1231
173,36.0,21.375027
174,61.0,23.821161
175,47.0,18.306177
176,7.0,17.783615
177,1.0,12.543891
178,65.0,20.477386
179,63.0,23.997852
180,10.0,19.025066
181,8.0,23.769077
182,11.0,16.45474
183,8.0,21.5974
184,8.0,13.403509
185,10.0,19.76841
186,61.0,20.126255
187,30.0,18.94255
188,50.0,20.883259
189,11.0,21.206577
190,9.0,16.649971
191,25.0,19.173956
192,50.0,19.650717
193,23.0,19.357662
194,18.0,14.987711
195,41.0,19.248413
196,46.0,23.814405
197,77.0,20.182587
198,17.0,11.966203
199,40.0,18.48043
200,98.0,21.700315
201,8.0,14.4074955
202,14.0,14.218348
203,13.0,22.762667
204,52.0,19.125032
205,2.0,15.623537
206,61.0,21.048445
207,36.0,15.554667
208,48.0,19.589174
209,25.0,16.560379
210,85.0,23.07365
211,51.0,18.563313
212,55.0,17.830666
213,12.0,20.98464
214,51.0,22.176682
215,8.0,17.632215
216,30.0,14.552813
217,9.0,20.682194
218,57.0,19.031382
219,17.0,21.262758
220,11.0,19.901106
221,76.0,20.506174
222,1.0,20.57468
223,9.0,18.20262
224,40.0,19.34675
225,54.0,20.953802
226,8.0,19.935383
227,20.0,20.879997
228,10.0,17.440111
229,44.0,13.965887
230,20.0,18.707819
231,50.0,17.256813
232,9.0,18.370806
233,30.0,17.499481
234,8.0,11.881296
235,32.0,17.997738
236,4.0,18.184916
237,49.0,20.531239
238,12.0,13.761457
239,25.0,17.082003
240,2.0,14.30387
241,11.0,13.527754
242,49.0,22.48614
243,10.0,16.41569
244,20.0,13.420534
245,10.0,12.235608
246,69.0,22.369335
247,18.0,17.171883
248,20.0,21.806932
249,50.0,18.296444
250,24.0,19.241179
251,50.0,25.94065
252,23.0,15.864308
253,29.0,22.387428
254,9.0,13.241195
255,11.0,12.6465025
256,70.0,19.011898
257,88.0,19.752205
258,30.0,20.549292
259,51.0,20.499538
260,20.0,15.040721
261,20.0,18.749298
262,60.0,22.055162
263,0.0,11.201215
264,61.0,20.00956
