,EGODYST,0
0,10.0,14.570001
1,20.0,18.031786
2,72.0,21.77652
3,10.0,18.549202
4,17.0,20.277939
5,51.0,24.249634
6,28.0,17.30141
7,11.0,17.690325
8,31.0,17.976974
9,24.0,18.655638
10,15.0,20.779818
11,3.0,10.745662
12,0.0,18.696043
13,61.0,21.878838
14,7.0,13.775488
15,10.0,16.046623
16,1.0,14.873465
17,10.0,11.697594
18,40.0,20.08959
19,15.0,14.798989
20,74.0,25.637371
21,11.0,21.974579
22,2.0,15.419677
23,1.0,12.329262
24,50.0,22.671545
25,10.0,18.893448
26,20.0,16.821257
27,10.0,20.001617
28,70.0,20.2477
29,51.0,21.19681
30,14.0,16.381361
31,62.0,20.398666
32,2.0,16.092594
33,18.0,19.56511
34,63.0,22.329727
35,50.0,18.121752
36,2.0,13.229171
37,0.0,16.245924
38,25.0,18.689892
39,20.0,17.809246
40,51.0,20.904764
