,EMOTIONAL_LABILITY,0
0,1.75,11.88783
1,1.0,5.9498553
2,0.25,8.703099
3,0.75,5.356812
4,2.0,16.15712
5,0.25,8.430693
6,0.0,9.821835
7,1.0,11.560149
8,1.0,8.751452
9,0.0,5.8180304
10,0.0,12.369292
11,0.25,5.213612
12,0.5,8.967435
13,0.0,7.570167
14,1.5,6.890879
15,0.5,12.428534
16,0.25,6.592458
17,0.75,11.500109
18,0.0,7.7097116
19,2.0,5.307968
20,1.75,10.372364
21,0.0,9.269801
22,0.25,13.3021145
23,1.25,12.47841
24,0.5,8.037314
25,1.0,11.078476
26,0.5,6.5449243
27,2.0,9.713666
28,2.0,17.76441
29,0.25,8.805821
30,1.75,14.860072
31,0.5,6.1016498
32,1.5,11.224988
33,1.25,12.817379
34,1.5,11.371087
35,2.25,11.554067
36,0.25,5.3228755
37,3.0,14.840337
38,0.0,5.781875
39,1.0,9.012618
40,0.75,12.458575
41,2.0,14.258833
42,0.25,7.224858
43,1.25,5.713046
44,0.5,8.418303
45,1.0,12.912351
46,0.75,5.688207
47,0.5,7.7340355
48,2.0,13.1428385
49,0.0,8.834856
50,1.25,13.55698
51,2.75,15.621766
