,EMOTIONAL_LABILITY,0
0,0.5,7.5603666
1,1.5,11.548802
2,0.0,8.198851
3,0.25,9.201009
4,0.0,6.4536624
5,1.5,10.323393
6,1.25,11.60577
7,0.5,6.9000125
8,1.5,12.695717
9,0.0,8.603144
10,1.25,9.608674
11,2.0,14.66399
12,1.25,9.596137
13,0.25,8.244628
14,1.5,10.230192
15,0.0,5.6306953
16,2.0,5.407062
17,0.75,9.211991
18,0.25,5.334863
19,1.75,12.050311
20,0.0,5.757953
21,0.5,9.573967
22,0.75,9.806867
23,0.0,6.7576976
24,1.0,9.552355
25,0.5,6.802916
26,0.75,10.275741
27,2.0,12.029859
28,1.25,9.821635
29,1.25,9.980341
30,1.0,9.936589
31,0.0,8.398444
32,1.0,9.306972
33,1.0,12.790677
34,0.25,10.257237
35,0.25,12.554034
36,2.25,11.013974
37,0.5,8.7250595
38,1.5,15.023088
39,2.0,11.715921
40,1.75,8.77039
41,2.25,7.2950597
42,1.5,10.625918
43,1.25,7.8667107
44,1.25,8.349767
45,0.0,11.493769
46,0.25,6.453506
47,0.75,10.415539
48,3.0,12.732605
49,0.0,7.1992855
50,1.0,11.074033
51,0.5,6.4238772
52,1.0,7.3266892
53,2.75,11.731693
54,0.75,9.2399025
55,1.5,9.832166
56,0.25,3.8406367
57,0.25,13.364532
58,0.5,6.489591
59,0.5,7.992043
60,0.5,7.5900216
61,0.0,13.051876
62,0.0,4.023948
63,1.0,8.375151
64,1.5,7.643972
65,0.5,5.084352
66,1.25,13.546995
67,1.5,8.067869
68,0.0,3.0019536
69,1.25,6.7464943
70,0.5,10.063465
71,1.0,9.771835
72,0.25,11.872066
73,0.25,7.824636
74,1.0,13.517729
75,0.0,8.39618
76,0.25,9.544873
77,1.0,7.7182937
78,0.0,9.669566
79,2.0,18.47068
80,0.5,7.310036
81,0.0,7.2688556
82,1.25,9.554389
83,0.25,2.3786893
84,2.25,14.347878
85,0.0,6.784077
86,1.5,8.534755
87,2.25,14.64389
88,0.0,8.946852
89,1.25,13.071881
90,1.5,13.693555
91,0.0,4.7235513
92,2.25,8.709984
93,1.0,6.6207094
94,1.75,12.631142
95,0.5,8.9528475
96,0.5,10.419113
97,0.75,13.525207
98,0.0,8.843256
99,0.0,6.1629267
100,2.0,8.826363
101,2.0,15.65906
102,1.25,7.894769
103,0.75,5.704658
104,0.0,9.139644
105,1.5,12.849628
106,0.75,5.9057164
107,0.5,10.320837
108,2.0,15.84025
109,0.0,9.56
110,1.0,10.386224
111,0.75,7.275253
112,1.25,18.33086
