,EMOTIONAL_LABILITY,0
0,0.25,8.299434
1,1.75,14.720228
2,0.5,4.976648
3,0.0,6.9557977
4,0.75,9.531678
5,0.5,9.855675
6,2.0,7.5779996
7,0.0,10.582759
8,2.0,9.435963
9,0.5,12.172103
10,1.25,13.690108
11,0.0,7.570417
12,0.0,6.308306
13,1.75,12.770011
14,0.0,7.541523
15,0.0,8.896972
16,0.0,11.937473
17,0.0,3.1387262
18,0.75,9.523942
19,1.0,11.625093
20,2.25,10.685431
21,0.25,6.7165217
22,1.5,9.696347
23,1.5,3.483158
24,1.0,11.255713
25,1.25,10.892388
26,0.0,6.570648
27,0.25,5.8018517
28,1.0,6.9409657
29,2.0,15.2589655
30,1.75,6.5699306
31,1.5,12.081736
32,0.0,10.43326
33,0.0,9.140372
34,2.5,13.234578
35,0.5,6.918379
36,0.0,10.250436
37,1.25,10.2873335
38,1.25,9.360755
39,1.0,10.173125
40,0.0,10.130209
41,2.25,12.442723
42,0.75,12.121617
43,3.0,14.025417
44,1.5,7.0837016
45,1.5,8.35143
46,0.5,11.267762
47,1.5,12.493184
48,3.0,12.852596
49,2.0,9.628934
50,0.5,10.099678
51,0.0,9.433406
52,1.5,9.260459
