,EMOT_SELF_C,0
0,32.0,40.494846
1,53.0,43.780445
2,53.0,41.289783
3,32.0,45.602413
4,41.0,41.6445
5,41.0,43.780113
6,36.0,42.123238
7,32.0,48.94088
8,49.0,49.948322
9,36.0,44.826557
10,45.0,45.471767
11,32.0,43.022274
12,53.0,42.874275
13,32.0,34.91579
14,58.0,40.336163
15,36.0,37.172077
16,45.0,40.988945
17,45.0,47.378384
18,41.0,41.75082
19,36.0,42.374924
20,45.0,44.244015
21,45.0,45.261402
22,32.0,37.40199
23,79.0,39.39578
24,36.0,41.18639
25,36.0,46.73168
26,49.0,40.976986
27,32.0,42.765022
28,32.0,43.2424
29,66.0,48.379116
30,32.0,43.06022
31,32.0,44.33308
32,32.0,44.21146
33,41.0,37.23239
34,41.0,40.838444
35,41.0,44.680676
36,36.0,44.086422
37,62.0,45.079227
38,36.0,42.404545
39,41.0,47.200455
40,45.0,47.113274
41,36.0,41.025433
42,49.0,47.01856
43,49.0,48.050335
44,45.0,44.278587
45,36.0,41.948208
46,41.0,43.874
47,58.0,47.2661
48,45.0,45.197033
49,32.0,43.23229
50,36.0,44.219048
51,41.0,42.402565
52,45.0,44.261242
53,58.0,43.625134
54,36.0,42.24288
55,58.0,43.14279
56,49.0,49.079044
57,49.0,42.32422
58,36.0,47.819763
59,36.0,45.475742
60,49.0,49.02421
61,45.0,42.200653
62,53.0,39.355804
63,36.0,42.12561
64,53.0,46.279377
65,66.0,51.141144
66,41.0,40.622265
67,49.0,41.428226
68,32.0,42.64366
69,32.0,39.427364
70,32.0,41.188473
71,45.0,41.06038
72,45.0,47.6258
73,36.0,48.17112
74,32.0,48.46271
75,58.0,55.24971
76,41.0,41.938255
77,41.0,43.126244
78,41.0,41.325127
79,71.0,50.62217
80,41.0,41.20093
81,53.0,47.88968
82,58.0,42.91074
83,41.0,42.991516
84,53.0,49.338963
85,32.0,36.713123
86,41.0,42.88972
87,32.0,37.933613
88,32.0,40.726334
89,66.0,49.822876
90,41.0,37.72512
91,32.0,39.874016
92,53.0,50.696186
93,32.0,39.6092
94,32.0,41.09548
95,32.0,44.020653
96,45.0,47.08592
97,49.0,47.635933
98,41.0,41.844574
99,41.0,41.63416
100,49.0,48.847694
101,36.0,43.92576
102,32.0,42.983257
103,32.0,40.289093
104,58.0,45.85312
105,49.0,46.570866
106,58.0,46.972076
107,36.0,47.32296
108,96.0,43.06136
109,32.0,49.588837
110,36.0,36.134735
111,66.0,39.020023
112,32.0,40.608727
113,45.0,44.34738
114,45.0,46.280174
115,53.0,43.23878
116,75.0,57.169914
117,41.0,46.341267
118,53.0,53.94277
119,45.0,44.968266
120,32.0,40.068604
121,58.0,44.590397
122,32.0,40.927845
123,66.0,46.98669
124,36.0,36.10041
125,45.0,44.94014
126,45.0,45.272324
127,32.0,45.02867
128,66.0,47.005226
129,32.0,33.04867
130,45.0,45.35871
131,36.0,47.46132
132,53.0,45.83811
133,41.0,43.577827
134,36.0,42.02606
135,36.0,37.702614
136,32.0,41.87963
137,49.0,44.04276
138,41.0,42.662807
139,41.0,42.245483
140,45.0,44.401024
141,53.0,39.87241
142,41.0,46.882423
143,41.0,41.485886
144,92.0,47.047913
145,49.0,47.609604
146,45.0,38.84981
147,66.0,47.062023
148,32.0,39.30156
149,62.0,51.140247
150,32.0,38.98332
151,36.0,41.95913
152,49.0,43.37294
153,32.0,41.396202
154,41.0,42.742237
155,45.0,39.226116
156,53.0,50.291878
157,36.0,40.481842
158,41.0,41.473694
159,83.0,51.04942
160,32.0,38.866653
161,36.0,38.27424
162,49.0,46.243298
163,45.0,45.873096
164,75.0,48.143795
165,41.0,42.62367
166,36.0,39.606964
167,36.0,37.77289
168,41.0,40.04781
169,41.0,42.433723
170,53.0,46.89698
171,36.0,42.916
172,36.0,44.395126
173,32.0,43.17609
174,49.0,41.57603
175,58.0,47.065987
176,32.0,43.88618
177,41.0,44.958233
178,45.0,45.550037
179,58.0,42.86389
180,36.0,39.86753
181,32.0,39.696957
182,36.0,42.0894
183,53.0,51.47136
184,32.0,49.827793
185,53.0,50.914967
186,41.0,40.16611
187,32.0,35.55609
188,41.0,41.22569
189,62.0,45.53883
190,45.0,47.62913
191,36.0,42.444042
192,41.0,46.021225
193,49.0,44.87462
194,32.0,39.52943
195,45.0,47.02794
196,32.0,42.941086
197,45.0,44.970444
198,41.0,40.030952
199,41.0,42.707138
200,45.0,42.537094
201,32.0,45.105835
202,36.0,41.57814
203,53.0,46.37168
204,41.0,49.995197
205,45.0,45.814816
206,32.0,42.362484
207,36.0,39.313446
208,32.0,42.678436
209,49.0,44.36855
210,36.0,37.862465
211,58.0,45.34645
212,32.0,47.87553
213,36.0,45.9339
214,36.0,39.176025
215,49.0,45.573204
216,66.0,43.161793
217,49.0,47.63977
218,36.0,40.175797
219,66.0,47.406765
220,32.0,40.28485
221,36.0,51.209427
222,45.0,41.59742
223,53.0,46.883522
224,32.0,41.82286
225,32.0,45.808216
226,58.0,52.067627
227,58.0,50.75578
228,32.0,42.762653
229,53.0,48.088795
230,49.0,43.53608
231,32.0,47.001995
232,41.0,49.918564
233,41.0,40.610847
234,32.0,36.415447
235,53.0,47.10546
236,41.0,47.038284
237,32.0,44.45222
238,58.0,45.736675
239,45.0,45.978977
240,32.0,39.96709
241,36.0,40.819748
242,41.0,44.506786
243,53.0,52.78119
244,36.0,41.325325
245,53.0,41.26826
246,32.0,42.32395
247,49.0,43.562553
248,32.0,37.11487
249,58.0,44.341637
250,41.0,42.516808
251,45.0,44.313354
252,36.0,39.179485
253,58.0,44.075745
254,45.0,44.965675
255,36.0,37.826748
256,36.0,38.675114
257,32.0,47.777977
258,32.0,41.589294
259,45.0,46.6521
260,41.0,45.402653
261,45.0,42.491856
262,41.0,46.224518
263,41.0,37.013966
264,41.0,40.944664
265,45.0,45.09081
266,45.0,45.312065
267,32.0,41.231003
268,62.0,42.26776
269,62.0,53.44497
270,45.0,47.866158
271,62.0,48.202255
272,32.0,43.72968
273,36.0,41.661205
274,53.0,44.974236
275,32.0,42.237507
276,36.0,44.214348
277,58.0,52.894676
278,49.0,41.4777
279,36.0,37.19781
280,58.0,42.846733
281,41.0,41.254345
282,41.0,45.51045
283,32.0,41.688473
284,32.0,37.00329
285,58.0,44.76259
286,49.0,49.97701
287,36.0,42.679688
288,49.0,49.6905
289,58.0,42.392246
290,32.0,40.83881
291,66.0,57.760857
292,32.0,45.806965
293,41.0,47.412807
294,41.0,44.1825
295,53.0,53.284912
296,49.0,48.00547
297,66.0,47.71703
298,36.0,39.03229
299,41.0,43.068115
300,66.0,48.955975
301,58.0,43.57588
302,45.0,43.37465
303,41.0,42.08862
304,36.0,40.378292
305,36.0,39.631645
306,53.0,41.21778
307,53.0,50.67634
308,45.0,48.172966
309,49.0,44.695915
310,71.0,52.426983
311,49.0,50.901424
312,41.0,39.023964
313,45.0,44.058903
314,53.0,42.851017
315,41.0,41.177563
316,45.0,45.723732
317,41.0,42.557865
318,36.0,41.755577
319,45.0,46.68142
320,36.0,36.875885
321,79.0,45.10882
322,36.0,49.660492
323,66.0,42.561497
324,32.0,41.934475
325,36.0,38.062534
326,49.0,48.937634
327,58.0,43.77731
328,32.0,39.81673
329,41.0,45.692867
330,45.0,45.07822
331,45.0,44.640022
332,32.0,46.281277
333,45.0,46.631718
334,36.0,40.920414
335,45.0,42.066803
336,45.0,46.097538
337,70.0,50.400764
338,32.0,38.33492
339,58.0,40.292152
340,83.0,50.54408
341,62.0,39.968422
342,45.0,44.3492
343,49.0,42.59302
344,36.0,45.896046
345,45.0,40.715965
346,53.0,46.516407
347,36.0,43.298763
348,41.0,44.452736
349,41.0,46.352554
350,32.0,48.724937
351,83.0,42.086044
352,49.0,42.964268
353,32.0,40.998615
354,41.0,44.003624
355,41.0,42.488266
356,41.0,40.811485
357,41.0,42.486244
358,36.0,43.30845
359,32.0,48.580383
360,53.0,53.056778
361,32.0,44.01617
362,36.0,43.72198
363,62.0,43.682644
364,58.0,36.52617
365,36.0,48.8653
366,32.0,40.23468
367,70.0,45.860104
368,41.0,44.011948
369,32.0,39.14022
370,96.0,46.915768
371,49.0,47.155018
372,41.0,44.870018
373,79.0,45.4336
374,41.0,45.030357
375,45.0,45.132053
376,49.0,47.32054
377,45.0,45.814766
378,45.0,47.538414
379,62.0,46.89074
380,66.0,42.778397
381,36.0,42.771496
382,45.0,42.542126
383,58.0,53.115658
384,41.0,44.545383
385,36.0,39.586426
386,41.0,44.025665
387,36.0,37.85568
388,53.0,44.37252
389,75.0,47.76744
390,36.0,39.220627
391,32.0,42.524353
392,32.0,43.100845
393,45.0,41.172386
394,45.0,40.97529
395,41.0,41.83987
396,36.0,35.738758
397,45.0,42.315327
398,49.0,48.723675
399,45.0,46.328598
400,58.0,44.293587
401,41.0,45.471214
402,49.0,48.68309
403,58.0,46.40294
404,62.0,43.63262
405,45.0,46.367104
406,41.0,42.549843
407,45.0,46.046745
408,58.0,37.424458
409,36.0,38.924374
410,41.0,42.222275
411,41.0,44.49977
412,36.0,40.702503
413,79.0,45.14352
414,58.0,46.64282
415,58.0,54.396072
416,36.0,37.92344
417,49.0,46.92251
418,32.0,41.660526
419,58.0,49.90268
420,32.0,44.06515
421,36.0,39.67408
422,45.0,47.141087
423,41.0,41.290916
424,41.0,46.177452
425,71.0,56.826084
426,49.0,44.215645
427,45.0,46.48095
428,45.0,41.95689
429,32.0,35.149822
430,41.0,42.85411
431,41.0,41.01795
432,49.0,47.305122
433,36.0,37.90607
434,36.0,43.907852
435,32.0,38.317173
436,32.0,40.230633
437,32.0,39.79136
438,83.0,37.989853
