,EMOT_SELF_C,0
0,32.0,40.23456
1,36.0,47.649982
2,36.0,42.85492
3,58.0,45.803925
4,49.0,48.619926
5,53.0,44.62313
6,66.0,50.5604
7,49.0,44.867435
8,41.0,42.109337
9,49.0,48.327156
10,45.0,46.571743
11,32.0,46.468563
12,53.0,43.686996
13,32.0,40.094753
14,32.0,35.01747
15,41.0,42.300922
16,58.0,45.619377
17,32.0,41.63886
18,41.0,40.024704
19,49.0,46.331207
20,36.0,44.785988
21,49.0,45.269424
22,53.0,47.25619
23,58.0,45.802998
24,53.0,43.647293
25,53.0,45.16297
26,41.0,41.77264
27,41.0,47.16539
28,41.0,45.812588
29,36.0,36.671036
30,32.0,42.07131
31,62.0,50.618343
32,41.0,41.698112
33,49.0,36.76825
34,58.0,56.805458
35,41.0,40.60279
36,36.0,37.111866
37,45.0,46.79165
38,49.0,44.817806
39,49.0,48.01126
40,36.0,40.67074
41,45.0,46.815086
42,36.0,42.643993
43,45.0,43.823624
44,32.0,44.62558
45,41.0,44.856583
46,41.0,41.756016
47,62.0,46.289673
48,58.0,40.690746
49,36.0,48.198288
50,45.0,46.568542
51,49.0,47.5184
52,45.0,42.69339
53,41.0,43.358643
54,32.0,43.327843
