,EXE_FUN,0
0,53.0,10.467216
1,73.0,21.121576
2,58.0,13.749189
3,46.0,8.062585
4,49.0,8.791965
5,52.0,12.046554
6,72.0,18.017214
7,40.0,8.4325905
8,66.0,13.601209
9,44.0,9.760934
10,44.0,9.561217
11,37.0,13.1945305
12,49.0,13.667228
13,47.0,10.673106
14,44.0,9.551883
15,56.0,16.887136
16,47.0,10.674011
17,42.0,13.680456
18,56.0,8.44579
19,56.0,15.452303
20,47.0,6.669944
21,51.0,7.5540304
22,51.0,12.3147135
23,63.0,18.461512
24,56.0,11.50848
25,60.0,10.4119835
26,37.0,12.443756
27,44.0,13.194291
28,45.0,7.438077
29,63.0,15.211997
30,44.0,11.145505
31,49.0,11.377204
32,45.0,7.3826876
33,58.0,14.4499035
34,52.0,8.551926
35,45.0,14.360304
36,53.0,11.123601
37,47.0,8.290957
38,54.0,12.791721
39,44.0,8.523591
40,37.0,9.721093
41,52.0,12.311121
42,52.0,13.034335
43,51.0,12.715905
44,59.0,13.774272
45,49.0,9.283271
46,51.0,15.760183
47,46.0,9.817271
48,59.0,11.273681
49,51.0,15.951538
50,58.0,11.153377
51,63.0,14.053533
52,51.0,10.644864
53,54.0,14.3143835
54,42.0,9.619993
