,EXE_FUN,0
0,49.0,13.809753
1,49.0,10.8264475
2,44.0,10.203232
3,63.0,15.021869
4,51.0,12.416915
5,37.0,10.820958
6,46.0,10.499178
7,65.0,12.011617
8,47.0,9.263967
9,58.0,14.532022
10,44.0,12.463837
11,52.0,11.527533
12,46.0,9.335588
13,53.0,18.230646
14,47.0,5.615568
15,51.0,13.746827
16,84.0,13.977527
17,53.0,6.5481234
18,49.0,13.384269
19,52.0,11.113048
20,51.0,22.190432
21,51.0,9.0375185
22,61.0,16.798029
23,68.0,10.484807
24,66.0,22.792336
25,51.0,10.277343
26,70.0,17.67803
27,45.0,7.6674795
28,54.0,10.326127
29,47.0,11.647452
30,56.0,12.769985
31,54.0,8.845069
32,51.0,13.465006
33,56.0,13.6112585
34,52.0,11.90266
35,49.0,9.853444
36,53.0,7.3004446
37,56.0,14.267956
38,58.0,19.39601
39,42.0,11.973088
40,56.0,13.965543
41,44.0,12.937423
42,67.0,12.378031
43,61.0,16.273136
44,47.0,13.031402
45,59.0,13.619515
46,56.0,9.84615
47,56.0,10.49696
48,52.0,8.548512
49,56.0,13.434156
50,53.0,6.6221514
51,68.0,16.220304
52,60.0,14.4195175
53,86.0,19.579905
54,58.0,14.512872
55,51.0,8.705243
56,61.0,17.557062
57,49.0,15.261953
58,68.0,12.2426605
59,59.0,12.277564
60,65.0,19.788725
61,54.0,13.165767
62,51.0,11.394121
63,61.0,17.135113
64,51.0,10.749345
65,54.0,13.338715
66,72.0,17.655981
67,51.0,12.7112055
68,58.0,16.238869
69,52.0,14.272588
70,39.0,9.386096
71,52.0,10.602351
72,54.0,7.4110785
73,52.0,12.501622
74,54.0,10.792112
75,56.0,7.720689
76,54.0,9.068019
77,70.0,15.9264555
78,47.0,11.837232
79,53.0,16.363062
80,65.0,15.398934
81,56.0,10.102498
82,59.0,12.456441
83,53.0,9.873121
84,44.0,14.889583
85,46.0,9.198992
86,80.0,17.47021
87,56.0,15.221555
88,58.0,13.181267
89,47.0,6.7403526
90,44.0,14.414187
91,53.0,13.289191
92,51.0,14.483128
93,63.0,16.165016
94,47.0,12.453975
95,46.0,11.243242
96,52.0,16.595953
97,63.0,16.38603
98,61.0,17.558676
99,59.0,11.726625
100,72.0,16.626966
101,44.0,13.832774
102,68.0,12.411277
103,51.0,15.49151
104,51.0,11.211102
105,52.0,16.90935
106,37.0,7.016423
107,61.0,11.890555
108,56.0,9.743077
109,58.0,14.578116
110,58.0,11.049954
111,42.0,10.821324
112,47.0,7.871007
113,37.0,12.927405
114,45.0,11.286676
115,56.0,9.434198
116,61.0,14.3640585
117,68.0,22.30264
118,54.0,6.120612
119,47.0,15.799144
120,56.0,10.448049
121,49.0,11.135896
122,37.0,6.518798
123,51.0,11.182099
124,45.0,4.70453
125,58.0,13.821689
126,53.0,8.991029
127,58.0,14.335294
128,49.0,4.9915113
129,45.0,8.035181
130,42.0,6.0305347
131,42.0,10.445747
132,39.0,9.799756
133,61.0,13.616315
134,51.0,11.492113
135,47.0,2.8121262
136,58.0,6.5520334
137,47.0,8.580763
138,49.0,12.85605
139,58.0,9.263225
140,53.0,14.135957
141,61.0,14.560581
142,45.0,8.94358
143,52.0,16.439997
144,45.0,7.567505
145,72.0,15.58558
146,42.0,7.913394
147,79.0,19.587725
148,65.0,15.544551
149,47.0,8.883416
150,54.0,13.105144
151,51.0,10.021956
152,56.0,11.275592
153,42.0,10.580203
154,58.0,12.354274
155,46.0,10.536207
156,81.0,21.647774
157,61.0,16.323317
158,49.0,2.8353996
159,47.0,12.164809
160,63.0,16.037905
161,68.0,14.913932
162,61.0,12.608647
163,49.0,12.717995
164,44.0,5.3831654
165,67.0,17.80463
166,75.0,12.99812
167,70.0,15.662179
168,53.0,8.072852
169,56.0,14.802361
170,54.0,8.780459
171,49.0,9.235833
172,40.0,17.798742
173,51.0,13.175792
174,68.0,15.769986
175,54.0,9.0667515
176,54.0,15.863189
177,45.0,9.079221
178,61.0,14.269394
179,60.0,8.0734825
180,53.0,10.23244
181,46.0,7.498044
182,58.0,7.4607315
183,67.0,13.070743
184,59.0,15.763803
185,44.0,9.517928
186,58.0,12.099565
187,52.0,8.060528
188,56.0,18.096771
189,70.0,17.845068
190,56.0,13.234618
191,45.0,10.244326
192,52.0,8.425239
193,42.0,12.105149
194,47.0,8.0060215
195,37.0,10.179537
196,54.0,12.996539
197,47.0,10.915976
198,58.0,13.909212
199,51.0,15.081901
200,51.0,9.96722
201,56.0,11.764586
202,70.0,12.868483
203,54.0,15.885554
204,54.0,18.687151
205,49.0,7.4583426
206,75.0,16.161398
207,54.0,12.093482
208,45.0,9.378101
209,45.0,10.792993
210,49.0,14.097109
211,51.0,13.560664
212,60.0,16.678957
213,46.0,10.148522
214,47.0,6.81145
215,54.0,11.727468
216,40.0,6.04832
217,60.0,14.484929
218,51.0,11.157675
219,46.0,11.032409
220,52.0,15.412572
221,56.0,16.112486
222,42.0,12.553381
223,56.0,15.806759
224,65.0,10.409474
225,54.0,15.706372
226,54.0,9.713688
227,52.0,14.989141
228,54.0,13.652911
229,56.0,12.18654
230,45.0,14.300859
231,68.0,9.213937
232,63.0,12.192744
233,58.0,15.839715
234,44.0,14.383702
235,52.0,13.521775
236,44.0,9.028365
237,49.0,12.842265
238,54.0,13.504302
239,58.0,19.474258
240,42.0,10.240454
241,47.0,11.643922
242,56.0,11.148332
243,56.0,13.907768
244,58.0,18.471994
245,51.0,14.069976
246,72.0,13.435267
247,49.0,7.0484924
248,40.0,11.345887
249,56.0,7.653449
250,47.0,14.142503
251,73.0,16.067024
252,63.0,15.496686
253,49.0,12.810403
254,47.0,8.624909
255,42.0,12.085967
256,54.0,11.870894
257,65.0,19.762304
258,61.0,8.194751
259,53.0,9.942061
260,58.0,12.579089
261,44.0,8.798211
262,51.0,13.13273
263,60.0,21.424067
264,47.0,13.94119
265,53.0,12.767184
266,52.0,11.624909
267,54.0,14.324748
268,51.0,12.778575
269,40.0,11.0619755
270,56.0,12.111658
271,38.0,6.2186327
272,51.0,10.864867
273,46.0,7.9623747
274,42.0,10.931827
275,89.0,18.211008
276,58.0,9.894699
277,59.0,8.612526
278,56.0,15.093873
279,73.0,15.813218
280,56.0,12.938962
281,46.0,10.227313
282,53.0,8.77279
283,49.0,10.79921
284,63.0,13.020303
285,61.0,10.738437
286,49.0,10.239828
287,51.0,14.717807
288,49.0,14.209103
289,49.0,18.257805
290,72.0,15.133195
291,54.0,6.001335
292,42.0,8.810903
293,63.0,13.906217
294,54.0,17.098978
295,44.0,13.643398
296,61.0,14.494852
297,56.0,13.564745
298,52.0,6.3220587
299,67.0,13.193814
300,73.0,20.601145
301,61.0,11.4731865
302,49.0,12.658381
303,37.0,10.910615
304,56.0,13.565501
305,56.0,13.267351
306,61.0,16.06974
307,45.0,12.225652
308,63.0,12.972036
309,73.0,15.914321
310,54.0,6.4567327
311,42.0,8.545671
312,44.0,8.425103
313,49.0,9.324
314,70.0,18.228159
315,52.0,10.617977
316,52.0,4.9544144
317,44.0,9.169896
318,58.0,17.2383
319,65.0,14.45096
320,45.0,7.005473
321,63.0,12.942436
322,54.0,12.483579
323,56.0,13.117703
324,51.0,14.559356
325,47.0,14.183686
326,54.0,9.491431
327,68.0,16.498394
328,58.0,11.884689
329,47.0,17.538431
330,59.0,16.650152
331,49.0,14.973834
332,61.0,12.9769
333,56.0,14.510189
334,60.0,10.93331
335,51.0,17.691679
336,42.0,9.618663
337,70.0,12.415973
