,EXE_FUN,0
0,67.0,10.1673975
1,67.0,18.440786
2,47.0,10.914596
3,47.0,16.176493
4,47.0,8.614558
5,61.0,10.372064
6,44.0,10.951455
7,47.0,11.822942
8,49.0,11.275025
9,47.0,13.202447
10,49.0,15.156184
11,51.0,18.655172
12,53.0,14.648644
13,56.0,12.290689
14,44.0,18.27196
15,61.0,10.582203
16,53.0,10.636114
17,46.0,5.622632
18,46.0,8.4052725
19,49.0,5.387067
20,53.0,14.454963
21,47.0,12.9376955
22,51.0,10.051387
23,59.0,13.721362
24,49.0,15.991351
25,51.0,9.71422
26,42.0,12.855157
27,66.0,16.31052
28,47.0,5.1897955
29,44.0,12.605804
30,42.0,10.96994
31,47.0,11.485715
32,66.0,16.498615
33,56.0,17.483717
34,58.0,18.072195
35,72.0,12.510988
36,54.0,12.026327
37,45.0,11.434646
38,54.0,12.672342
39,51.0,13.681175
40,58.0,16.746693
41,42.0,10.048468
42,65.0,14.425027
43,60.0,14.970602
44,63.0,20.805773
45,37.0,9.094251
46,68.0,13.397238
47,73.0,14.738885
48,47.0,10.179708
49,56.0,12.91511
50,49.0,6.1546173
51,40.0,12.869208
52,65.0,15.360696
53,59.0,7.6537504
54,61.0,10.777616
