,FAN,0
0,35.0,53.59477
1,45.0,52.351753
2,50.0,59.12553
3,35.0,42.922813
4,95.0,84.242485
5,60.0,63.71342
6,35.0,41.608425
7,90.0,58.28206
8,65.0,35.93505
9,80.0,53.78674
10,5.0,56.830906
11,30.0,58.115868
12,65.0,64.72268
13,60.0,66.740135
14,65.0,65.507195
15,75.0,79.43975
16,95.0,93.430916
17,75.0,79.18969
18,75.0,74.485756
19,80.0,86.18685
20,45.0,61.37981
21,60.0,74.09347
22,35.0,41.54905
23,30.0,56.69975
24,5.0,27.828941
25,100.0,70.823235
26,95.0,88.64462
27,95.0,80.32029
28,20.0,52.33487
29,45.0,59.283844
30,75.0,79.37549
31,100.0,51.176487
32,5.0,76.52599
33,45.0,57.618465
34,75.0,71.080956
35,15.0,29.325142
36,80.0,84.27058
37,95.0,79.41863
38,100.0,81.51484
39,15.0,18.475138
40,5.0,32.693405
41,95.0,77.074425
42,45.0,52.030846
43,60.0,65.78734
44,30.0,49.909897
45,100.0,58.89823
46,100.0,80.88629
47,80.0,85.87687
48,90.0,85.587364
49,30.0,65.416306
50,95.0,86.0347
51,75.0,65.709175
52,50.0,56.054546
53,80.0,76.47866
54,30.0,62.438545
55,5.0,88.655754
56,15.0,36.383064
57,90.0,85.95048
58,80.0,80.72692
59,60.0,67.02588
60,90.0,91.76776
61,100.0,77.24106
