,FAN,0
0,15.0,64.54879
1,90.0,86.94587
2,65.0,70.78712
3,80.0,55.214462
4,75.0,69.88188
5,80.0,73.40769
6,60.0,82.495155
7,80.0,86.31421
8,45.0,57.261036
9,100.0,89.85856
10,35.0,53.609856
11,80.0,68.22254
12,35.0,53.92885
13,100.0,78.1516
14,30.0,46.491882
15,75.0,83.740295
16,5.0,31.409302
17,45.0,67.018936
18,50.0,54.91013
19,90.0,56.44533
20,45.0,52.97092
21,65.0,72.90196
22,90.0,88.93946
23,75.0,66.91401
24,100.0,73.17533
25,75.0,67.44309
26,5.0,19.121157
27,45.0,52.483467
28,60.0,59.43757
29,95.0,72.6878
30,5.0,56.220394
31,90.0,97.28673
32,75.0,61.920494
33,35.0,49.78976
34,45.0,52.08221
35,5.0,66.23477
36,15.0,32.352924
37,50.0,78.844795
38,90.0,58.654774
39,45.0,57.367783
40,100.0,74.14764
41,30.0,66.08241
42,60.0,61.779495
43,65.0,73.48356
44,50.0,41.796547
45,100.0,86.55917
46,95.0,77.85677
47,45.0,45.811207
48,65.0,74.30778
49,15.0,47.55552
50,5.0,64.70467
51,95.0,64.40343
52,90.0,79.07346
53,100.0,99.11661
54,65.0,63.47697
55,60.0,79.15157
56,30.0,45.618504
57,60.0,65.0261
58,80.0,84.975655
59,90.0,71.20715
60,30.0,41.76652
61,45.0,54.44094
62,75.0,80.49883
63,30.0,40.02476
64,5.0,65.064026
65,45.0,61.697998
66,65.0,72.10479
67,35.0,48.764507
68,30.0,86.53135
69,90.0,82.61713
70,5.0,34.28484
71,35.0,46.575184
72,75.0,76.89548
73,50.0,51.38246
74,90.0,78.26006
75,30.0,37.357513
76,75.0,77.747856
77,30.0,55.43175
78,80.0,86.109665
79,75.0,71.37691
80,30.0,56.57205
81,60.0,71.96318
82,45.0,77.83504
83,50.0,63.931965
84,5.0,62.18851
85,45.0,50.58147
86,100.0,85.937256
87,80.0,75.62389
88,5.0,53.4248
89,75.0,84.34564
90,5.0,40.65097
91,65.0,64.46852
92,60.0,59.808094
93,20.0,32.37044
94,60.0,66.53992
95,90.0,92.623405
96,90.0,68.98567
97,60.0,55.889996
98,35.0,42.5805
99,80.0,83.80121
100,45.0,56.780766
101,45.0,51.27155
102,35.0,49.584515
103,60.0,64.72729
104,100.0,75.38643
105,45.0,60.1516
106,5.0,64.73156
107,50.0,60.44822
108,60.0,64.00182
109,65.0,72.92284
110,5.0,57.91429
111,30.0,35.069386
112,50.0,62.28722
113,90.0,71.19906
114,20.0,45.527164
115,45.0,54.919434
116,35.0,68.03884
117,30.0,51.90385
118,45.0,47.17837
119,45.0,51.550835
120,100.0,65.49735
121,15.0,73.75389
122,45.0,78.31213
123,90.0,73.31383
124,80.0,72.696106
125,35.0,49.06647
126,90.0,72.31681
127,75.0,74.18699
128,50.0,54.308746
129,30.0,45.9885
130,45.0,58.159946
131,60.0,57.40258
132,60.0,69.45108
133,5.0,52.28145
134,90.0,90.76289
135,90.0,89.28876
136,30.0,42.135853
137,90.0,86.67527
138,45.0,57.608166
139,75.0,73.259796
140,30.0,44.79939
141,50.0,60.043713
142,5.0,72.472
143,45.0,78.98243
144,30.0,58.104588
145,90.0,65.97043
146,15.0,63.418823
147,80.0,76.25481
148,30.0,55.66314
149,45.0,60.754807
150,5.0,62.04596
151,15.0,33.875843
152,35.0,36.511326
153,45.0,58.39827
154,30.0,60.057995
155,90.0,72.07865
156,35.0,43.920345
157,80.0,70.28934
158,60.0,68.26496
159,20.0,51.089222
160,45.0,57.98298
161,90.0,53.65258
162,100.0,72.50744
163,75.0,72.86461
164,50.0,50.534595
165,45.0,69.179955
166,90.0,91.8757
167,95.0,75.41255
168,90.0,82.11997
169,90.0,76.19471
170,60.0,52.097538
171,30.0,57.361042
172,75.0,88.32902
173,45.0,64.92129
174,100.0,103.85442
175,80.0,82.55384
176,75.0,81.71
177,75.0,74.301834
178,80.0,73.194336
179,100.0,82.65913
180,30.0,42.810474
181,60.0,61.656113
182,50.0,68.99881
183,65.0,65.96003
184,90.0,79.99863
185,60.0,74.30263
186,60.0,64.37271
187,30.0,54.93234
188,60.0,64.452
189,35.0,66.65384
190,95.0,85.38439
191,5.0,62.911266
192,35.0,63.629692
193,5.0,49.852425
194,5.0,32.62608
195,5.0,89.16653
196,15.0,30.54137
197,15.0,24.448267
198,45.0,63.4458
199,100.0,48.938778
