,FAN,0
0,45.0,61.2075
1,60.0,59.5202
2,90.0,89.18668
3,15.0,49.95891
4,75.0,72.63643
5,50.0,74.485085
6,45.0,79.75758
7,45.0,59.99342
8,90.0,81.69343
9,30.0,34.868565
10,80.0,73.38223
11,75.0,78.47886
12,30.0,73.25067
13,90.0,91.44494
14,80.0,70.01574
15,90.0,81.50705
16,35.0,48.10024
17,100.0,59.99755
18,100.0,79.7004
19,75.0,83.31262
20,95.0,69.670784
21,15.0,73.23307
22,30.0,41.774426
23,90.0,79.68874
24,80.0,69.24281
25,45.0,66.46396
26,30.0,52.470165
27,45.0,61.204384
28,45.0,79.030304
29,90.0,67.827446
30,75.0,76.783226
31,45.0,52.391212
32,100.0,76.19805
33,75.0,87.08231
34,80.0,79.43406
35,60.0,69.02372
36,60.0,68.25999
37,45.0,52.16727
38,60.0,85.4594
39,60.0,69.62852
40,95.0,109.18479
41,100.0,64.78101
42,60.0,73.90372
43,50.0,61.216774
44,60.0,62.748737
45,65.0,79.99624
46,65.0,49.3038
47,60.0,71.19897
48,90.0,94.20078
49,90.0,71.03279
50,35.0,41.089924
51,35.0,58.952946
52,100.0,80.859215
53,15.0,27.145079
54,90.0,89.492
55,75.0,68.24037
56,65.0,84.54468
57,75.0,77.16567
58,45.0,79.67947
59,50.0,55.45992
60,5.0,59.741024
61,100.0,69.7846
