,GRANDIOSITY,0
0,1.0,11.717836
1,1.25,10.11591
2,0.25,8.081404
3,1.75,12.137096
4,0.0,7.912928
5,0.0,6.897415
6,1.25,8.658815
7,0.0,6.9416943
8,0.0,7.9319706
9,0.0,6.5170655
10,1.75,15.109459
11,0.75,10.579956
12,0.0,11.902975
13,1.0,10.195211
14,0.5,9.458651
15,1.5,13.493509
16,1.75,14.004154
17,0.0,3.7544775
18,0.75,10.177537
19,3.0,15.466669
20,0.75,12.932189
21,0.0,7.896334
22,0.25,9.709035
23,0.5,10.442742
24,0.0,11.727085
25,0.0,10.314695
26,0.25,8.8721075
27,0.0,10.987161
28,0.25,4.9140625
29,0.5,10.306515
30,0.0,9.167477
31,1.25,9.359032
32,0.5,8.944492
33,0.5,7.9609575
34,1.5,8.3361
35,1.0,14.993856
36,0.5,9.0144205
37,2.0,12.039213
38,0.75,9.32981
39,2.0,11.956781
40,0.0,12.080569
41,0.0,10.07046
42,1.0,10.421956
43,0.0,11.135597
44,0.0,8.041355
45,1.0,9.843876
46,0.5,12.256214
47,1.0,9.226238
48,0.0,5.4406385
49,0.5,9.067237
50,3.0,14.710036
51,1.5,10.500578
