,GRANDIOSITY,0
0,2.25,15.841939
1,0.0,9.13542
2,2.0,9.036236
3,2.75,14.804578
4,0.25,11.29797
5,0.75,8.993989
6,1.5,16.557634
7,0.0,8.99251
8,1.75,13.824877
9,0.0,9.846238
10,0.5,9.916133
11,0.0,5.7763247
12,1.0,12.430176
13,0.0,9.444105
14,0.75,12.742517
15,0.5,8.695069
16,0.0,10.470623
17,0.0,10.259148
18,0.0,6.720238
19,2.5,12.284147
20,2.5,11.620124
21,0.0,9.607666
22,2.75,14.842679
23,0.5,10.075747
24,0.5,7.614978
25,0.25,11.792445
26,1.0,7.41438
27,0.0,8.26084
28,1.0,6.9684258
29,0.0,8.113205
30,1.0,10.016137
31,0.0,7.4248734
32,1.25,13.223499
33,0.5,14.225708
34,0.0,10.785195
35,0.0,7.001102
36,0.0,12.203702
37,0.5,9.314329
38,1.25,12.092399
39,0.75,10.418787
40,1.0,9.885008
41,1.0,14.257038
42,1.0,11.0388775
43,2.0,11.443972
44,1.0,14.275868
45,1.0,13.916456
46,0.5,13.456493
47,0.0,9.01211
48,2.25,12.945162
49,0.0,7.3080053
50,0.0,7.686916
51,0.0,5.402684
52,1.25,12.410704
53,3.0,15.441185
54,0.25,8.696488
55,0.75,14.216827
56,1.5,15.717655
57,0.0,7.788561
58,1.75,12.429174
59,0.25,12.418509
60,1.75,8.859909
61,2.0,12.689048
62,0.5,9.0947
63,1.25,9.0885725
64,0.0,6.5641046
65,0.0,8.1458435
66,2.0,15.736447
67,0.0,5.6771154
68,1.0,10.482743
69,0.5,8.417298
70,2.25,10.431812
71,0.25,10.067771
72,1.0,9.755881
73,0.75,6.499795
74,2.0,14.2046
75,0.75,10.68977
76,1.5,11.129871
77,0.5,9.266651
78,0.25,9.848491
79,0.25,8.021467
80,0.5,8.584702
81,0.25,10.152379
82,0.25,13.128309
83,0.5,7.3796363
84,0.0,5.8254185
85,0.5,7.014922
86,0.75,6.868619
87,0.0,7.7297764
88,0.75,12.05295
89,1.0,12.934137
90,2.0,12.603674
91,0.0,8.620489
92,0.25,11.561266
93,0.5,11.574209
94,0.5,8.670816
95,0.75,10.284746
96,1.0,10.454077
97,1.0,13.670015
98,0.25,10.605656
99,0.0,11.271245
100,0.25,7.1452446
101,1.5,10.357504
102,0.5,6.568977
103,0.0,10.376095
104,1.0,10.959583
105,0.25,11.159815
106,0.0,7.5418987
107,0.75,12.890906
108,0.25,7.747349
109,0.0,10.2785225
110,0.0,7.9704123
111,0.5,11.896013
112,0.75,11.861477
113,0.25,8.2083025
114,1.25,12.422564
115,0.0,8.911485
116,0.25,8.1838455
117,1.75,10.94088
118,2.0,11.226021
119,0.75,9.652914
120,0.0,6.9356537
121,2.0,14.292127
122,1.5,13.765304
123,0.25,6.07608
124,0.0,6.488036
125,0.0,6.656779
126,1.75,13.225094
127,2.5,14.34547
128,1.0,8.808104
129,0.25,9.905791
130,1.5,13.935056
131,0.0,10.998843
132,0.0,6.167123
133,0.5,10.568769
134,0.0,6.6200895
135,0.0,7.8574567
136,1.0,15.637827
137,0.0,6.3203907
138,0.5,9.424761
139,0.75,11.606327
140,2.25,12.793288
141,0.0,5.614338
142,0.0,6.0518565
143,1.25,10.083422
144,0.0,7.5861206
145,0.0,9.269727
146,0.0,12.583481
147,0.0,12.780542
148,0.0,9.621663
149,1.0,11.11386
150,0.5,7.673976
151,0.0,12.1061535
152,1.0,12.955814
153,0.0,10.5184145
154,0.0,8.789677
155,0.75,10.971408
156,0.25,9.576201
157,1.0,5.7749047
158,0.75,10.786236
159,0.0,5.2321644
160,3.0,17.980745
161,0.75,12.871897
162,1.0,11.946388
163,1.25,12.427675
164,0.5,8.676194
165,0.0,10.867719
166,2.5,8.162545
167,0.25,9.101879
168,1.25,13.237465
169,0.0,8.833082
170,0.0,4.7023897
171,0.25,9.533
172,0.0,6.176796
173,1.25,13.801033
174,0.25,11.709024
175,0.0,4.466985
176,0.0,8.356249
177,0.0,6.3186493
178,0.75,8.116188
179,2.25,13.380686
180,0.0,11.323436
181,0.0,5.2695374
182,1.0,7.989088
183,0.25,11.233505
184,0.5,9.0265045
185,0.75,9.01317
186,1.25,11.811607
187,0.0,8.074336
188,0.25,9.789223
189,0.0,11.83321
190,0.25,9.082063
191,0.0,11.428865
192,0.0,10.067989
193,0.0,9.335137
194,0.25,9.424494
195,0.25,9.770016
196,0.25,6.4117036
197,0.0,9.266914
198,0.75,11.05472
199,3.0,12.789493
200,1.75,11.329374
201,1.0,12.884329
202,2.75,13.363401
203,0.75,6.603094
204,0.5,10.492835
205,0.25,9.280692
206,0.0,10.544796
207,0.0,7.2357883
208,0.75,10.680923
209,0.5,8.956538
210,0.25,9.038314
211,1.75,12.361334
212,0.25,9.466774
213,0.0,9.910782
214,0.0,6.1978717
215,0.5,11.113823
216,0.75,10.399668
217,0.5,9.1492195
218,1.0,10.59086
219,0.75,7.5518165
220,1.5,10.674627
221,0.0,9.584337
222,0.0,5.032934
223,0.0,7.108839
224,0.5,7.626282
225,0.5,9.245661
226,0.0,6.548748
227,1.75,14.540737
228,0.5,10.656116
229,0.5,12.846371
230,0.0,6.2876577
231,0.75,11.057136
232,1.5,10.060688
233,2.25,11.829319
234,0.5,9.319976
235,1.5,13.319931
236,0.0,9.781011
237,0.0,4.658475
238,0.5,9.32006
239,0.25,13.295107
240,0.75,13.380447
241,0.0,7.7372613
242,0.0,10.037365
243,0.75,8.429175
244,0.0,8.268326
245,1.25,8.394392
246,0.0,6.8820534
247,0.25,10.499391
248,1.0,9.288815
249,1.75,13.846203
250,1.0,12.770472
251,1.25,11.329769
252,3.0,15.770575
253,0.0,11.137871
254,1.75,15.201462
255,0.25,10.450597
256,0.5,10.749229
257,0.5,8.330336
258,2.5,14.627289
259,0.25,7.8272114
260,2.25,13.198576
261,0.0,5.5025864
262,0.0,9.312178
263,0.75,9.479762
264,1.5,12.040275
265,1.5,12.669947
266,0.75,10.848855
267,0.0,3.9951463
268,1.75,15.155243
269,0.0,4.806472
270,1.25,8.914118
271,1.75,11.06076
272,0.0,8.7621
273,0.0,9.25346
274,0.5,6.5622325
275,1.5,11.499598
276,0.0,11.318104
277,2.25,12.037579
278,0.25,6.828939
279,1.0,10.534238
280,2.5,15.25086
281,2.0,15.068909
282,0.0,5.650087
283,0.0,9.3699875
284,1.0,13.6879635
285,0.0,9.201239
286,0.0,5.7424154
287,2.0,11.706135
288,0.0,11.715458
289,1.75,16.444075
290,0.5,11.812526
291,2.0,13.599353
292,0.0,7.687772
293,1.75,11.975903
294,0.0,9.963531
295,0.0,6.681943
296,1.0,14.487423
297,0.0,8.690801
298,1.75,13.538539
299,0.5,6.5325294
300,0.0,7.968809
301,0.0,7.9757977
302,0.25,7.3503785
303,0.5,10.350252
304,0.75,14.240458
305,0.5,8.551604
306,0.75,14.228538
307,0.0,12.890789
308,0.75,9.1820755
309,0.25,9.87159
310,0.75,8.804331
311,0.25,10.301576
312,0.25,9.744142
313,0.75,11.155288
314,0.25,9.011372
315,0.25,8.541698
316,0.0,8.4460745
317,0.25,9.048347
318,1.75,13.259026
319,0.5,9.190508
320,2.25,14.958478
321,0.0,9.2971525
322,0.0,8.719058
323,0.75,9.12229
324,1.0,12.808044
325,0.75,8.325867
326,2.75,13.803128
327,0.0,6.8811955
328,0.75,10.045409
329,3.0,14.962238
330,0.5,14.8345995
331,0.0,9.60636
332,0.0,7.9487157
333,1.5,12.560013
334,0.0,9.671295
335,1.5,11.57336
336,0.75,8.6306305
337,0.25,11.178255
338,0.25,9.325063
339,0.0,5.9294014
340,0.5,9.986345
341,0.75,10.343534
342,2.5,12.41264
343,0.0,4.343619
344,1.25,10.8695345
345,2.25,15.549487
346,1.0,11.311814
347,0.25,9.525935
348,0.0,9.891661
349,1.0,12.286361
350,0.25,9.337893
351,0.5,11.40719
352,1.5,14.988344
353,0.0,12.973228
354,0.25,10.689552
355,0.25,13.962386
356,0.0,10.1263275
357,3.0,15.15107
358,0.75,7.4259133
359,0.0,8.5775795
360,0.75,9.562403
361,0.75,15.939318
362,0.0,13.55917
363,0.5,6.1583586
364,0.25,10.198633
