,GRANDIOSITY,0
0,0.25,8.0317745
1,0.25,7.1823893
2,1.0,16.769258
3,1.5,17.09271
4,0.0,8.465048
5,0.0,5.0773454
6,0.75,11.27444
7,1.75,13.364076
8,1.5,12.377399
9,0.0,5.215327
10,0.5,6.8892794
11,0.5,10.149823
12,0.5,12.428692
13,0.75,11.211084
14,0.0,5.458594
15,1.25,11.072265
16,0.0,8.953066
17,2.25,11.30971
18,2.75,14.001774
19,0.25,11.964728
20,1.75,15.177061
21,2.5,13.136417
22,0.25,9.153057
23,0.0,6.1896014
24,0.5,8.52989
25,3.0,15.393978
26,1.75,16.500204
27,1.0,7.135916
28,0.75,11.376329
29,0.75,9.108194
30,0.75,8.672
31,2.0,10.569895
32,0.5,9.193833
33,0.25,10.623794
34,1.75,9.684237
35,0.0,10.856434
36,0.0,13.970995
37,0.75,12.283268
38,0.0,12.996439
39,1.75,13.322779
40,1.0,9.436453
41,1.5,12.272784
42,0.25,12.7585335
43,0.75,9.189032
44,0.0,14.461723
45,2.5,13.82233
46,0.75,6.5368075
47,1.25,11.086147
48,0.75,4.426212
49,0.0,7.969201
50,1.5,10.624712
51,0.0,8.525456
52,0.0,7.756328
