,HOPE,0
0,4.17,20.159307
1,5.5,19.77766
2,4.17,20.693863
3,4.33,21.593763
4,5.83,22.490845
5,3.33,16.546026
6,5.33,19.719776
7,5.0,20.36706
8,4.83,20.93378
9,5.0,17.477818
10,3.5,15.106588
11,3.17,17.63343
12,3.0,18.060349
13,5.17,20.490269
14,4.33,19.610062
15,4.0,23.603626
16,4.17,19.538887
17,5.67,11.9611025
18,5.83,19.497643
19,5.67,23.665442
20,5.0,22.101917
21,5.5,22.843319
22,5.5,19.805614
23,3.83,19.62716
24,5.5,19.792181
25,3.83,19.472582
26,6.0,22.090622
27,4.0,20.905668
28,5.67,19.558073
29,4.33,20.920786
30,5.17,22.5199
31,2.0,18.81406
32,4.67,17.980373
33,4.33,19.66318
34,3.17,17.064522
35,5.0,22.378265
36,3.17,12.459557
37,4.33,17.957294
38,3.83,16.429882
39,2.5,16.528812
40,4.83,20.352097
41,2.33,12.663745
42,5.83,24.053688
43,5.5,22.79069
44,6.0,25.46563
45,3.0,18.334894
46,4.33,19.959352
47,3.83,19.585323
48,6.0,21.000597
49,4.83,16.5907
50,3.33,21.155693
51,7.0,24.5107
