,HOPE,0
0,3.33,14.332768
1,3.67,15.361784
2,4.83,21.532482
3,4.5,17.341797
4,5.0,21.061699
5,4.33,19.519886
6,3.33,19.169117
7,2.83,18.830507
8,4.83,20.51094
9,4.83,21.918003
10,3.67,23.588793
11,5.17,21.17363
12,4.33,18.986397
13,4.5,12.985127
14,3.17,18.146055
15,4.5,20.797918
16,1.0,15.889131
17,3.33,20.392746
18,4.83,19.89744
19,4.5,18.768154
20,5.33,20.0483
21,3.5,17.048717
22,4.0,18.408464
23,4.17,22.176392
24,5.17,20.532227
25,6.0,23.958628
26,5.33,19.169716
27,5.33,23.887638
28,3.17,16.450087
29,5.33,22.68695
30,5.5,21.327509
31,3.5,19.533585
32,5.5,18.801243
33,5.33,20.282272
34,4.5,18.903076
35,3.33,16.274635
36,3.0,14.771304
37,5.67,23.565092
38,4.5,18.221886
39,3.67,18.479435
40,4.5,21.911938
41,4.0,20.329718
42,3.0,16.458504
43,4.67,18.181217
44,3.67,20.56474
45,5.17,22.265146
46,6.0,24.629574
47,5.0,22.51336
48,4.0,23.41087
49,5.5,19.988586
50,4.5,11.179863
51,4.17,18.97314
52,6.0,19.297968
53,4.33,18.301428
54,2.5,16.938126
55,3.67,17.460896
56,4.67,21.852268
57,3.17,18.74986
58,6.0,23.17926
59,4.67,17.024578
60,2.5,18.82677
61,5.5,20.507015
62,5.5,17.35329
63,4.17,19.103271
64,4.33,16.729082
65,2.33,15.09084
66,6.0,19.171322
67,4.33,17.779682
68,4.17,19.766556
69,3.17,19.39817
70,6.0,20.70008
71,4.0,20.279259
72,5.83,20.40662
73,4.17,20.868427
74,5.0,18.043583
75,5.5,16.807583
76,4.67,18.563652
77,5.33,21.024963
78,5.17,21.47005
79,4.33,17.257093
80,4.33,16.563618
81,4.83,19.45681
82,3.5,20.31708
83,4.0,18.921734
84,5.0,18.666786
85,3.5,19.3079
86,6.0,24.832817
87,5.0,23.577038
88,4.5,17.886286
89,5.17,20.831093
90,4.5,20.839682
91,5.83,21.319723
92,4.83,22.990396
93,5.33,22.209286
94,3.83,19.573338
95,3.0,20.870249
96,3.83,17.467443
97,5.0,19.76002
98,3.67,17.840775
99,3.83,21.082619
100,5.0,21.852497
101,4.33,15.351572
102,4.5,23.415594
103,4.33,18.448654
104,4.0,20.913967
105,3.83,21.47502
106,3.33,18.489647
107,4.0,21.244574
108,4.83,21.03606
109,5.83,21.250519
110,4.33,18.774916
111,3.33,17.928772
112,4.5,19.469639
113,5.17,19.161995
114,4.83,21.189053
115,5.83,23.425068
116,3.17,17.0111
117,3.5,20.52038
118,7.0,21.250273
119,3.17,21.347017
120,5.0,23.034153
121,4.17,16.243113
122,4.33,18.28358
123,6.0,22.100132
124,5.5,22.110086
125,4.0,16.565548
126,3.83,18.39735
127,3.67,19.312553
128,4.0,19.911541
129,4.0,17.479288
130,5.5,18.427382
131,2.0,15.885981
132,5.5,20.232117
133,3.5,20.357246
134,4.83,19.214848
135,4.5,17.9264
136,5.83,22.658628
137,4.5,18.63082
138,2.33,13.328983
139,4.5,18.704386
140,3.33,21.384197
141,4.17,18.234234
142,4.0,19.98062
143,4.83,22.773647
144,5.0,22.76242
145,3.0,18.47884
146,3.83,21.972065
147,3.17,19.22603
148,4.83,17.087124
149,4.83,17.678982
150,4.0,22.767635
151,3.83,19.337934
152,6.0,18.851963
153,6.0,22.47025
154,6.0,20.230318
155,4.33,18.138615
156,4.5,19.321896
157,3.17,16.281498
158,4.67,21.589064
159,4.0,18.612932
160,5.5,19.992666
161,6.0,22.648144
162,5.17,18.253708
163,3.17,18.96581
164,5.33,22.24584
165,3.5,17.161663
166,6.0,20.840733
167,5.83,20.870453
168,4.33,22.85408
169,4.5,19.463951
170,4.67,18.378033
171,2.17,20.798828
172,3.83,20.306665
173,3.33,14.239871
174,5.33,23.17875
175,4.33,18.173756
176,5.67,22.028067
177,5.67,22.910324
178,2.33,18.841183
179,3.67,19.61008
180,4.33,19.051813
181,5.67,22.956203
182,3.33,16.428276
183,4.17,19.621365
184,6.0,20.837412
185,6.0,26.510681
186,4.83,18.52432
187,4.5,18.31598
188,4.17,22.579666
189,5.17,23.652561
190,4.17,23.244736
191,5.17,22.501747
192,3.83,19.675426
193,4.17,23.215918
194,5.0,22.271614
195,5.67,17.87822
196,5.0,23.416302
197,5.17,19.129877
198,4.5,20.335903
199,4.67,21.591974
200,5.33,21.969858
201,5.17,18.87633
202,4.83,20.097643
203,4.17,21.131927
204,3.67,21.191442
205,5.67,17.731968
206,4.67,19.41377
207,5.83,22.367065
208,2.67,15.185575
209,2.33,20.150421
210,5.5,21.406975
211,5.67,26.855541
212,5.5,19.69238
213,4.33,23.023075
214,5.67,19.00383
215,5.0,20.216793
216,2.83,14.563023
217,4.0,18.43624
218,4.5,14.849128
219,3.0,17.770977
220,5.67,19.93814
221,5.0,21.350986
222,1.67,19.661858
223,4.17,21.796495
224,5.83,20.658463
225,4.67,19.674286
226,5.17,16.847284
227,4.83,21.534698
228,2.5,16.799713
229,4.17,22.129862
230,3.67,22.208715
231,4.5,21.697968
232,2.83,17.258385
233,3.83,16.761532
234,6.83,23.705824
235,5.67,22.340305
236,2.83,16.33783
237,3.67,17.238663
238,3.5,20.665583
239,3.67,20.257265
240,4.83,21.635475
241,4.83,18.04961
242,4.17,21.740696
243,6.0,22.22623
244,5.33,22.531834
245,4.5,22.203846
246,5.83,18.700552
247,3.5,15.41482
248,3.5,18.718632
249,5.33,27.235062
250,6.0,22.627064
251,6.0,24.379797
252,5.0,21.632431
253,4.67,20.502457
254,4.83,20.145782
255,3.5,22.334318
256,3.67,19.342487
257,5.0,25.242317
258,5.5,25.304853
259,5.33,22.851242
260,4.33,21.46936
261,6.0,21.577793
262,4.0,20.631859
263,2.83,15.465954
264,6.0,22.758932
265,3.67,17.122791
266,3.0,11.011058
267,4.67,18.722372
268,5.0,26.181845
269,4.67,19.294893
270,3.5,18.99761
271,5.67,24.077625
272,4.83,17.32958
273,5.5,22.031101
274,6.0,21.471235
275,5.0,19.936058
276,5.17,20.363348
277,3.83,18.33908
