,HOPE,0
0,3.0,14.1873865
1,4.67,20.436993
2,5.17,20.733093
3,4.0,23.167023
4,2.67,14.575015
5,3.17,15.197591
6,4.0,17.859955
7,4.17,18.657146
8,5.67,26.6721
9,3.17,15.907483
10,5.5,20.225672
11,4.67,21.17762
12,4.17,15.5573015
13,4.33,20.05123
14,5.17,22.266068
15,5.17,18.635105
16,2.33,18.412994
17,4.67,17.246937
18,3.67,18.879505
19,5.67,22.226973
20,5.17,21.586155
21,5.67,23.138203
22,7.0,21.997154
23,5.17,26.070469
24,6.0,20.865976
25,4.17,19.526707
26,4.33,13.649861
27,3.33,18.317642
28,3.83,19.594353
29,4.0,22.098078
30,5.5,20.998695
31,4.67,21.335506
32,3.5,17.798674
33,5.83,18.019115
34,5.33,19.484837
35,4.67,21.794245
36,4.17,18.096613
37,5.5,23.923252
38,5.67,23.133633
39,4.67,18.410017
40,5.0,20.42482
41,5.33,26.818134
42,4.83,18.473854
43,6.67,23.505745
44,2.67,13.774518
45,6.0,24.575127
46,5.5,21.04197
47,3.5,19.46539
48,4.5,21.288967
49,5.0,20.045784
50,3.67,20.131073
51,4.67,20.909573
52,3.17,19.72436
