,HOSTILITY,0
0,1.75,27.593412
1,0.5,21.829422
2,1.5,25.008808
3,2.0,20.327654
4,1.25,22.87478
5,1.0,24.684624
6,0.75,21.184298
7,0.0,22.63879
8,1.75,23.761759
9,0.75,20.547014
10,2.0,23.272087
11,1.5,23.481825
12,1.0,23.230062
13,2.25,26.725204
14,1.0,27.178913
15,0.75,25.16333
16,0.25,21.083586
17,1.0,20.8815
18,0.5,21.422838
19,0.75,21.79969
20,0.75,21.781815
21,0.25,26.273685
22,1.25,26.750128
23,0.5,21.267239
24,0.25,24.31345
25,0.75,18.077045
26,0.5,19.800583
27,0.0,22.83027
28,0.25,21.26812
29,0.5,18.514738
30,2.25,26.430176
31,0.0,20.530289
32,1.25,22.286392
33,1.5,22.147781
34,0.0,20.13544
35,0.75,20.554394
36,0.0,19.720863
37,0.0,21.248627
38,0.75,22.451962
39,3.0,26.81327
40,0.0,20.102945
41,1.0,22.262037
42,1.25,20.337948
43,1.25,20.188053
44,0.75,22.714048
45,0.25,20.789017
46,1.0,25.46255
47,0.5,21.970348
48,0.0,18.90456
49,0.5,20.588778
50,1.0,20.373867
51,0.0,21.524364
