,HOSTILITY,0
0,1.25,22.189224
1,1.25,25.247898
2,1.75,26.724659
3,2.25,23.143976
4,0.0,20.404926
5,0.0,19.871218
6,2.75,23.00072
7,1.5,22.288641
8,1.0,23.693426
9,0.75,22.580051
10,2.75,26.826454
11,0.0,20.048286
12,0.0,19.1768
13,0.0,18.261541
14,0.0,22.509386
15,0.0,23.489752
16,0.75,21.130836
17,1.5,22.230774
18,1.75,19.565248
19,1.0,21.583815
20,0.0,20.283005
21,0.5,21.681606
22,0.0,18.21213
23,1.75,18.0822
24,2.75,23.390753
25,0.0,21.511257
26,0.5,24.220612
27,0.25,20.499578
28,0.5,22.385105
29,1.75,24.70257
30,0.75,19.312677
31,0.0,18.025743
32,0.0,20.088402
33,1.0,21.371323
34,0.0,16.178423
35,0.0,20.12566
36,1.0,24.654686
37,0.25,19.525288
38,0.5,23.523647
39,0.25,19.322378
40,0.0,16.845642
41,0.0,24.837227
42,2.75,23.365685
43,0.0,16.572872
44,1.25,21.190836
45,0.0,17.745861
46,0.0,20.196049
47,1.0,18.615036
48,0.0,18.670563
49,0.5,17.649715
50,0.0,20.089918
51,1.0,24.180267
52,0.0,22.14816
53,0.0,20.355734
54,2.0,25.088362
55,0.75,22.982674
56,1.5,25.90819
57,0.25,21.696806
58,1.0,21.63853
59,0.0,24.505724
60,0.0,22.287964
61,2.0,25.827272
62,0.25,21.411566
63,0.0,18.91412
64,0.0,21.373932
65,0.0,20.13374
66,0.0,20.19644
67,0.75,20.16724
68,0.0,20.406282
69,0.0,20.767376
70,0.0,19.00077
71,0.0,16.594402
72,1.25,23.191946
73,2.25,22.1882
74,1.5,28.364414
75,0.0,23.904137
76,0.0,20.809834
77,1.5,21.619175
78,0.0,18.306324
79,0.0,20.37012
80,0.25,20.897135
81,0.5,22.485964
82,0.0,25.353094
83,1.5,24.82166
84,2.0,22.031034
85,2.5,27.626404
86,2.25,22.039276
87,0.0,19.683151
88,2.0,22.106955
89,1.5,25.004139
90,0.25,21.592915
91,0.0,18.102005
92,1.75,25.119244
93,0.0,21.474108
94,0.75,22.897604
95,1.5,25.940613
96,1.5,27.34431
97,0.0,21.991434
98,1.25,21.918968
99,1.5,20.680435
100,1.0,20.816507
101,0.5,23.046429
102,1.5,23.175938
103,1.25,24.502415
104,0.75,21.18777
105,0.0,19.438265
106,0.0,20.502993
107,2.0,26.803398
108,1.5,24.736012
109,0.5,17.22289
110,3.0,26.911928
111,1.75,23.01178
112,0.0,23.164375
113,0.75,24.017841
114,1.0,20.503838
115,1.5,22.426846
116,1.0,25.683523
117,1.25,18.854057
118,0.0,15.423986
119,0.0,19.20002
120,0.75,26.004782
121,2.25,28.005991
122,0.25,21.672466
123,0.5,18.499285
124,0.0,17.705818
125,1.75,24.611368
126,1.5,25.447674
127,1.75,27.378675
128,1.25,23.262674
129,0.5,21.04486
130,0.75,22.968903
131,0.5,15.079567
132,0.0,22.300186
133,0.25,23.96303
134,0.75,21.2331
135,0.0,19.595749
136,1.5,23.54087
137,1.5,24.01321
138,1.5,21.386196
139,1.5,23.36606
140,2.0,24.792505
141,1.25,21.492756
142,0.0,22.542795
143,1.5,25.667664
144,0.0,22.992361
145,0.75,23.269388
146,0.25,15.918993
147,1.0,23.312521
148,2.25,24.015732
149,0.75,18.17261
150,1.0,23.003345
151,0.5,20.676785
152,0.0,22.644789
153,0.0,17.72794
154,0.0,18.931713
155,1.0,22.029877
156,1.25,22.96246
157,1.5,23.32383
158,1.0,22.777035
159,0.75,23.78254
160,0.0,20.661633
161,0.5,20.877361
162,1.25,23.85057
163,2.25,23.646088
164,0.0,19.754433
165,1.0,27.088856
166,2.75,25.133472
167,0.25,24.057783
168,0.25,17.448633
169,0.25,20.089388
170,0.0,23.577915
171,0.0,22.492401
172,0.0,16.583714
173,2.0,25.95256
174,0.25,18.543812
175,2.75,27.917683
176,0.5,23.71043
177,0.0,22.098911
178,2.5,19.905567
179,0.25,19.40959
180,2.5,25.264544
181,0.5,27.54373
182,0.25,18.641872
183,1.0,23.596943
184,0.5,19.219767
185,0.0,21.095438
186,0.0,24.426613
187,0.75,20.750948
188,0.75,24.110369
189,1.0,17.951319
190,1.75,21.934631
191,2.25,23.6256
192,0.0,19.404333
193,1.25,23.674849
194,0.75,20.997238
195,1.5,24.783318
196,1.0,19.602335
197,1.75,19.797129
198,0.0,21.258633
199,0.75,20.680113
200,0.5,18.613737
201,0.0,22.526897
