,HOSTILITY,0
0,0.0,23.092861
1,0.5,18.386152
2,0.25,17.636206
3,2.5,26.0583
4,1.5,23.781961
5,0.0,17.45947
6,2.0,20.873001
7,1.5,24.419405
8,0.0,24.68682
9,1.25,23.392666
10,0.0,26.021303
11,2.75,22.367332
12,0.0,20.226418
13,0.0,20.792171
14,0.0,22.594809
15,0.75,20.325438
16,1.0,22.736044
17,0.25,20.597168
18,0.75,17.908419
19,1.25,20.226694
20,1.0,24.406578
21,2.0,20.876675
22,0.25,16.698584
23,1.25,24.823948
24,0.0,18.729397
25,1.25,22.22296
26,0.75,19.88372
27,0.0,17.283678
28,1.5,20.727634
29,1.0,19.570654
30,0.75,22.531166
31,0.0,20.88353
32,0.0,16.677956
33,0.5,22.792648
34,0.0,16.616396
35,1.0,22.25621
36,0.0,19.990356
37,0.0,16.238483
38,0.25,18.772854
39,0.0,18.832287
40,0.25,20.7078
41,0.75,19.734535
42,1.75,25.851875
43,0.0,20.360926
44,0.5,21.028423
45,0.5,21.197397
46,2.0,26.030607
47,0.5,17.57634
48,0.0,18.145641
49,0.75,22.172043
50,0.5,20.060352
51,1.0,22.197706
52,1.0,20.065702
