,HUM,0
0,10.0,46.621094
1,35.0,52.98698
2,50.0,59.676174
3,60.0,57.352016
4,60.0,61.245056
5,30.0,46.02342
6,90.0,59.28044
7,85.0,53.679253
8,90.0,60.945557
9,70.0,49.97945
10,80.0,51.506187
11,40.0,62.617935
12,25.0,55.472454
13,40.0,54.245415
14,5.0,53.643852
15,20.0,58.089325
16,60.0,55.27295
17,60.0,56.984867
18,60.0,59.80913
19,85.0,58.009075
20,10.0,54.66974
21,20.0,52.90583
22,5.0,54.49426
23,25.0,53.409046
24,85.0,55.912895
25,20.0,43.20116
26,35.0,46.36391
27,75.0,63.416897
28,70.0,61.081337
29,60.0,54.371582
30,75.0,61.68183
31,85.0,67.53811
32,60.0,34.273907
33,15.0,52.836323
34,35.0,53.31424
35,40.0,51.86772
36,85.0,55.525154
37,20.0,55.45741
38,60.0,56.761703
39,10.0,53.547234
40,40.0,54.00483
41,10.0,58.64907
42,60.0,54.563
43,70.0,57.57883
44,10.0,50.951878
45,100.0,58.856846
46,10.0,44.78323
47,60.0,56.611137
48,70.0,67.42127
49,100.0,64.986984
50,90.0,69.38532
51,10.0,58.739376
52,20.0,60.71896
53,10.0,56.215088
54,80.0,60.821186
55,85.0,60.745964
56,100.0,48.918068
57,90.0,59.830025
58,25.0,62.41519
59,10.0,42.965584
60,35.0,51.677834
61,10.0,51.89229
62,5.0,48.04528
63,65.0,45.764114
64,50.0,45.849064
65,5.0,54.037003
66,50.0,51.638184
67,80.0,49.773758
68,40.0,49.58751
69,30.0,51.26485
70,85.0,57.124893
71,95.0,57.908737
72,30.0,47.97431
73,10.0,53.54681
74,35.0,41.475426
75,10.0,49.485542
76,70.0,55.272446
77,85.0,56.38194
78,80.0,56.240967
79,5.0,51.838474
80,70.0,59.48813
81,15.0,54.355637
82,80.0,53.12502
83,20.0,51.724094
84,90.0,63.014954
85,5.0,56.147194
86,10.0,57.160076
87,60.0,54.60033
88,60.0,48.27617
89,85.0,60.814606
90,10.0,53.295414
91,70.0,59.973473
92,60.0,62.219147
93,40.0,52.608055
94,5.0,54.770565
95,10.0,47.396133
96,5.0,45.575333
97,35.0,56.035892
98,75.0,66.80892
99,85.0,54.048862
100,70.0,60.030518
101,10.0,50.64416
102,75.0,60.15841
103,10.0,43.935608
104,5.0,43.214798
105,5.0,59.8598
106,40.0,49.84941
107,65.0,59.476868
108,35.0,49.503914
109,100.0,47.900734
110,85.0,62.726524
111,70.0,54.780266
112,50.0,52.507683
113,20.0,54.81023
114,65.0,59.654602
115,20.0,56.311844
116,65.0,53.92585
117,10.0,60.812263
118,100.0,58.264023
119,40.0,44.749454
120,10.0,36.549614
121,95.0,62.097656
122,65.0,63.73046
123,50.0,51.40423
124,20.0,47.06589
125,100.0,63.048836
126,5.0,50.183655
127,60.0,50.67186
128,5.0,55.440094
129,90.0,66.77078
130,75.0,58.363064
131,80.0,64.59034
132,10.0,55.207645
133,70.0,45.438866
134,40.0,58.527893
135,90.0,60.770332
136,80.0,61.16248
137,85.0,53.812878
138,100.0,57.493824
139,65.0,62.376953
140,50.0,53.55489
141,70.0,54.514572
142,10.0,45.263603
143,15.0,55.645733
144,85.0,60.4985
145,70.0,51.708084
146,75.0,56.70063
147,35.0,49.276825
148,10.0,57.578056
149,95.0,60.260273
150,60.0,56.305996
151,85.0,56.896103
152,70.0,59.166546
153,10.0,53.491165
154,85.0,52.33989
155,10.0,39.23385
156,70.0,51.116905
157,70.0,57.24765
158,50.0,53.905117
159,5.0,55.47386
160,70.0,57.147526
161,80.0,58.80072
162,20.0,64.49864
163,100.0,58.62646
164,35.0,53.56075
165,5.0,47.3011
166,90.0,53.40198
167,100.0,51.249252
168,70.0,53.83542
169,60.0,47.911697
170,60.0,56.99773
171,50.0,57.82171
172,95.0,52.544197
173,35.0,55.958282
174,100.0,62.363235
175,100.0,56.359
176,60.0,54.251415
177,35.0,56.6718
178,35.0,47.61579
179,30.0,56.720406
180,70.0,58.041466
181,95.0,55.59474
182,5.0,52.321285
183,70.0,60.1333
184,20.0,51.164345
185,60.0,55.849022
186,85.0,58.144608
187,5.0,56.07807
188,85.0,61.625122
189,80.0,63.227074
190,60.0,48.976933
191,65.0,53.419983
192,35.0,56.65719
193,20.0,50.429337
194,80.0,56.09481
195,15.0,49.433727
196,5.0,54.384895
197,30.0,45.196392
198,50.0,61.819923
199,60.0,58.180733
200,60.0,55.17614
201,85.0,50.015594
202,40.0,55.73395
203,30.0,56.146637
204,85.0,58.72679
205,65.0,51.421097
206,80.0,52.621098
207,5.0,39.14061
208,50.0,56.679413
209,80.0,50.318947
210,65.0,55.121086
211,10.0,49.843582
212,10.0,47.958496
213,95.0,57.895958
214,60.0,49.32158
215,10.0,56.373734
216,85.0,56.23487
217,60.0,55.985588
218,70.0,49.854317
219,80.0,54.76528
220,5.0,53.63321
221,80.0,49.597855
222,10.0,55.157684
223,100.0,56.54782
224,5.0,63.523956
225,5.0,48.347332
226,90.0,68.02746
227,20.0,57.278652
228,60.0,56.90355
229,60.0,53.25487
230,70.0,57.39914
231,90.0,58.315636
232,80.0,49.622993
233,95.0,55.96608
234,70.0,61.55091
235,35.0,53.992638
236,20.0,57.393394
237,35.0,51.625397
238,65.0,60.54287
239,90.0,76.131424
240,90.0,54.400795
241,90.0,51.491165
242,25.0,53.466415
243,30.0,49.49106
244,25.0,51.25565
245,80.0,59.506992
246,100.0,54.405384
247,30.0,53.085926
248,70.0,54.220146
249,60.0,56.815235
250,25.0,59.245525
251,25.0,49.50348
252,85.0,60.333237
253,60.0,61.26603
254,15.0,52.660603
255,15.0,43.44125
256,100.0,51.61219
257,20.0,58.283722
258,10.0,54.965416
259,100.0,60.792233
260,75.0,55.193718
261,5.0,51.01062
262,60.0,56.778183
263,60.0,48.19991
264,60.0,51.7944
265,15.0,50.526527
266,65.0,52.801373
267,50.0,53.924522
268,60.0,57.36634
269,85.0,47.44593
270,50.0,59.98158
271,40.0,48.63562
272,20.0,51.787758
273,65.0,58.791508
274,25.0,41.848724
275,60.0,54.260376
276,25.0,49.32148
277,35.0,54.955692
278,10.0,50.693565
279,5.0,51.79985
280,10.0,48.338802
281,35.0,49.03671
282,90.0,56.544197
283,20.0,60.65548
284,85.0,61.830288
285,80.0,55.982098
286,10.0,44.821766
287,20.0,58.444004
288,35.0,51.938446
289,10.0,39.57331
290,70.0,61.67758
291,85.0,55.28949
292,50.0,59.511448
293,5.0,53.28424
294,60.0,53.858967
295,80.0,49.711838
296,100.0,54.816776
297,70.0,64.78188
298,10.0,51.1107
299,90.0,53.44166
300,90.0,57.60013
301,10.0,50.320946
302,65.0,61.439644
303,70.0,58.11515
304,100.0,50.14695
305,90.0,61.656807
306,30.0,50.87824
307,70.0,56.385544
308,20.0,49.82922
309,60.0,51.635548
310,15.0,57.39312
311,90.0,53.342537
312,50.0,54.17366
313,40.0,42.504814
314,5.0,45.567905
315,100.0,53.24002
316,10.0,56.374355
317,60.0,58.143772
318,85.0,57.94862
319,35.0,36.561142
320,20.0,60.090904
321,95.0,59.927284
322,80.0,57.313736
323,80.0,57.76888
324,65.0,51.931053
325,40.0,51.213444
326,65.0,60.95593
327,85.0,47.65742
328,30.0,52.75272
329,70.0,54.341255
330,85.0,45.60295
331,60.0,49.59629
332,60.0,54.1661
333,50.0,48.889015
334,15.0,50.948456
335,90.0,63.286484
336,25.0,60.7147
337,70.0,63.03433
338,30.0,52.570198
339,10.0,49.930836
340,80.0,53.30314
341,60.0,60.49405
342,60.0,57.719204
343,65.0,51.434925
344,60.0,44.5692
345,65.0,61.0689
346,65.0,45.795803
347,50.0,52.73509
348,25.0,52.41162
349,30.0,47.130634
350,70.0,52.789734
351,10.0,56.292805
352,30.0,57.694702
353,20.0,44.71646
354,100.0,49.111855
355,50.0,55.85573
356,35.0,42.9075
357,5.0,55.65094
358,5.0,50.889484
359,100.0,66.8459
360,70.0,53.2305
361,5.0,50.904686
362,5.0,60.32488
363,95.0,56.90249
364,70.0,63.851646
365,90.0,51.724068
366,50.0,57.012688
367,85.0,60.27788
368,30.0,52.166283
369,60.0,54.322712
370,95.0,49.563496
371,65.0,62.022884
372,25.0,55.044666
373,95.0,57.581074
374,70.0,67.90275
375,10.0,38.614643
376,70.0,57.7445
377,25.0,43.072174
378,20.0,32.85655
379,90.0,65.367386
380,50.0,54.48348
381,20.0,57.934288
382,75.0,53.773056
383,70.0,50.988464
384,85.0,59.406284
385,60.0,59.67057
386,95.0,64.897995
387,100.0,48.580772
388,15.0,43.599087
389,20.0,49.25447
390,10.0,55.01875
391,75.0,57.952393
392,85.0,58.4125
393,5.0,53.375263
394,85.0,57.952236
395,5.0,62.291
396,35.0,43.432343
397,25.0,54.498413
398,80.0,66.13649
399,90.0,58.309868
400,100.0,52.809364
401,50.0,46.384224
402,70.0,45.970875
403,10.0,59.473125
404,20.0,53.332916
405,40.0,40.813164
406,80.0,61.76628
407,5.0,49.217316
408,65.0,57.173035
409,85.0,62.200333
410,100.0,63.66883
411,35.0,48.73798
412,70.0,56.029106
413,75.0,53.905342
414,90.0,52.036545
415,10.0,48.106216
416,5.0,47.30716
417,20.0,58.336967
418,85.0,49.75376
419,70.0,68.764915
420,70.0,53.282906
421,90.0,55.387604
422,85.0,54.128036
423,95.0,53.871353
424,60.0,48.216457
425,20.0,48.647114
426,35.0,44.544888
427,70.0,61.81923
428,5.0,48.144703
429,40.0,52.520054
430,50.0,48.455116
431,35.0,48.580048
432,10.0,51.882744
433,20.0,46.1329
434,20.0,50.098663
435,90.0,57.258434
436,5.0,46.32937
437,20.0,48.21998
438,85.0,37.568558
439,60.0,51.225174
440,75.0,58.02186
441,70.0,62.91485
442,85.0,61.5499
443,35.0,57.529312
444,70.0,65.64563
445,25.0,47.35022
446,70.0,54.76057
447,10.0,37.67126
448,60.0,57.11019
449,50.0,46.111732
450,20.0,50.31952
451,20.0,56.916534
452,85.0,59.669014
453,25.0,47.19998
454,15.0,52.36013
455,50.0,49.370605
456,95.0,68.539566
457,20.0,47.324074
458,75.0,54.04888
459,10.0,45.10671
460,85.0,52.362858
461,60.0,46.91598
462,90.0,61.36317
463,100.0,61.76303
464,35.0,43.71695
465,60.0,41.055798
466,20.0,41.63424
467,5.0,47.139423
468,10.0,48.384403
469,80.0,60.550865
470,65.0,57.048164
471,10.0,60.191277
472,70.0,54.764614
473,75.0,52.79573
474,50.0,50.45278
475,75.0,56.322723
476,15.0,50.36459
477,70.0,51.339993
478,35.0,37.996387
479,10.0,53.481876
480,60.0,54.192265
481,90.0,64.08691
482,60.0,54.380527
483,70.0,64.624466
484,65.0,52.673615
485,85.0,46.926907
486,60.0,54.96222
487,15.0,49.844666
488,20.0,53.01457
489,60.0,58.01284
490,5.0,53.244972
491,60.0,56.59034
492,20.0,53.460316
493,95.0,54.4551
494,75.0,47.044193
