,HUM,0
0,20.0,52.707947
1,100.0,60.92187
2,10.0,52.39968
3,80.0,62.374184
4,95.0,54.815342
5,80.0,61.046734
6,15.0,50.316116
7,10.0,58.313034
8,35.0,35.697857
9,70.0,55.4286
10,70.0,63.22836
11,65.0,49.754684
12,65.0,58.605656
13,70.0,55.182613
14,20.0,45.66288
15,70.0,57.956818
16,50.0,45.440712
17,40.0,60.2854
18,95.0,53.13128
19,30.0,47.99656
20,90.0,57.40626
21,60.0,55.225834
22,10.0,52.767036
23,5.0,66.57331
24,85.0,61.945564
25,90.0,49.625053
26,60.0,56.353767
27,100.0,60.967945
28,95.0,57.709206
29,60.0,56.913578
30,85.0,54.983097
31,20.0,58.180885
32,15.0,53.65973
33,60.0,63.358383
34,15.0,51.343544
35,60.0,56.035397
36,20.0,49.341743
37,100.0,56.855576
38,40.0,58.68072
39,95.0,56.65398
40,85.0,60.5973
41,20.0,56.503555
42,70.0,52.100704
43,35.0,56.55683
44,50.0,46.495354
45,70.0,58.357346
46,95.0,57.52101
47,70.0,62.196213
48,30.0,48.88078
49,35.0,52.70224
50,10.0,47.428738
51,25.0,65.53259
52,5.0,47.249237
53,85.0,65.06543
54,85.0,66.075
55,90.0,60.203445
56,35.0,45.579533
57,65.0,56.87559
58,85.0,54.20884
59,25.0,61.38119
60,70.0,60.680443
61,15.0,60.52829
