,HYPER,0
0,59.79166667,45.01403
1,42.0,45.863346
2,35.0,41.664227
3,49.0,49.127308
4,54.0,47.303772
5,44.0,49.29385
6,61.0,49.407352
7,56.0,48.83654
8,39.0,39.80506
9,42.0,49.03869
10,40.0,47.296318
11,57.0,45.698784
12,38.0,39.85299
13,54.25,47.71797
14,42.0,44.628143
15,44.0,46.393276
16,81.0,50.064705
17,51.04166667,50.534527
18,48.0,48.9565
19,60.66666667,50.667767
20,39.0,44.04544
21,35.0,46.369312
22,60.33333333,44.443054
23,35.0,42.031242
24,41.0,48.88107
25,56.0,44.990566
26,63.0,54.47392
27,51.0,47.384373
28,56.25,53.54889
29,50.0,48.62866
30,48.0,44.972637
31,37.33333333,42.350113
32,35.0,40.97229
33,40.16666667,43.771763
34,41.0,46.50994
35,35.0,48.333076
36,54.0,54.71866
37,57.0,46.16533
38,48.0,46.187584
39,39.0,44.630474
40,35.0,48.367565
41,40.0,48.15895
42,39.0,49.029594
43,50.5,49.84014
44,35.0,49.606598
45,31.0,47.52253
46,42.0,42.05214
47,45.0,47.856483
48,48.0,47.618156
49,48.0,49.147354
50,78.0,57.285732
51,41.0,46.02107
52,56.0,53.882927
53,58.0,47.491524
54,54.0,48.871826
55,38.20833333,48.18766
56,41.33333333,46.744072
57,38.0,42.869957
58,46.0,46.750412
59,46.0,46.377045
60,38.0,52.277157
61,51.0,42.804707
62,54.0,43.01996
63,45.0,46.17404
64,65.0,47.323036
65,39.0,48.185894
66,38.0,43.852776
67,51.0,51.531902
68,60.0,52.00936
69,57.16666667,56.962894
70,57.16666667,54.116447
71,45.0,41.762165
72,45.625,47.801414
73,50.0,49.489773
74,37.26666667,46.201977
75,52.70833333,52.78637
76,43.0,46.321968
77,52.0,49.91999
78,42.0,47.714634
79,50.06666667,48.714455
80,44.0,45.63067
81,84.0,46.861977
82,58.0,48.383354
83,44.0,45.179134
84,41.0,50.106457
85,42.08333333,45.95405
86,35.0,40.438637
87,35.0,47.882263
88,49.0,49.209694
89,41.0,44.905342
90,39.0,45.45199
91,35.0,44.902603
92,70.66666667,51.89941
93,43.66666667,46.236675
94,54.0,43.303814
95,35.0,45.23845
96,35.0,43.92694
97,41.41666667,47.47982
98,65.0,45.128304
99,33.0,46.709152
100,51.0,46.090515
101,80.0,47.29961
102,53.0,48.566833
103,38.0,44.930145
104,61.0,49.62031
105,44.5,43.91148
106,47.0,49.231934
107,35.0,45.223133
108,35.0,47.178867
109,41.0,51.99204
110,96.0,50.688232
111,38.0,46.318623
112,53.0,52.862762
113,52.0,52.767788
114,56.0,48.67642
115,66.66666667,50.64744
116,51.0,51.21752
117,50.0,49.623863
118,48.0,47.578327
119,46.0,50.91997
120,60.0,43.2839
121,43.0,45.427887
122,35.0,47.342175
123,45.625,47.48647
124,48.0,51.01322
125,51.0,49.01067
126,42.0,47.175697
127,51.33333333,42.33452
128,35.0,45.894974
129,35.0,47.78056
130,53.0,53.81234
131,38.0,45.48114
132,51.04166667,51.00611
133,42.08333333,43.716927
134,45.625,47.94784
135,37.26666667,46.218113
136,51.0,50.21884
137,60.66666667,50.114346
138,42.0,45.183163
139,39.0,42.653515
140,69.0,51.869274
141,61.0,48.706577
142,46.0,47.96914
143,40.0,47.703274
144,35.0,51.20724
145,48.0,47.483395
146,51.0,49.986164
147,48.0,51.251205
148,35.0,44.935265
149,35.0,46.5595
150,45.0,50.11693
151,70.66666667,47.04917
152,48.0,47.44862
153,41.0,48.19059
154,35.0,41.513824
155,53.08333333,47.794945
156,44.625,46.98769
157,74.0,46.839687
158,37.58333333,47.22466
159,40.0,47.407593
160,46.66666667,44.425255
161,44.0,43.974895
162,54.0,44.59769
163,55.66666667,48.53483
164,42.75,43.629772
165,35.13333333,41.547546
166,49.0,48.274364
167,50.83333333,44.66954
168,37.0,43.144787
169,35.0,45.67354
170,49.0,45.596684
171,48.0,46.699665
172,46.66666667,39.44683
173,74.0,42.649403
174,33.0,46.07439
175,44.5,49.788906
176,54.0,51.87067
177,53.08333333,49.39434
178,35.0,46.1825
179,56.0,48.248493
180,40.0,40.261703
181,55.66666667,52.653477
182,48.0,47.79544
183,43.0,48.305702
184,43.0,43.23331
185,48.0,47.739502
186,35.0,40.51756
187,52.0,53.14456
188,46.0,46.159603
189,47.0,47.79564
190,45.625,46.33592
191,67.0,47.486256
192,45.0,44.510536
193,53.0,51.00884
194,74.0,54.265217
195,82.0,45.819435
196,54.0,49.98006
197,61.0,57.0744
198,45.0,48.179947
199,45.8,37.49128
200,66.0,53.13588
201,58.0,50.067165
202,63.875,54.979668
203,42.0,51.96883
204,50.0,45.86815
205,41.0,49.995556
206,47.83333333,47.705307
207,37.0,45.513187
208,39.0,49.240677
209,47.66666667,47.37713
210,43.0,46.395184
211,43.0,46.591045
212,67.0,53.34039
213,61.0,49.455624
214,47.93333333,48.196835
215,54.0,48.26379
216,46.0,42.37566
217,44.0,51.6857
218,35.0,42.68524
219,70.0,47.390907
220,59.0,49.12663
221,45.8,48.390392
222,64.0,54.836067
223,52.0,51.646317
224,44.0,49.960262
225,97.0,49.33377
226,82.0,50.2045
227,40.0,53.53683
228,35.0,49.06737
229,63.0,53.34481
230,51.0,50.168858
231,42.0,48.46876
232,51.0,47.691154
233,48.0,47.312897
234,52.0,45.971146
235,42.0,43.543888
236,89.0,46.670155
237,40.0,50.61781
238,42.0,46.772263
239,48.0,47.725834
240,40.0,45.83908
241,35.0,40.933933
242,64.0,40.437244
243,35.0,42.223106
244,77.0,52.51815
245,42.75,44.150074
246,35.0,42.65159
247,35.0,49.956688
248,50.0,49.744053
249,68.58333333,47.2616
250,63.0,48.68081
251,65.0,53.110046
252,55.66666667,45.034264
253,35.0,46.106308
254,80.0,46.209007
255,35.0,44.901802
256,37.58333333,38.67746
257,71.0,47.376408
258,35.0,39.628418
259,50.0,47.74863
260,61.0,50.0035
261,43.0,45.381172
262,45.0,47.142693
263,61.0,60.511955
264,76.0,45.874706
265,51.0,49.89967
266,54.0,48.76301
267,43.0,47.958378
268,42.0,45.419815
269,49.0,47.53936
270,50.83333333,49.93272
271,63.0,50.41058
272,46.0,44.961174
273,46.0,49.850235
274,47.0,44.16191
275,58.0,52.80048
276,35.0,43.215034
277,50.83333333,47.755093
278,49.66666667,49.109795
279,39.4,39.268238
280,43.6,43.885555
281,46.0,45.715214
282,76.0,45.69828
283,45.0,44.142796
284,93.0,54.667393
285,54.0,48.24319
286,64.0,52.93695
287,38.0,40.777187
288,42.75,42.251343
289,36.0,39.470047
290,40.0,46.97852
291,37.0,51.4656
292,63.0,52.67384
293,38.0,46.896866
294,56.0,49.15469
295,48.0,47.77317
296,50.0,44.4726
297,67.0,47.85195
298,54.33333333,44.360653
299,47.66666667,49.93442
300,50.0,49.13928
301,44.625,43.525627
302,41.41666667,41.426384
303,38.0,48.95152
304,65.0,48.977543
305,39.0,42.513912
306,40.16666667,55.670544
307,47.83333333,47.889633
308,37.0,43.963764
309,41.0,46.085766
310,43.6,43.736927
311,50.0,45.47028
312,54.0,53.277824
313,54.0,50.03399
314,70.0,52.707886
315,86.0,54.00875
316,51.0,51.037197
317,63.875,50.73524
318,45.0,43.718235
319,56.0,49.725777
320,57.0,46.730343
321,38.54166667,46.936447
322,47.0,46.990917
323,56.0,52.29851
324,45.0,45.103638
325,40.0,39.427795
326,35.0,44.031742
