,IDL,0
0,55.0,78.56029
1,70.0,66.53764
2,75.0,76.19904
3,45.0,74.49906
4,70.0,73.11038
5,95.0,80.024376
6,70.0,77.668205
7,45.0,76.51024
8,80.0,72.49899
9,80.0,72.297874
10,80.0,71.65376
11,80.0,75.62994
12,95.0,70.468605
13,80.0,79.55565
14,60.0,74.73223
15,95.0,75.07571
16,95.0,79.47143
17,60.0,74.633255
18,95.0,65.69857
19,70.0,67.08623
20,80.0,79.93571
21,75.0,70.534386
22,30.0,75.10277
23,35.0,75.7888
24,95.0,81.606544
25,20.0,56.07127
26,70.0,82.01736
27,70.0,70.40285
28,75.0,71.4569
29,55.0,75.8811
30,30.0,75.98986
31,95.0,77.123184
32,75.0,81.77331
33,95.0,83.900955
34,25.0,78.03531
35,30.0,72.51236
36,95.0,91.68462
37,30.0,62.773373
38,95.0,78.80973
39,95.0,79.28071
40,5.0,80.214775
41,5.0,70.439156
42,55.0,73.18023
43,80.0,78.880554
44,80.0,76.25454
45,25.0,74.19192
46,85.0,65.533455
47,55.0,77.772194
48,95.0,81.604355
49,75.0,74.89788
50,75.0,69.111046
51,55.0,70.48143
52,30.0,73.268234
53,75.0,78.33058
54,25.0,71.462036
55,75.0,73.944695
56,45.0,83.703575
57,75.0,72.3617
58,5.0,70.82756
59,30.0,71.594376
60,45.0,73.25928
61,70.0,69.686714
