,IDL,0
0,80.0,78.41097
1,95.0,83.86332
2,35.0,68.09323
3,95.0,75.51581
4,95.0,76.11906
5,70.0,69.8836
6,80.0,70.24611
7,60.0,68.398
8,85.0,76.94755
9,80.0,89.51719
10,70.0,67.5629
11,95.0,72.91868
12,85.0,70.76051
13,45.0,72.44863
14,80.0,69.46793
15,60.0,79.663574
16,95.0,78.900856
17,25.0,75.32259
18,5.0,74.864815
19,95.0,68.810455
20,95.0,79.10641
21,70.0,81.36829
22,95.0,82.61494
23,80.0,80.27263
24,80.0,75.56832
25,70.0,71.08303
26,80.0,70.470116
27,75.0,73.248055
28,95.0,82.966965
29,60.0,65.20861
30,95.0,70.50559
31,10.0,69.59258
32,95.0,86.66293
33,75.0,70.97082
34,35.0,78.210464
35,45.0,78.77207
36,60.0,78.10594
37,95.0,76.82719
38,80.0,77.10257
39,95.0,77.48529
40,30.0,67.58694
41,95.0,69.96835
42,80.0,82.09663
43,95.0,77.6447
44,35.0,67.26
45,25.0,67.67736
46,95.0,77.104515
47,95.0,71.35127
48,95.0,76.99377
49,80.0,76.15334
50,70.0,72.43866
51,5.0,60.0742
52,85.0,85.85807
53,95.0,93.071144
54,55.0,66.90576
55,25.0,75.296486
56,60.0,73.241806
57,95.0,74.32458
58,20.0,70.96081
59,95.0,92.13014
60,85.0,78.390884
61,80.0,72.437584
62,80.0,69.74052
63,95.0,66.94947
64,75.0,77.88557
65,95.0,80.240036
66,45.0,73.812225
67,85.0,81.40079
68,85.0,71.9034
69,70.0,77.715965
70,85.0,81.39595
71,55.0,66.83387
72,80.0,78.37849
73,45.0,78.96032
74,10.0,75.54922
75,95.0,74.99497
76,55.0,71.84458
77,60.0,77.05645
78,5.0,80.88506
79,45.0,80.892845
80,20.0,69.99476
81,95.0,75.293755
82,20.0,81.59599
83,70.0,80.53911
84,95.0,70.85647
85,45.0,72.03266
86,60.0,73.5519
87,35.0,70.97348
88,95.0,68.24066
89,60.0,66.73318
90,45.0,66.294426
91,95.0,83.48631
92,80.0,80.60376
93,95.0,80.61822
94,80.0,70.367165
95,25.0,74.69546
96,75.0,72.92165
97,80.0,79.96588
98,55.0,68.66544
99,75.0,77.432365
100,55.0,70.782814
101,85.0,73.25231
102,95.0,81.73088
103,60.0,72.10432
104,95.0,79.60879
105,55.0,77.003654
106,75.0,72.626595
107,70.0,71.99627
108,55.0,80.37644
109,45.0,67.79597
110,80.0,74.429955
111,55.0,80.251366
112,30.0,67.58603
113,10.0,58.62156
114,80.0,79.4135
115,45.0,76.58726
116,45.0,77.21787
117,55.0,68.53432
118,95.0,78.84232
119,45.0,75.00166
120,55.0,68.34668
121,70.0,74.82805
122,30.0,68.02035
123,20.0,57.584343
124,95.0,78.33824
125,45.0,58.978146
126,80.0,77.78486
127,95.0,95.52793
128,95.0,90.471954
129,45.0,70.1036
130,95.0,79.323746
131,95.0,72.24044
132,95.0,95.810486
133,45.0,71.43944
134,85.0,72.14562
135,45.0,74.67446
136,85.0,72.65282
137,95.0,73.22738
138,95.0,81.26953
139,70.0,70.23209
140,95.0,64.83918
141,70.0,69.97811
142,20.0,70.64684
143,95.0,60.635567
144,95.0,80.569046
145,10.0,81.92386
146,55.0,76.950714
147,70.0,74.06384
148,95.0,81.6629
149,80.0,80.27967
150,70.0,70.261696
151,70.0,67.98306
152,95.0,73.267494
153,95.0,70.45805
154,45.0,69.23253
155,10.0,66.36377
156,55.0,68.83001
157,55.0,53.78532
158,95.0,72.20427
159,45.0,69.2387
160,85.0,80.4466
161,95.0,70.93732
162,55.0,77.13079
163,45.0,67.48913
164,95.0,81.26703
165,80.0,74.66897
166,55.0,66.187195
167,80.0,81.10944
168,75.0,74.56303
169,10.0,63.787045
170,55.0,57.083397
171,95.0,85.025955
172,95.0,74.432846
173,95.0,69.14725
174,45.0,59.078953
175,95.0,70.24003
176,75.0,73.630455
177,95.0,89.838394
178,10.0,72.95824
179,75.0,74.74941
180,75.0,78.28096
181,95.0,67.289635
182,25.0,75.00995
183,95.0,92.23786
184,95.0,63.37672
185,25.0,66.65025
186,80.0,84.74319
187,95.0,74.68816
188,80.0,80.46204
189,85.0,72.7288
190,20.0,64.35151
191,95.0,82.770294
192,95.0,93.35775
193,55.0,71.28007
194,70.0,66.669266
195,70.0,73.76524
196,95.0,74.288445
197,60.0,73.753174
198,70.0,69.522224
199,80.0,68.52171
200,80.0,77.41975
201,95.0,92.09406
202,45.0,69.567535
203,60.0,61.25145
204,55.0,66.06683
205,95.0,71.48765
206,95.0,70.731895
207,55.0,72.83328
208,45.0,73.45377
209,10.0,68.34886
210,55.0,72.789116
211,45.0,82.17124
212,95.0,85.045685
213,95.0,84.41596
214,35.0,69.6438
215,75.0,74.95049
216,95.0,83.22102
217,95.0,80.57177
218,45.0,68.03847
219,30.0,75.95032
220,55.0,79.754326
221,55.0,58.576237
222,95.0,84.090355
223,45.0,76.62538
224,60.0,70.08086
225,45.0,67.15634
226,80.0,82.66987
227,45.0,76.35479
228,70.0,73.59574
229,70.0,68.73199
230,75.0,75.48215
231,70.0,64.20778
232,80.0,79.68371
233,45.0,76.24775
234,20.0,78.07369
235,95.0,73.963356
236,95.0,77.89716
237,55.0,66.349
238,60.0,71.37773
239,75.0,75.18333
240,85.0,80.77619
241,85.0,73.00173
242,95.0,82.80827
243,55.0,60.425026
244,70.0,78.64691
245,70.0,79.80006
246,60.0,78.27775
247,80.0,80.61321
248,30.0,62.793346
249,95.0,72.90494
250,80.0,74.25968
251,75.0,72.07859
252,70.0,70.75212
253,25.0,66.01255
254,70.0,70.26185
255,70.0,70.53741
256,95.0,74.38193
257,95.0,81.43843
258,70.0,86.85364
259,45.0,80.235374
260,80.0,75.791794
261,25.0,75.94259
262,80.0,79.1821
263,5.0,67.4676
264,75.0,74.919716
265,30.0,70.82694
266,20.0,72.52888
267,45.0,61.234737
268,95.0,70.98849
269,80.0,72.429306
270,45.0,66.7715
271,35.0,78.47985
272,55.0,69.41289
273,95.0,77.688255
274,95.0,74.32208
275,95.0,77.10986
276,95.0,83.884964
277,70.0,68.57623
278,80.0,82.03077
279,75.0,72.49668
280,80.0,78.801796
281,75.0,76.99079
282,95.0,92.24767
283,45.0,78.73879
284,95.0,67.9618
285,80.0,75.12119
286,95.0,81.133934
287,95.0,71.39679
288,95.0,72.22632
289,55.0,75.717224
290,45.0,72.9456
291,80.0,73.88013
292,85.0,70.52732
293,95.0,69.872826
294,95.0,87.223
295,55.0,57.80248
296,80.0,77.068016
297,85.0,75.96137
298,95.0,82.90306
299,70.0,69.50829
300,55.0,74.37263
301,45.0,71.48412
302,45.0,65.48894
303,5.0,71.77448
304,60.0,75.34782
305,75.0,75.68716
306,95.0,74.97259
307,95.0,76.43797
308,80.0,75.17413
309,60.0,74.97037
310,95.0,74.297745
311,85.0,78.85818
312,80.0,81.04467
313,45.0,77.13429
314,70.0,81.63667
315,70.0,88.89447
316,55.0,80.1145
317,55.0,78.39412
318,95.0,73.42923
319,95.0,96.89876
320,30.0,71.62684
321,45.0,71.63063
322,80.0,69.839905
323,70.0,73.76591
324,45.0,68.66856
325,5.0,61.161724
326,70.0,77.15387
327,25.0,73.98041
328,30.0,68.47994
329,45.0,78.00648
330,95.0,81.10012
331,95.0,80.94017
332,70.0,69.84733
333,95.0,83.59374
334,95.0,76.67303
335,80.0,73.78441
336,75.0,75.16149
337,45.0,65.93232
338,95.0,72.987236
339,55.0,73.19865
