,IDL,0
0,85.0,74.34894
1,75.0,70.623566
2,30.0,67.28297
3,30.0,67.59568
4,45.0,75.86295
5,5.0,61.116295
6,95.0,81.820526
7,20.0,69.64119
8,85.0,71.57602
9,45.0,72.48071
10,70.0,81.644936
11,75.0,71.13268
12,85.0,79.38577
13,75.0,82.430916
14,80.0,76.97807
15,95.0,71.71657
16,95.0,71.07757
17,80.0,86.46319
18,95.0,72.004684
19,20.0,66.94875
20,95.0,83.42527
21,85.0,76.02227
22,80.0,77.5496
23,80.0,77.41116
24,10.0,75.1092
25,70.0,78.95252
26,80.0,79.09415
27,75.0,79.06729
28,75.0,74.83094
29,80.0,68.86328
30,55.0,82.42754
31,80.0,80.649635
32,45.0,78.94176
33,70.0,75.70449
34,20.0,79.7397
35,45.0,67.51372
36,55.0,75.5006
37,70.0,70.162254
38,95.0,72.7398
39,95.0,74.795
40,45.0,67.52122
41,95.0,66.96571
42,20.0,71.081215
43,45.0,70.2531
44,55.0,79.16982
45,5.0,71.4042
46,75.0,70.91155
47,30.0,76.80075
48,45.0,79.45615
49,85.0,79.572945
50,95.0,90.5342
51,70.0,70.08045
52,80.0,79.098045
53,55.0,78.32505
54,95.0,73.80651
55,95.0,75.48949
56,55.0,78.16329
57,80.0,74.19725
58,95.0,72.86812
59,75.0,71.635574
60,80.0,80.378174
61,75.0,73.9629
