,IMPULSIVITY,0
0,1.0,12.75133
1,0.25,12.869217
2,0.5,13.1343775
3,0.25,10.62491
4,0.25,8.591932
5,0.5,12.911035
6,0.5,9.208283
7,2.5,15.299918
8,0.0,9.451104
9,0.5,10.6163845
10,1.0,11.62929
11,0.25,8.138014
12,1.5,15.431002
13,0.75,9.904854
14,1.75,14.552718
15,0.25,12.537647
16,1.75,15.357964
17,2.25,14.566196
18,1.5,9.772496
19,2.0,12.327314
20,1.5,10.875891
21,0.0,1.7116792
22,1.75,12.509228
23,1.0,10.193186
24,0.75,8.741684
25,2.5,14.031384
26,2.0,15.08873
27,0.25,8.827319
28,1.25,15.544075
29,3.0,14.111434
30,0.0,11.35095
31,2.75,12.674682
32,1.0,10.831671
33,0.0,9.729887
34,1.75,12.687208
35,0.0,10.693083
36,0.25,12.156473
37,0.0,5.288652
38,0.75,8.984529
39,0.0,12.180915
40,1.0,13.765699
41,1.0,9.912755
42,0.0,8.548012
43,1.25,14.058002
44,0.25,6.7647114
45,0.5,13.495676
46,0.75,6.757551
47,1.5,11.117582
48,1.5,11.914415
49,2.75,16.710361
50,1.0,15.43121
51,0.75,12.122163
