,IMPULSIVITY,0
0,1.75,10.79069
1,2.25,16.032146
2,2.0,12.699592
3,2.75,12.224514
4,1.25,10.3891
5,0.0,4.7833056
6,2.0,11.03058
7,0.0,10.161863
8,1.5,9.01849
9,1.25,12.761488
10,0.75,10.308676
11,1.5,17.226374
12,0.5,8.087616
13,1.0,13.4396925
14,0.75,13.96668
15,0.25,8.931532
16,0.25,8.90483
17,0.0,7.4825416
18,1.25,13.868457
19,2.0,13.675691
20,1.0,11.29939
21,0.5,15.987104
22,1.5,15.613937
23,0.25,13.35968
24,1.75,13.93993
25,3.0,9.940418
26,1.75,12.745655
27,0.25,4.8405795
28,1.0,9.899673
29,1.0,9.409466
30,1.25,9.730515
31,2.0,13.400832
32,1.75,9.266289
33,1.0,8.377431
34,0.75,9.161527
35,0.75,11.008379
36,0.0,6.1219196
37,0.25,5.7905593
38,0.75,8.79609
39,0.75,7.4127307
40,1.0,10.039798
41,1.0,13.287531
42,0.0,8.153656
43,1.75,14.384258
44,0.5,8.846501
45,0.5,8.866835
46,2.25,17.348919
47,1.5,16.63644
48,0.75,12.128997
49,0.0,7.837798
50,0.5,8.948414
51,0.75,7.4196134
52,0.25,8.714051
53,0.5,9.466788
54,1.5,14.66452
55,0.25,9.903036
56,0.25,12.877926
57,0.0,12.831147
58,2.25,12.552549
59,0.75,12.700563
60,2.0,14.612837
61,1.5,16.318295
62,1.5,10.810999
63,1.75,11.34718
64,0.5,13.214527
65,1.0,13.477706
66,2.5,16.037004
67,0.0,9.703028
68,2.25,14.912982
69,1.0,12.419349
70,1.0,9.545721
71,1.5,16.13069
72,0.0,5.871302
73,0.75,11.802563
74,1.0,9.877321
75,0.25,8.429885
76,0.75,12.422095
77,2.5,18.359955
78,0.25,3.5216703
79,2.0,15.019508
80,1.0,10.213618
81,1.5,16.027477
82,1.75,17.942434
83,0.0,7.6503043
84,0.75,9.568262
85,0.75,7.4586673
86,1.0,10.745914
87,0.75,9.648943
88,1.0,6.860455
89,0.5,6.948183
90,1.0,12.909171
91,0.0,11.212521
92,0.0,9.686496
93,0.25,8.944221
94,1.25,12.344457
95,0.5,11.762873
96,0.75,15.171279
97,0.75,10.280271
98,0.0,4.6272335
99,0.0,11.386983
100,2.75,12.061523
101,1.75,14.794771
102,1.25,12.337457
103,0.5,10.122388
104,1.5,9.146291
105,0.0,9.573677
106,0.75,12.580593
107,2.0,8.118684
108,2.5,16.7718
109,0.0,6.183628
110,0.75,8.642121
111,1.0,5.812919
112,1.0,8.822582
113,2.0,16.997627
114,2.25,14.6017
115,1.75,18.51797
116,1.5,9.666587
117,1.75,12.799467
118,1.0,11.290328
119,0.0,9.4567795
120,0.75,13.316902
121,0.75,12.119188
122,2.0,19.161707
123,0.5,10.30773
124,2.5,11.75987
125,0.75,10.537581
126,0.5,9.592386
127,2.25,14.987339
128,1.5,12.245743
129,1.5,19.086079
130,0.5,10.268645
131,0.75,15.957421
132,0.25,4.710793
133,1.5,12.139538
134,0.75,2.2487626
135,0.0,10.393723
136,2.0,13.406417
137,0.75,9.338535
138,0.0,11.58835
139,1.5,10.817943
140,0.75,12.747447
141,0.5,10.803917
142,0.0,10.372636
143,0.25,9.647428
144,0.25,11.460124
145,0.75,12.008189
146,1.25,9.647586
147,1.75,11.234163
148,1.5,9.716186
149,0.5,9.656368
150,0.25,16.397055
151,0.25,10.837669
152,1.25,10.670414
153,0.25,6.5752053
154,0.5,11.023597
155,0.75,9.437138
156,1.5,13.209778
157,1.75,13.976078
158,0.75,7.77254
159,1.25,14.707555
160,1.75,14.521189
161,0.75,11.224392
162,0.5,8.618162
163,0.5,8.893155
164,1.0,12.061048
165,2.25,16.971518
166,0.5,12.960076
167,0.0,9.057571
168,0.75,14.589184
169,1.75,12.143227
170,2.25,13.806038
171,1.5,10.853061
172,0.75,11.811757
173,1.75,15.792719
174,0.0,8.032165
175,0.0,6.8457994
176,1.25,13.255976
177,2.0,18.090164
178,1.75,10.125036
179,0.0,13.244181
180,1.25,10.772011
181,0.75,11.656174
182,1.25,12.226741
183,1.75,8.523204
184,1.0,11.654951
185,1.0,15.897144
186,0.0,10.322666
187,1.25,12.97065
188,0.75,9.797787
189,0.0,10.150836
190,2.0,13.087284
191,2.0,12.927517
192,2.25,15.006347
193,1.75,14.2312355
194,2.0,12.109332
195,1.5,12.273177
196,1.0,8.812054
197,1.75,9.011178
198,0.75,9.146326
199,0.75,8.653
200,0.75,8.34424
201,2.0,11.24326
202,0.5,10.175522
203,0.0,10.714218
204,2.75,13.87295
205,0.0,11.572885
206,0.5,6.7235785
207,1.0,11.631954
208,0.0,11.779797
209,0.0,10.070616
210,0.75,9.831715
211,1.75,14.79891
212,0.0,8.161277
213,1.25,11.590635
214,1.75,9.27098
215,1.5,12.111578
216,1.0,8.488598
217,0.5,9.98815
218,1.75,18.18686
219,1.5,12.38273
220,1.75,15.58304
221,0.25,12.020062
222,0.75,12.990965
223,1.5,13.477412
224,0.75,13.331933
225,0.75,10.127922
226,0.0,7.17021
227,0.25,14.326922
228,0.25,12.906044
229,2.75,13.08716
230,1.5,9.987735
231,1.0,14.956703
232,0.0,7.27125
233,1.0,12.731251
234,0.0,12.824439
235,1.75,16.047947
236,0.5,6.3363776
237,1.25,12.54349
238,1.5,11.609036
239,1.5,16.224447
240,0.0,11.40619
241,0.75,12.81363
242,3.0,16.427113
243,0.0,14.0849695
244,0.25,7.7749295
245,0.75,10.681598
246,0.5,13.501141
247,0.5,12.3581505
248,1.75,16.362247
249,1.5,10.26546
250,0.5,8.509639
251,1.0,11.940598
252,0.75,7.9193172
253,2.0,15.510886
254,0.0,13.890416
255,0.0,13.925606
256,1.25,12.000196
257,2.75,17.108414
258,1.25,8.63448
259,0.0,13.702691
260,0.75,7.7777443
261,0.0,10.880641
262,0.75,15.039303
263,0.5,8.432717
264,1.0,11.405481
265,0.25,9.9738455
266,0.0,7.8798995
267,0.75,10.839727
268,1.5,13.375099
269,1.0,10.719309
270,0.0,8.95643
271,1.75,14.744249
272,1.0,12.311902
273,0.0,4.5942464
274,1.5,14.515634
275,2.75,13.493006
276,0.5,4.794561
277,0.0,8.674129
278,0.25,10.871841
279,0.75,9.167573
280,2.0,16.101982
281,0.75,12.817016
282,1.75,10.852812
283,0.25,8.741717
284,1.0,8.953505
285,0.75,12.700489
286,1.0,10.531798
287,1.0,13.742808
288,1.0,12.140275
289,0.25,5.9813237
290,2.0,17.125956
291,0.25,11.817543
292,0.5,10.018282
293,0.0,10.779452
294,0.75,14.914947
295,0.0,9.548764
296,1.75,13.626179
297,0.25,12.467266
298,1.75,12.646351
299,2.5,10.3255415
300,1.25,15.93701
301,0.25,5.96214
302,1.5,13.140505
303,1.0,9.916341
304,0.75,11.729273
305,0.0,7.6856318
306,0.0,12.935845
307,1.0,10.782484
308,0.75,10.025575
309,1.75,9.208826
310,0.5,9.465792
311,3.0,14.817877
312,1.0,12.986984
313,1.5,13.533697
314,1.25,9.984653
315,0.0,13.676098
316,0.75,8.935154
317,0.75,11.8553505
318,1.5,14.002844
319,0.25,2.2438524
320,2.25,13.785976
321,1.5,14.649809
322,1.75,11.17032
323,2.0,15.3677635
324,1.0,11.518155
325,1.75,13.865982
326,1.75,14.469475
327,0.75,10.3930645
328,2.0,12.350151
329,0.25,3.6348412
330,0.0,7.2622676
331,0.25,10.821661
332,0.5,7.444699
333,2.75,17.161203
334,0.75,12.337662
335,1.75,12.303079
336,0.25,10.031453
337,0.5,11.534548
338,0.0,10.633051
339,2.0,15.023345
340,1.0,12.426809
341,0.5,11.583469
342,1.75,10.462048
343,2.0,15.606445
344,0.25,10.1181755
345,0.25,9.399538
346,1.25,13.401433
347,0.0,9.357082
348,0.5,7.628923
349,1.5,13.183541
350,0.0,11.295702
351,0.0,10.4416485
352,0.25,7.170753
353,1.0,13.450284
