,IMPULSIVITY,0
0,0.0,8.95106
1,1.25,9.916054
2,3.0,12.788866
3,0.25,10.878957
4,1.75,9.530664
5,0.0,15.344605
6,0.0,13.854499
7,0.5,8.821358
8,2.25,19.02192
9,1.25,13.170192
10,1.0,10.1579275
11,0.0,10.2075405
12,1.0,10.659598
13,2.5,11.709194
14,1.0,11.274317
15,0.0,14.45809
16,1.5,13.772604
17,0.0,9.39138
18,1.0,14.940782
19,2.25,17.464207
20,1.0,6.9307156
21,1.0,12.803386
22,2.0,14.64961
23,0.75,11.894005
24,2.5,14.511547
25,0.75,19.13941
26,0.0,12.416387
27,0.75,12.498292
28,1.25,10.923642
29,0.25,13.055017
30,2.75,15.2405815
31,2.0,21.40549
32,0.75,15.874095
33,1.75,11.208867
34,0.75,10.585152
35,1.0,13.690727
36,2.25,13.594291
37,0.5,8.587416
38,2.0,14.688481
39,1.25,12.178354
40,2.25,15.745693
41,1.0,7.800517
42,0.0,9.475292
43,0.5,10.178104
44,1.0,16.621954
45,1.75,10.686219
46,0.75,9.532906
47,1.25,14.226902
48,2.0,11.571685
49,0.75,10.503746
50,1.75,16.686909
51,2.25,16.423368
52,0.75,10.891348
