,INTIMACY_AVOIDANCE,0
0,2.25,21.078503
1,1.75,20.607119
2,0.0,17.784004
3,0.5,18.423903
4,1.25,23.089073
5,0.25,20.016756
6,1.25,21.993734
7,0.75,21.789812
8,1.25,26.631205
9,0.0,18.056273
10,0.0,19.852945
11,0.75,21.509264
12,0.75,24.164503
13,0.5,23.79704
14,1.75,26.431688
15,1.0,23.708326
16,0.0,24.412409
17,0.5,17.819145
18,0.75,23.547808
19,2.0,21.394735
20,1.0,22.597815
21,1.25,19.209959
22,0.75,18.393486
23,0.0,24.434132
24,0.0,23.469645
25,0.5,21.518888
26,0.5,21.863062
27,2.25,25.138084
28,0.0,17.666859
29,0.0,18.937506
30,0.25,20.693502
31,0.5,20.861177
32,0.75,20.85017
33,0.75,22.473677
34,0.0,16.383783
35,2.25,21.552528
36,2.25,28.947924
37,0.5,23.14272
38,1.25,24.332014
39,0.5,21.721605
40,2.25,22.770662
41,0.75,18.68248
42,0.0,20.172197
43,0.0,19.234526
44,1.0,20.048862
45,0.0,18.9527
46,2.0,23.571356
47,0.0,20.841124
48,1.0,22.402405
49,1.5,24.34543
50,0.25,17.117525
51,0.5,19.096859
