,INTIMACY_AVOIDANCE,0
0,1.75,23.24063
1,0.75,22.098833
2,1.5,22.551546
3,2.25,24.386139
4,2.25,25.675209
5,2.0,25.283783
6,0.5,21.471136
7,0.75,20.394274
8,0.75,17.242617
9,2.0,25.716333
10,0.75,24.276823
11,2.5,25.105818
12,2.0,23.71989
13,0.0,19.426609
14,0.0,19.780233
15,1.25,23.550701
16,3.0,24.870806
17,0.5,20.65078
18,1.0,24.124762
19,2.0,21.597637
20,2.0,27.642517
21,0.5,22.335014
22,0.25,21.59784
23,1.5,23.657923
24,1.75,24.45568
25,0.0,22.228035
26,1.75,24.671719
27,0.0,22.911041
28,1.75,18.574495
29,1.5,27.412855
30,0.75,20.678583
31,0.5,21.470217
32,3.0,26.266472
33,1.75,23.537928
34,1.0,28.087574
35,1.0,22.177214
36,1.0,20.659256
37,0.25,26.554571
38,0.75,18.729427
39,2.0,23.956352
40,2.0,23.68189
41,0.25,23.025496
42,1.0,18.85925
43,1.25,27.460093
44,0.25,22.43907
45,1.25,23.31772
46,0.75,22.297478
47,0.75,19.243643
48,0.25,21.841715
49,0.25,18.644972
50,0.25,19.608706
51,2.75,26.192902
52,0.0,19.617697
53,1.25,21.31158
54,3.0,25.39672
55,0.75,21.45712
56,1.0,24.579552
57,0.5,23.794641
58,0.75,21.83452
59,1.0,24.293457
60,0.5,18.567205
61,1.5,22.669935
62,0.0,21.995234
63,0.0,19.186068
64,1.75,24.420734
65,0.0,17.722675
66,2.0,25.480175
67,0.0,21.418194
68,3.0,24.837032
69,0.25,19.698708
70,0.0,22.757612
71,1.5,22.119307
72,1.0,22.587809
73,0.75,24.875984
74,2.5,27.483368
75,0.25,21.668356
76,2.5,26.67068
77,0.0,19.011885
78,2.0,21.76216
79,1.25,27.910894
80,2.0,26.141535
81,1.25,21.372189
82,1.0,25.322458
83,0.0,18.867966
84,2.25,23.763414
85,0.0,15.698477
86,1.25,24.450302
87,0.5,19.584745
88,1.25,23.564074
89,1.0,23.493559
90,1.75,24.65328
91,1.75,26.827303
92,0.25,14.599652
93,2.0,25.554222
94,0.0,21.019785
95,2.0,24.84126
96,1.25,22.514864
97,0.0,20.524694
98,2.0,22.903147
99,0.0,24.652105
100,2.5,25.549932
101,2.0,20.623375
102,0.75,19.34801
103,0.75,19.00411
104,0.5,23.880348
105,1.0,19.411877
106,0.0,22.065144
107,0.75,19.784302
108,1.75,23.293674
109,0.5,21.050486
110,0.0,17.593409
111,2.25,24.493174
112,0.0,21.72901
113,2.75,27.898039
114,1.5,19.927341
115,1.25,22.973839
116,0.0,20.767874
117,0.0,17.005064
118,0.5,25.295168
119,2.0,23.233892
120,3.0,21.623266
121,3.0,26.317936
122,0.25,21.166056
123,1.5,25.19287
124,0.0,18.980524
125,0.5,21.95582
126,1.75,23.470087
127,1.5,20.8618
128,0.25,18.390543
129,1.5,20.229792
130,0.0,22.50094
131,0.0,20.386442
132,3.0,24.046576
133,1.0,24.636051
134,0.5,21.393644
135,0.5,20.20413
136,0.0,19.207129
137,3.0,26.526281
138,1.0,22.015385
139,0.25,19.748032
140,1.5,20.919743
141,0.0,22.693277
142,0.0,17.790333
143,0.25,24.00006
144,0.0,17.893866
145,2.25,22.970625
146,0.5,21.917507
147,2.5,24.301523
148,0.75,21.416075
149,2.75,25.737856
150,3.0,21.941149
151,2.75,27.475441
152,1.75,25.716385
153,0.75,23.770763
154,0.5,18.064394
155,1.5,21.988249
156,2.0,24.851835
157,0.0,18.654688
158,1.75,23.419868
159,0.5,22.277924
