,INTIMACY_AVOIDANCE,0
0,2.5,25.875338
1,0.0,18.599184
2,0.5,19.76287
3,0.25,23.584084
4,2.0,27.071495
5,2.25,23.023527
6,1.25,24.551268
7,0.0,23.517738
8,2.5,22.394434
9,2.5,21.437502
10,1.0,20.733786
11,0.25,21.406599
12,0.0,22.776606
13,2.0,21.442997
14,0.0,20.466797
15,0.0,23.78055
16,1.75,22.411638
17,0.25,22.508602
18,1.25,24.75163
19,2.25,18.313662
20,0.25,18.76606
21,1.5,22.422405
22,0.0,20.329813
23,2.0,27.556273
24,1.75,27.481243
25,0.0,20.113678
26,1.25,25.022978
27,0.0,18.176733
28,1.75,23.08882
29,0.0,25.296383
30,0.0,19.196922
31,0.0,20.437376
32,3.0,25.497408
33,0.0,24.172316
34,0.5,23.059505
35,2.5,25.501583
36,1.25,22.641085
37,2.25,24.998304
38,0.0,19.597229
39,0.5,17.864536
40,0.5,20.716946
41,0.0,20.77236
42,0.0,20.445215
43,0.0,19.587881
44,0.5,21.536581
45,0.5,19.935322
46,1.5,23.736475
47,0.0,19.59612
48,1.25,25.895048
49,0.0,19.951902
50,0.5,22.589388
51,1.75,22.703823
52,1.25,21.001204
