,INTIMACY,0
0,2.33,16.764214
1,0.0,9.492656
2,0.0,13.936795
3,1.67,13.532237
4,1.0,13.704926
5,0.33,14.301645
6,0.0,15.186895
7,0.0,10.110167
8,0.33,12.6348915
9,0.0,9.448428
10,0.0,12.679326
11,1.0,12.836382
12,1.666666667,14.998258
13,0.0,12.138639
14,1.333333333,15.962152
15,1.33,14.347774
16,0.67,14.943382
17,1.666666667,15.518749
18,1.0,15.846234
19,0.0,14.820934
20,0.0,15.113883
21,3.0,15.149523
22,0.33,10.945103
23,2.666666667,15.955759
24,1.67,14.595337
25,0.0,12.6441
26,0.0,12.540359
27,1.333333333,14.512253
28,0.0,11.450417
29,1.67,15.365666
30,1.0,12.852129
31,0.67,12.05243
32,0.0,11.946247
33,0.0,12.460025
34,1.67,13.606267
35,0.0,12.8602705
36,0.0,13.477907
37,1.67,15.490684
38,0.0,12.800173
39,0.0,10.457002
40,2.0,16.424345
41,2.0,17.101976
42,3.0,14.997105
43,3.0,15.520481
44,0.0,10.697781
45,1.0,12.049284
46,0.0,12.425925
47,0.0,11.50869
48,0.0,11.8683195
49,0.666666667,15.285451
50,1.333333333,14.495646
51,0.0,11.780761
52,0.0,13.534232
53,0.0,12.033324
54,0.0,15.119214
55,1.0,13.404789
56,0.0,12.01203
57,0.0,12.788789
58,1.33,15.88229
59,0.0,11.423159
60,4.0,16.891447
61,0.0,11.65539
62,0.0,15.944348
63,0.0,10.525553
64,0.0,9.669558
65,0.0,10.460761
66,4.0,15.9445
67,1.333333333,15.019505
68,0.0,13.474527
69,0.0,10.611334
70,4.0,15.608679
71,1.0,14.24513
72,0.0,12.849082
73,0.0,12.844906
74,2.0,15.863725
75,2.0,14.248917
76,2.0,16.135748
77,0.67,13.603942
78,2.666666667,16.112963
79,1.333333333,15.610859
80,1.666666667,13.005519
81,0.0,11.507388
82,0.67,14.572313
83,0.0,11.9897785
84,0.0,10.735986
85,1.33,14.25399
86,0.67,15.324195
87,0.0,11.870339
88,1.33,13.566841
89,1.333333333,15.5860405
90,1.666666667,16.306005
91,0.0,12.578132
92,0.0,11.761986
93,0.0,11.60626
94,2.666666667,15.936169
95,0.0,11.529295
96,0.0,12.957601
97,0.0,12.1450615
98,0.666666667,12.752939
99,4.0,16.199652
100,0.0,9.630649
101,1.333333333,13.63653
102,0.0,11.762737
103,0.0,11.42393
104,2.0,17.938322
105,0.0,13.454117
106,0.0,13.912183
107,0.0,10.525518
108,0.0,11.225662
109,0.0,13.899918
110,2.33,17.121422
111,0.0,12.745095
112,0.0,10.569763
113,0.0,13.337803
114,1.0,15.812073
115,0.0,10.975266
116,0.0,10.745367
117,0.33,13.150175
118,0.0,14.108801
119,0.0,12.692841
120,3.0,15.427644
121,1.0,14.92865
122,0.0,13.079218
123,2.0,16.845125
124,0.0,14.0936165
125,0.0,15.955489
126,0.0,10.184874
127,4.0,18.450882
128,2.666666667,17.259342
129,2.0,14.464462
130,0.0,11.312746
131,0.0,13.755055
132,4.0,17.508402
133,4.0,14.318252
134,0.0,12.225836
135,0.0,10.781458
136,1.333333333,14.601867
137,0.0,11.954993
138,1.333333333,14.642269
139,0.0,14.214576
140,1.333333333,13.917637
141,0.0,12.9917755
142,4.0,21.479288
143,1.33,14.5866165
144,0.0,15.79551
145,3.333333333,16.47003
146,0.0,13.545615
147,0.0,18.582754
148,0.0,11.898504
149,0.0,11.43237
150,2.0,17.451494
151,0.0,14.9271755
152,1.333333333,12.333778
153,0.67,13.080017
154,1.333333333,14.22852
155,2.0,19.393469
156,0.0,11.039194
157,0.0,13.127527
158,0.666666667,13.288504
159,0.0,12.770655
160,0.0,10.059402
161,0.0,13.472164
162,0.67,11.260643
163,0.0,14.478154
164,0.0,11.084211
165,3.0,14.449793
166,0.666666667,13.313222
167,0.0,12.165299
168,0.0,12.765604
169,0.0,13.184988
170,1.666666667,14.2886915
171,1.333333333,14.138405
172,1.333333333,13.931635
173,1.666666667,14.5680485
174,1.333333333,15.584251
175,0.0,11.909737
176,0.0,12.757155
177,0.0,12.482069
178,0.666666667,12.045601
179,0.0,12.903743
180,0.0,12.385541
181,1.0,14.373148
182,2.0,12.222076
183,0.0,12.405403
184,2.67,14.878489
185,0.666666667,13.282192
186,2.0,15.008888
187,0.0,13.15092
188,0.0,12.84262
189,0.0,11.953728
190,0.0,10.454177
191,0.0,12.779333
192,0.33,12.865597
193,1.666666667,14.297622
194,0.0,12.552604
195,0.67,14.812771
196,0.0,12.668565
197,0.0,15.615974
198,2.666666667,15.729152
199,1.0,13.326129
200,2.666666667,16.039877
201,3.0,14.946067
202,1.666666667,14.901186
203,0.0,10.092482
204,0.0,13.128469
205,0.0,11.760742
206,0.0,11.858856
207,1.0,16.206985
208,0.33,13.942136
209,0.0,13.127978
210,1.666666667,15.983993
211,1.0,14.820571
212,0.67,15.273152
213,0.0,12.506116
214,0.0,11.862604
215,1.67,14.213496
216,1.666666667,14.172865
217,0.0,12.396299
218,1.67,13.281026
219,0.0,11.951026
220,0.0,13.725326
221,0.0,12.210699
222,0.67,12.75481
223,0.0,12.481168
224,1.333333333,11.109725
225,1.666666667,14.400264
226,0.0,12.274549
227,1.666666667,14.705413
228,0.0,12.679951
229,0.0,11.292761
230,1.0,14.154462
231,1.666666667,15.367233
232,0.333333333,13.09685
