,INT,0
0,10.0,41.054787
1,85.0,85.58958
2,90.0,88.99654
3,75.0,78.88384
4,35.0,80.216576
5,80.0,75.03799
6,90.0,91.11903
7,55.0,58.67568
8,70.0,71.539185
9,70.0,74.340126
10,35.0,57.765427
11,10.0,78.19048
12,10.0,64.50571
13,80.0,80.283394
14,80.0,83.00444
15,55.0,69.021614
16,55.0,52.95557
17,80.0,64.10905
18,100.0,92.656204
19,60.0,65.26212
20,90.0,69.43029
21,95.0,67.41976
22,90.0,82.34363
23,60.0,68.316895
24,70.0,63.695034
25,90.0,87.85009
26,75.0,72.75916
27,50.0,60.17519
28,80.0,71.646965
29,100.0,90.068405
30,55.0,58.271294
31,70.0,75.703125
32,25.0,54.712616
33,50.0,64.04111
34,25.0,91.359566
35,15.0,44.563667
36,90.0,51.06612
37,35.0,32.180832
38,30.0,38.897453
39,85.0,65.12582
40,100.0,82.69784
41,100.0,72.008064
42,5.0,53.529835
43,75.0,77.471016
44,90.0,88.23008
45,55.0,63.700172
46,95.0,93.69797
47,65.0,66.29794
48,75.0,59.990044
49,55.0,55.124306
50,70.0,71.05582
51,15.0,13.145902
52,100.0,76.44327
53,60.0,57.76573
54,75.0,73.28894
55,85.0,63.618767
56,60.0,57.68472
57,100.0,76.70608
58,60.0,62.42977
59,45.0,54.623825
60,5.0,50.01721
61,90.0,65.1944
