,INT,0
0,80.0,54.27094
1,50.0,56.665005
2,65.0,76.396866
3,30.0,55.947666
4,30.0,92.832436
5,50.0,56.457954
6,35.0,52.706375
7,25.0,38.698845
8,75.0,59.733585
9,100.0,63.330677
10,80.0,72.6956
11,30.0,46.952072
12,75.0,60.9485
13,50.0,57.59764
14,65.0,77.81008
15,80.0,70.612175
16,50.0,48.374146
17,35.0,44.527985
18,90.0,65.224335
19,35.0,44.813736
20,100.0,82.4209
21,60.0,70.0525
22,100.0,79.20277
23,25.0,68.85323
24,45.0,65.83471
25,100.0,107.47928
26,15.0,42.042175
27,95.0,99.86912
28,90.0,75.01308
29,10.0,46.347347
30,95.0,92.05464
31,60.0,62.551044
32,60.0,63.427574
33,5.0,15.916726
34,90.0,46.105286
35,100.0,96.18786
36,75.0,73.72606
37,65.0,65.42186
38,25.0,40.97529
39,45.0,67.06551
40,20.0,51.788227
41,5.0,46.029846
42,25.0,69.133675
43,100.0,77.89667
44,80.0,85.36132
45,60.0,59.404034
46,5.0,61.081825
47,100.0,101.62316
48,15.0,37.557167
49,35.0,50.312225
50,70.0,43.811394
51,5.0,47.860188
52,100.0,68.364395
53,80.0,52.489796
54,35.0,49.72721
55,35.0,30.111904
56,25.0,61.059704
57,70.0,82.213264
58,35.0,50.29087
59,90.0,86.72751
60,55.0,56.176018
61,100.0,92.54775
62,5.0,57.013065
63,55.0,50.772224
64,50.0,58.6753
65,90.0,80.56448
66,95.0,62.881565
67,90.0,87.78882
68,15.0,58.391117
69,20.0,57.158592
70,25.0,19.766045
71,65.0,72.60063
72,95.0,84.34257
73,65.0,61.89276
74,95.0,73.71421
75,20.0,31.600834
76,65.0,65.99648
77,85.0,77.97328
78,80.0,61.19513
79,50.0,52.270424
80,100.0,71.27253
81,95.0,86.85657
82,5.0,54.03096
83,70.0,70.56414
84,10.0,53.94969
85,60.0,68.93448
86,25.0,32.79863
87,10.0,33.549706
88,85.0,85.19819
89,90.0,73.753586
90,60.0,64.436775
91,60.0,49.03965
92,90.0,61.94074
93,60.0,69.85583
94,80.0,48.877743
95,100.0,86.564026
96,70.0,60.531475
97,100.0,82.30625
98,30.0,59.99388
99,35.0,40.094093
100,55.0,66.178276
101,60.0,71.43179
102,70.0,55.228104
103,45.0,62.855137
104,70.0,54.465614
105,60.0,67.371605
106,95.0,66.56636
107,90.0,91.495995
108,60.0,66.60772
109,5.0,47.656784
110,5.0,60.999615
111,75.0,71.76895
112,50.0,47.85855
113,95.0,82.69597
114,65.0,62.996136
115,100.0,98.771736
116,55.0,63.672104
117,100.0,82.48836
118,5.0,68.40521
119,100.0,79.2818
120,100.0,76.23372
121,85.0,78.4635
122,50.0,60.467247
123,65.0,58.575813
124,95.0,70.21232
125,35.0,67.20461
126,70.0,68.842094
127,50.0,63.64746
128,95.0,89.467094
129,80.0,74.79902
130,5.0,64.40609
131,60.0,60.020424
132,100.0,80.858795
133,45.0,52.031273
134,70.0,62.42159
135,95.0,91.73547
136,50.0,47.939407
137,75.0,70.66833
138,100.0,100.27471
139,60.0,68.05888
140,100.0,82.7828
141,100.0,85.5301
142,95.0,77.190865
143,60.0,62.450443
144,10.0,43.239906
145,60.0,67.691055
146,35.0,58.051235
147,95.0,96.76087
148,65.0,62.506798
149,5.0,68.31027
150,35.0,75.79021
151,10.0,56.51614
152,75.0,78.56786
153,65.0,71.94975
154,100.0,90.98183
155,100.0,77.66219
156,25.0,59.765877
157,90.0,88.4574
158,5.0,58.75647
159,100.0,60.71912
160,100.0,87.53009
161,25.0,51.802555
162,100.0,63.805202
163,25.0,46.735794
164,85.0,65.48572
165,100.0,80.187416
166,35.0,43.41812
167,15.0,60.96929
168,90.0,65.829666
169,50.0,40.72625
170,55.0,78.05628
171,100.0,86.82884
172,65.0,62.202778
173,70.0,71.108635
174,50.0,57.58894
175,100.0,80.05367
176,60.0,69.667885
177,35.0,48.346596
178,60.0,73.83034
179,5.0,36.133396
180,25.0,27.387447
181,30.0,34.747414
182,10.0,70.370575
183,90.0,88.80694
184,90.0,88.26118
185,50.0,66.93435
186,25.0,42.73341
187,100.0,75.74982
188,90.0,74.26183
189,80.0,68.00612
190,65.0,66.78566
191,50.0,65.51406
192,100.0,62.161263
193,70.0,64.7288
194,65.0,70.57663
195,90.0,71.07824
196,50.0,47.19162
197,50.0,69.58754
198,50.0,56.1106
199,95.0,62.417355
200,75.0,74.36844
201,65.0,51.750637
202,90.0,84.96756
203,50.0,52.218933
204,50.0,59.888485
205,95.0,88.05418
206,15.0,45.14262
207,5.0,41.11872
208,65.0,76.391014
209,45.0,67.116104
210,100.0,98.17929
211,100.0,60.90301
212,60.0,69.10924
213,5.0,85.70756
214,85.0,77.51842
215,35.0,55.146843
216,80.0,72.664955
217,55.0,56.913483
218,5.0,82.605
219,45.0,47.621063
220,80.0,80.10328
221,60.0,68.77103
222,70.0,71.84735
223,85.0,85.592926
224,75.0,76.1072
225,10.0,53.588524
226,90.0,72.44219
227,65.0,61.28835
228,55.0,59.06329
229,100.0,85.311966
230,95.0,92.07388
231,100.0,64.635864
232,55.0,68.67129
233,35.0,52.318974
234,25.0,12.025128
235,25.0,65.93156
236,50.0,52.017696
237,70.0,79.14441
238,10.0,28.399117
239,70.0,59.21897
240,55.0,74.2791
241,5.0,39.58003
242,80.0,82.856064
243,100.0,84.320076
244,90.0,85.74061
245,35.0,38.573086
246,50.0,54.57586
247,80.0,69.0314
248,65.0,72.60497
249,60.0,53.78747
250,25.0,34.74406
251,80.0,89.07157
252,20.0,37.91361
253,90.0,61.082394
