,INT,0
0,80.0,69.824875
1,75.0,60.392525
2,60.0,65.44805
3,90.0,91.89778
4,20.0,56.043537
5,90.0,72.93571
6,70.0,75.238785
7,50.0,91.306946
8,25.0,52.700863
9,70.0,65.634
10,90.0,88.194954
11,80.0,95.36272
12,60.0,79.46955
13,30.0,35.401043
14,80.0,52.74757
15,5.0,38.189438
16,95.0,86.140114
17,100.0,65.9059
18,80.0,81.25289
19,75.0,58.138695
20,60.0,81.00867
21,35.0,54.134132
22,100.0,95.8561
23,5.0,33.932358
24,45.0,40.848053
25,15.0,31.674807
26,90.0,82.162796
27,60.0,68.410614
28,80.0,79.81191
29,85.0,68.64515
30,5.0,49.68401
31,45.0,58.264793
32,50.0,53.09027
33,60.0,56.13742
34,80.0,89.27475
35,75.0,69.87127
36,90.0,70.07038
37,25.0,45.16822
38,55.0,51.462288
39,80.0,73.4328
40,30.0,37.469154
41,95.0,95.406715
42,5.0,68.97004
43,20.0,44.992035
44,45.0,63.994118
45,50.0,59.3475
46,35.0,45.700035
47,55.0,60.931816
48,15.0,39.188927
49,45.0,56.252308
50,5.0,59.014374
51,10.0,17.292246
52,90.0,88.4797
53,35.0,40.47682
54,45.0,52.2938
55,55.0,74.43305
56,80.0,79.16476
57,30.0,60.489723
58,90.0,82.77903
59,70.0,77.43937
60,45.0,49.424118
61,85.0,86.82241
