,IQ,0
0,147.0,119.7015
1,110.0,112.803825
2,89.0,125.86528
3,102.0,115.25602
4,126.0,126.76005
5,150.0,146.45395
6,112.0,117.06654
7,143.0,114.44714
8,131.0,127.33898
9,114.0,116.8938
10,100.0,117.71434
11,89.0,107.4085
12,116.0,123.58029
13,104.0,118.27083
14,110.0,110.75
15,140.0,132.91103
16,122.0,126.47046
17,101.0,109.79576
18,130.0,125.903305
19,114.0,119.13031
20,115.0,117.28099
21,105.0,121.21345
22,108.0,112.78594
23,125.0,126.610146
24,117.0,124.43118
25,122.0,111.40602
26,127.0,119.877975
27,101.0,110.16958
28,121.0,118.02911
29,124.0,118.65728
30,133.0,120.70317
31,100.0,110.9553
32,110.0,112.16409
33,125.0,119.69872
34,113.0,117.70689
35,93.0,113.137024
36,132.0,129.50206
37,104.0,111.61055
38,102.0,106.69609
39,117.0,122.59787
