,IQ,0
0,100.0,108.08748
1,104.0,112.06297
2,117.0,122.171524
3,101.0,112.777176
4,150.0,118.52774
5,112.0,117.19905
6,120.0,118.11403
7,110.0,116.57625
8,149.0,118.5406
9,104.0,108.129875
10,120.0,123.47576
11,150.0,114.397995
12,101.0,109.891495
13,80.0,105.96691
14,150.0,121.56022
15,142.0,130.84103
16,127.0,129.59634
17,120.0,129.68826
18,120.0,120.0996
19,120.0,123.194984
20,102.0,111.88464
21,111.0,115.45296
22,60.0,100.96324
23,100.0,111.03206
24,105.0,113.92102
25,100.0,110.77094
26,120.0,112.28818
27,93.0,115.19639
28,122.0,121.52094
29,119.0,118.358795
30,106.0,109.33052
31,130.0,122.03601
32,100.0,106.106476
33,119.0,123.048615
34,74.0,115.23474
35,150.0,123.021454
36,128.0,122.7502
37,113.0,121.76689
38,111.0,117.72797
39,102.0,119.513054
40,101.0,114.72775
41,100.0,115.70121
42,119.0,119.580475
43,134.0,130.79082
44,90.0,111.92663
45,96.0,112.352455
46,102.0,110.86367
47,136.0,129.31258
48,100.0,111.49705
49,111.0,114.057816
50,125.0,123.14479
51,150.0,123.65282
52,122.0,122.61221
53,111.0,116.322014
54,134.0,140.60054
55,120.0,107.06552
56,100.0,108.74733
57,107.0,110.11679
58,110.0,113.398476
59,81.0,100.267334
60,146.0,121.530685
61,115.0,111.85414
62,121.0,115.35088
63,131.0,127.203514
64,101.0,107.17982
65,131.0,141.48303
66,97.0,115.23948
67,97.0,115.35587
68,102.0,110.836784
69,101.0,110.16223
70,120.0,118.61476
71,104.0,107.35736
72,133.0,116.597946
73,119.0,118.28958
74,150.0,123.91534
75,101.0,110.96327
76,127.0,132.86322
77,150.0,123.87416
78,102.0,109.27099
79,140.0,125.93365
80,141.0,123.3073
81,110.0,111.52001
82,112.0,123.369774
83,131.0,137.56163
84,126.0,116.19171
85,109.0,111.097466
86,99.0,112.26079
87,103.0,113.279045
88,150.0,145.27826
89,128.0,122.932755
90,106.0,116.30155
91,127.0,119.67627
92,99.0,112.02078
93,113.0,115.25728
94,122.0,124.11335
95,121.0,117.30615
96,105.0,112.41188
97,121.0,125.79098
98,110.0,111.603806
99,114.0,117.6782
100,145.0,128.51628
101,110.0,119.901474
102,100.0,113.382866
103,150.0,129.86855
104,128.0,134.08417
105,147.0,131.81508
106,80.0,118.42067
107,121.0,118.25086
108,100.0,113.803635
109,144.0,134.07236
110,101.0,122.46116
111,79.0,99.08166
112,96.0,125.670074
113,100.0,109.82315
114,130.0,131.63956
115,80.0,110.726456
116,115.0,120.03097
117,150.0,127.1735
118,116.0,119.265854
119,111.0,113.08519
120,106.0,104.072266
121,110.0,118.71661
122,126.0,127.335106
123,115.0,127.62544
124,131.0,124.28956
125,150.0,118.83992
126,127.0,124.84384
127,110.0,114.99019
128,112.0,114.59848
129,109.0,112.59547
130,75.0,118.30649
131,73.0,118.689064
132,113.0,118.22281
133,130.0,117.08473
134,135.0,132.90157
135,107.0,113.13263
136,131.0,134.28146
137,110.0,118.64294
138,112.0,113.87579
139,111.0,112.153305
140,111.0,113.55744
141,114.0,123.31613
142,106.0,117.5647
143,106.0,116.61745
144,100.0,103.390816
145,120.0,110.99971
146,142.0,148.14735
147,110.0,119.71742
148,121.0,123.82805
149,120.0,121.599884
150,111.0,115.604485
151,91.0,106.815605
152,112.0,115.48952
153,150.0,121.69504
154,136.0,125.953285
155,110.0,114.040924
156,100.0,111.33234
157,132.0,134.19897
158,126.0,125.46076
159,102.0,126.10784
160,143.0,118.47145
161,115.0,117.86284
162,104.0,120.66899
163,93.0,122.87017
164,107.0,114.45986
165,113.0,115.63645
166,139.0,132.33783
167,88.0,96.42552
168,135.0,119.83928
169,65.0,112.7557
170,125.0,122.4721
171,110.0,116.16072
172,106.0,109.89102
173,100.0,103.24229
174,106.0,108.55234
175,131.0,115.72868
176,132.0,115.134445
177,105.0,108.409294
178,99.0,107.59585
179,116.0,113.61363
180,111.0,115.17863
181,126.0,118.63015
182,96.0,121.4829
183,121.0,120.74498
184,149.0,119.48584
185,102.0,110.034615
186,50.0,111.916916
187,150.0,131.28113
188,111.0,113.39225
189,106.0,108.2796
190,110.0,118.29134
191,122.0,123.52289
192,120.0,116.44327
193,128.0,120.04144
194,101.0,111.04066
195,111.0,122.76388
196,85.0,117.13423
197,107.0,112.23326
198,112.0,116.70152
199,121.0,113.561035
200,102.0,104.25023
201,130.0,119.69104
202,89.0,108.05924
203,85.0,100.42837
204,141.0,116.771454
205,110.0,124.61728
206,71.0,114.83036
207,110.0,113.85477
208,112.0,115.94107
209,110.0,113.484436
210,101.0,114.769104
211,115.0,115.30307
212,111.0,117.37662
213,77.0,112.31899
214,131.0,132.32007
215,150.0,125.421844
216,112.0,116.732666
217,96.0,102.75945
218,111.0,119.762344
219,150.0,122.04441
220,111.0,108.54473
221,130.0,130.48103
222,115.0,114.55261
223,137.0,120.62401
224,133.0,118.41111
225,143.0,129.85384
226,117.0,120.32175
227,100.0,111.9477
228,113.0,119.796455
229,101.0,117.28006
230,114.0,122.18973
231,110.0,106.49753
232,111.0,118.62948
233,65.0,110.85576
234,115.0,121.17323
235,121.0,125.116104
236,111.0,114.31275
237,115.0,121.653984
238,150.0,125.05294
239,83.0,112.50007
240,100.0,110.18574
241,60.0,105.7998
242,120.0,115.00896
243,111.0,117.44723
244,131.0,130.15619
245,105.0,113.28682
246,101.0,111.26405
247,142.0,140.24373
248,123.0,125.63973
249,100.0,109.04282
250,118.0,115.940926
251,110.0,113.97806
252,67.0,116.05885
253,121.0,122.36276
254,131.0,119.03431
255,150.0,115.625694
256,121.0,116.3399
257,120.0,114.85242
258,138.0,127.818115
259,116.0,125.373405
260,127.0,126.92888
261,105.0,113.777466
262,114.0,118.09639
263,102.0,110.08826
264,124.0,123.50572
265,119.0,126.223625
266,90.0,107.65351
267,113.0,112.670456
268,136.0,117.16972
269,130.0,115.28039
270,131.0,117.56084
271,134.0,112.80303
272,150.0,121.039825
273,106.0,109.55786
274,110.0,120.269394
275,128.0,125.61805
276,116.0,127.572334
277,109.0,119.124306
278,110.0,114.30342
279,104.0,107.01245
280,113.0,114.18782
281,101.0,110.75431
282,111.0,113.93748
283,107.0,108.380615
284,115.0,117.53797
285,122.0,119.812584
286,101.0,112.509705
287,141.0,116.47309
288,111.0,125.83791
289,127.0,129.16492
290,102.0,121.041145
291,128.0,120.24875
292,150.0,129.02608
293,100.0,101.33162
294,106.0,115.02504
295,101.0,116.1046
296,140.0,109.3255
297,110.0,116.42902
298,105.0,110.07827
299,100.0,111.17026
300,112.0,110.32127
301,115.0,113.87835
302,101.0,108.14563
303,70.0,108.63985
304,111.0,114.42785
305,117.0,122.08353
306,125.0,118.43137
307,110.0,116.238144
308,141.0,140.21582
309,80.0,113.64813
310,110.0,113.42288
311,97.0,118.8756
312,101.0,110.60505
313,113.0,115.44757
314,110.0,110.70957
315,72.0,106.27371
316,114.0,123.038864
317,112.0,114.98563
318,100.0,113.78306
319,102.0,118.31914
320,107.0,117.462524
321,96.0,107.93745
