,IQ,0
0,91.0,110.6983
1,101.0,105.09872
2,100.0,108.45814
3,106.0,121.78592
4,117.0,126.51998
5,100.0,105.064804
6,133.0,139.53242
7,121.0,122.655594
8,100.0,111.57489
9,132.0,131.25252
10,139.0,137.30235
11,122.0,126.19565
12,116.0,124.56556
13,115.0,115.62329
14,115.0,123.089134
15,122.0,112.789566
16,107.0,116.73478
17,117.0,118.837204
18,107.0,115.247826
19,120.0,118.64911
20,148.0,124.03972
21,131.0,128.38182
22,101.0,111.284195
23,113.0,117.352486
24,150.0,135.03651
25,92.0,102.776184
26,50.0,111.293976
27,142.0,124.065475
28,120.0,124.92202
29,113.0,117.76851
30,118.0,112.412766
31,72.0,109.90284
32,100.0,111.074135
33,114.0,119.670456
34,71.0,102.165085
35,112.0,123.00474
36,141.0,125.41392
37,105.0,108.42909
38,101.0,111.374504
39,95.0,116.82794
40,120.0,114.61121
