,IRRESPONSIBILITY,0
0,0.75,13.398281
1,1.5,14.263675
2,0.0,11.904633
3,0.0,8.270154
4,0.0,10.0331745
5,0.5,12.292564
6,0.0,11.835943
7,2.0,13.978124
8,0.0,6.8241096
9,0.0,10.503301
10,0.75,11.798535
11,0.5,9.042
12,0.0,14.177223
13,1.5,12.925267
14,0.0,10.850445
15,3.0,17.164927
16,0.25,10.86083
17,0.0,9.269082
18,0.0,12.15488
19,0.0,14.931328
20,0.5,12.541853
21,0.5,10.911863
22,0.0,12.668541
23,0.25,7.3389473
24,1.25,10.241842
25,2.0,17.440943
26,1.75,14.73896
27,0.25,10.139386
28,0.0,9.332099
29,0.0,12.039959
30,2.0,15.665456
31,0.25,12.614643
32,1.0,12.265894
33,0.0,8.585196
34,1.0,13.522684
35,0.0,9.05098
36,0.0,8.658585
37,0.25,11.019821
38,0.0,11.732478
39,0.0,11.821255
40,0.75,12.137484
41,0.0,10.626869
42,0.0,12.036312
43,1.75,15.252928
44,0.25,11.73292
45,1.75,12.878503
46,0.0,7.1105576
47,0.0,11.167173
48,1.5,15.275537
49,0.0,9.848794
50,0.0,7.198177
51,0.0,12.033097
52,0.75,8.845101
53,1.5,13.918468
54,2.25,12.799122
55,1.0,12.02123
56,1.5,14.804368
57,0.0,7.131689
58,0.75,13.060553
59,1.25,13.972191
60,0.0,10.052126
61,0.0,14.938003
62,0.75,10.499887
63,0.25,11.956432
64,0.0,7.605684
65,0.0,11.80762
66,0.5,10.036926
67,0.75,16.470505
68,0.0,4.779985
69,0.75,8.013872
70,0.25,14.505078
71,0.0,9.707107
72,1.5,14.541689
73,0.0,10.410591
74,0.25,8.311203
75,0.5,9.277275
76,1.25,9.035771
77,0.0,10.345647
78,0.0,10.003313
79,0.0,10.40559
80,0.0,12.48358
81,2.5,14.806504
82,0.0,11.866318
83,0.0,10.939131
84,1.25,14.818291
85,0.25,10.192268
86,0.75,12.972958
87,0.0,13.366242
88,0.25,9.916575
89,1.0,14.853226
90,0.25,9.36013
91,0.75,12.88489
92,0.0,7.9225564
93,1.0,16.234259
94,0.25,10.784872
95,2.5,13.544424
96,0.75,12.961086
97,0.0,14.781863
98,0.75,14.998196
99,0.0,11.404659
100,0.0,9.683645
101,1.0,11.668375
102,0.0,13.355549
103,0.25,9.8277
104,0.0,14.904018
105,0.75,12.966586
106,0.75,12.904007
107,0.25,13.749702
108,0.5,11.982761
109,0.25,10.835714
110,0.75,12.023866
111,1.0,10.541882
112,0.25,9.300055
113,0.0,12.212526
114,0.5,10.09208
115,1.0,11.180017
116,0.5,12.954586
117,2.0,12.664465
118,1.0,11.035559
119,0.0,13.876526
120,1.0,14.352737
121,0.0,12.793048
122,1.5,14.192851
123,0.5,10.103157
124,1.25,10.223668
125,1.0,14.674678
126,0.5,12.194236
127,0.0,9.761753
128,0.25,11.239785
129,2.0,15.525682
130,0.5,4.7948756
131,1.0,15.202964
132,1.25,13.537751
133,1.5,12.068698
134,0.0,10.916141
135,0.0,10.955946
136,0.75,13.967407
137,0.25,11.492247
138,1.0,13.46442
139,2.5,18.905628
140,0.0,9.466013
141,0.0,9.325264
142,0.75,11.930309
143,2.0,16.8224
144,0.0,8.797537
145,1.0,15.373065
146,1.0,13.450017
147,1.0,13.796148
148,0.25,9.61888
149,0.0,8.317778
150,1.5,12.60256
151,1.75,12.057875
152,0.5,11.170987
153,0.0,11.173931
154,1.0,13.785858
155,0.0,6.390161
156,0.5,11.946125
157,0.0,12.841591
158,3.0,15.890956
159,1.75,16.815123
160,0.75,11.240869
161,0.0,10.621204
162,0.75,11.2301235
163,0.0,11.046532
164,0.5,11.286277
165,1.0,17.288754
166,0.0,11.747162
167,0.5,14.567389
168,0.25,8.028772
169,0.25,12.755295
170,0.5,13.301367
171,0.25,9.687107
172,0.0,8.146007
173,0.75,10.445509
174,0.0,10.783798
175,0.75,13.561045
176,0.0,10.663115
177,0.0,11.170481
178,0.25,11.074205
179,0.25,13.130298
180,0.5,14.360491
181,0.5,12.155805
182,3.0,15.268866
183,0.5,13.789988
184,0.0,8.296516
185,0.0,7.9838653
186,0.75,12.194162
187,1.0,11.0335865
188,0.0,13.056685
189,0.5,12.330573
190,1.0,9.389687
191,0.25,9.808277
192,1.0,10.034914
193,0.25,8.843539
194,0.0,8.028094
195,0.0,11.313484
196,0.0,9.616358
197,0.0,6.6479716
198,2.0,17.561327
199,0.25,11.901851
200,2.25,16.741068
201,0.0,11.053341
202,0.0,10.829215
203,2.25,14.897344
204,0.0,11.984942
205,0.5,11.287404
206,1.75,12.317545
207,0.0,12.190594
208,1.0,14.976478
209,0.0,10.318727
210,0.0,11.475744
211,0.75,11.085457
212,0.5,10.125345
213,1.75,18.701843
214,0.25,9.070557
215,1.0,10.347927
216,0.25,12.828722
217,0.0,14.938115
218,0.25,9.732344
219,0.75,16.842445
220,0.0,7.3077016
221,0.75,13.948819
222,0.25,11.023279
223,0.0,8.472507
224,0.25,15.508618
225,0.75,10.080732
226,0.25,8.26236
227,0.5,12.016757
228,1.5,15.437519
229,1.5,17.186558
230,0.0,10.731566
231,0.0,11.456491
232,1.25,15.136827
233,0.25,9.034158
234,1.75,14.743089
235,0.25,5.423784
236,0.0,7.4372087
237,0.0,9.946475
238,0.0,12.001223
239,0.25,11.092869
240,1.0,6.8570848
241,0.25,13.00432
242,0.5,12.986679
243,2.0,17.464354
244,0.0,8.2513275
245,1.0,10.227583
246,0.0,10.635532
247,0.0,13.316261
248,1.0,9.916492
249,0.25,6.3614163
250,0.75,11.204271
251,1.25,14.763407
252,0.0,9.305342
253,0.25,13.889022
254,0.5,13.162
255,0.0,9.071497
256,0.0,11.938694
257,0.0,12.10379
258,2.0,13.632896
259,0.0,10.07928
260,0.75,13.18898
261,0.25,12.597673
262,1.0,12.730996
263,0.5,9.441332
264,0.0,9.155397
265,1.5,14.226283
266,0.0,13.105516
267,0.5,11.111577
268,0.5,11.87129
269,0.0,11.279239
270,0.25,10.343343
271,0.5,13.257948
272,2.0,15.139515
273,0.75,11.71332
274,0.25,10.662352
275,0.0,7.608416
276,0.25,9.744198
277,0.5,11.60152
278,0.5,7.855368
279,0.5,13.099593
280,0.0,10.596426
281,0.25,8.628558
282,1.25,9.472549
283,0.5,13.345158
284,0.5,7.1818676
285,0.75,13.4227295
286,0.0,9.75369
287,0.5,11.941949
288,0.0,8.939926
289,1.25,12.84146
290,1.5,12.655266
291,0.75,12.654683
292,1.5,11.1280575
293,2.0,11.925129
294,0.5,8.931585
295,0.0,7.0805354
296,1.5,13.52471
297,0.0,10.551113
298,1.0,11.021087
299,3.0,18.971315
300,0.75,15.153414
301,0.0,10.123395
302,1.25,12.606504
303,0.0,11.668305
304,0.25,12.20793
305,0.25,9.953304
306,1.5,14.24947
307,0.0,9.7124195
308,0.25,12.317953
309,2.0,17.52758
310,1.0,12.491068
311,1.0,12.197954
312,1.5,13.431801
313,0.0,12.539398
314,0.0,15.128603
315,0.0,11.126332
316,0.0,14.675812
317,1.5,13.4599085
318,0.75,12.560308
319,0.0,6.4854984
320,0.5,9.878478
321,1.0,12.33423
322,2.25,12.076004
323,0.5,12.073221
324,0.0,13.390541
325,0.0,9.314423
326,1.25,10.324724
327,0.0,9.624788
328,0.5,11.787919
329,0.75,10.012894
330,1.25,14.062759
331,0.25,8.324846
332,0.0,9.7534485
333,0.25,13.634021
334,0.0,10.021906
335,0.0,7.3813095
336,0.0,9.658104
337,0.0,11.4114065
338,0.5,13.92631
339,1.0,15.270746
340,1.0,13.496713
341,0.0,12.210857
342,2.5,15.019741
343,0.0,10.596801
344,0.0,6.674692
345,0.25,7.334006
346,1.25,15.651821
347,0.5,14.566018
348,0.0,8.056961
349,0.0,7.908961
350,0.0,12.2941
351,0.25,9.661927
352,0.0,8.492521
353,0.0,9.578447
354,0.5,13.351905
355,1.5,15.94054
