,LEAD,0
0,56.0,17.54527
1,32.0,18.27521
2,47.625,11.92546
3,54.83333333,15.693589
4,25.0,9.304204
5,44.26666667,16.732214
6,51.8,16.309282
7,50.6,14.589971
8,67.0,23.896185
9,51.0,19.532595
10,45.0,14.511501
11,45.0,18.282969
12,45.5,15.339961
13,54.0,14.084606
14,35.6,18.929487
15,37.33333333,13.400256
16,49.0,17.447905
17,64.0,18.140223
18,49.0,15.990932
19,56.66666667,20.049007
20,40.8,18.572283
21,62.0,18.317343
22,42.53333333,15.962409
23,51.0,14.479645
24,53.0,19.898336
25,48.0,15.881446
26,53.0,14.863277
27,55.7,16.687515
28,55.0,15.151646
29,55.0,19.111006
30,43.0,4.8062
31,70.0,20.168715
32,67.0,15.401627
33,70.0,15.606856
34,50.0,12.551431
35,51.0,23.475458
36,67.0,14.994745
37,54.0,16.625662
38,43.0,12.803513
39,48.0,13.678825
40,32.0,12.051929
41,41.0,13.82683
42,39.43333333,17.048311
43,58.25,20.112719
44,63.0,16.562246
45,53.0,17.326391
46,43.0,15.606924
47,41.0,13.052578
48,45.0,16.002226
49,22.0,12.680354
50,47.0,10.573246
51,39.0,13.69953
52,49.0,21.230284
53,52.3,16.839697
54,41.91666667,12.917113
