,LEAD,0
0,36.5,12.779614
1,71.23333333,23.172537
2,57.0,18.870897
3,67.0,17.559086
4,53.0,20.025808
5,56.0,14.1376505
6,49.0,12.082197
7,43.0,15.260114
8,48.0,19.135588
9,43.0,13.766729
10,62.0,16.259705
11,47.0,16.402626
12,49.0,17.005074
13,49.16666667,22.700499
14,60.0,17.46162
15,43.0,16.54961
16,37.0,11.362962
17,54.0,17.918142
18,54.0,13.096053
19,41.25,12.418787
20,35.0,14.476161
21,54.0,16.233595
22,37.0,7.14688
23,58.0,19.48839
24,63.0,18.577875
25,43.375,16.778101
26,45.0,13.445924
27,70.0,19.397448
28,49.0,18.62582
29,50.0,14.4368
30,35.0,12.945629
31,64.0,25.113508
32,67.0,20.280859
33,50.0,19.951405
34,69.3,19.631296
35,65.83333333,17.916342
36,52.0,16.759909
37,41.0,11.1383505
38,47.0,13.941702
39,51.0,13.601473
40,48.0,17.06719
41,60.0,15.553451
42,45.5,16.776508
43,59.1,15.035828
44,60.0,16.706217
45,29.16666667,17.28855
46,36.0,14.831545
47,35.0,16.830774
48,51.0,15.901739
49,44.0,17.884787
50,49.0,14.0979595
51,37.0,8.478017
52,71.0,23.72011
53,60.0,15.138171
54,51.0,14.974758
55,60.0,17.806911
56,42.53333333,8.748409
57,56.0,17.027536
58,49.0,16.962372
59,56.0,18.10996
60,60.25,11.761735
61,56.0,16.447294
62,54.83333333,18.36265
63,65.83333333,19.188063
64,54.83333333,17.566595
65,50.0,14.990467
66,51.16666667,19.00826
67,39.0,18.492098
68,30.0,12.284875
69,59.0,14.776608
70,59.0,20.58282
71,37.0,19.308664
72,38.0,14.094149
73,64.0,15.700053
74,68.0,21.143583
75,40.4,20.247465
76,49.0,13.058077
77,64.33333333,21.628748
78,48.9,15.803273
79,40.0,6.72256
80,32.0,9.021028
81,35.0,11.01161
82,49.0,16.242086
83,73.0,21.42526
84,49.0,18.396868
85,49.0,22.416574
86,42.0,14.954123
87,55.0,12.87001
88,53.5,17.496511
89,32.83333333,12.904563
90,48.0,20.98237
91,55.0,13.064627
92,50.0,15.484446
93,54.0,12.178148
94,43.0,14.308175
95,44.0,13.495102
96,75.0,18.35295
97,53.0,15.344639
98,48.0,11.119856
99,55.0,14.130668
100,56.0,21.043383
101,58.0,16.116873
102,42.0,11.279566
103,69.0,16.671942
104,58.0,20.059292
105,55.0,16.045317
106,55.33333333,15.845873
107,56.0,19.720152
108,43.0,18.622904
109,59.25,18.695902
110,56.0,17.125711
111,44.26666667,17.502476
112,48.0,13.715832
113,46.5,5.4495983
114,41.0,22.239046
115,37.0,14.241917
116,54.66666667,13.19155
117,67.0,16.18029
118,43.0,13.242373
119,53.0,15.38183
120,40.16666667,12.080813
121,37.0,8.9939375
122,51.0,18.558683
123,48.26666667,21.75091
124,58.0,13.801083
125,50.0,19.819658
126,35.0,15.597056
127,57.0,18.341238
128,32.0,12.528607
129,47.0,16.805471
130,46.0,16.386866
131,75.0,28.762926
132,39.0,5.7578907
133,56.0,20.729399
134,47.2,14.119074
135,56.4,17.345522
136,52.0,13.8660965
137,65.0,20.556501
138,44.0,10.034638
139,29.0,7.290722
140,51.0,19.817884
141,27.0,13.0067005
142,49.0,17.193909
143,47.0,13.5547285
144,68.0,28.002825
145,41.2,18.452105
146,59.0,16.371943
147,54.0,14.844945
148,47.0,12.633935
149,69.0,20.789474
150,52.0,11.572954
151,24.0,12.426287
152,50.0,19.879427
153,41.0,17.212648
154,55.0,18.93707
155,60.0,17.384314
156,43.83333333,9.960851
157,38.0,26.854593
158,38.0,15.816756
159,43.83333333,16.334768
160,49.0,16.292828
161,42.0,8.915389
162,68.875,24.69918
163,71.0,23.542818
164,60.0,18.219734
165,50.03333333,19.230957
166,71.0,16.656855
167,39.125,15.067659
168,71.0,21.057764
169,56.0,10.667606
170,46.0,18.768204
171,33.0,15.684768
172,43.5,18.01806
173,41.0,15.1055355
174,39.43333333,18.179018
175,38.0,13.846685
176,55.0,21.26151
177,39.06666667,17.607298
178,58.0,14.48756
179,54.0,14.602581
180,37.0,13.454606
181,46.0,13.536541
182,26.0,16.52884
183,35.04166667,11.193934
184,55.0,14.819762
185,41.0,18.120625
186,47.0,14.838116
187,56.0,21.791174
188,42.0,9.328055
189,41.0,14.117788
190,34.0,19.542772
191,42.0,20.297138
192,60.0,18.31241
193,62.0,17.313389
194,53.0,12.925369
195,34.0,12.546301
196,32.0,15.786223
197,57.0,19.409994
198,56.0,13.099786
199,37.66666667,16.460726
200,55.0,19.310936
201,53.0,13.534702
202,56.0,15.828724
203,50.6,19.162687
204,57.83333333,21.527298
205,34.0,14.478247
206,49.0,14.00708
207,67.0,18.083107
208,37.0,11.58256
209,48.0,14.383375
210,49.33333333,14.138081
211,40.0,13.930085
212,46.0,12.676529
213,66.0,21.279638
214,42.0,20.940332
215,44.0,17.18978
216,58.0,18.402063
217,41.0,13.359831
218,51.0,7.9475765
219,70.0,17.663294
220,42.66666667,16.836174
221,22.0,15.365186
222,43.0,15.550186
223,68.0,17.12265
224,34.0,15.423633
225,49.0,13.346832
226,64.0,15.536143
227,75.0,14.052143
228,47.0,18.532734
229,39.0,17.836405
230,62.4,19.581831
231,51.0,16.793142
232,60.0,17.626007
233,48.0,17.492414
234,56.66666667,9.10955
235,43.0,15.8235
236,63.0,20.223473
237,60.0,19.302046
238,49.0,15.403579
239,53.0,15.512001
240,67.0,16.714998
241,37.0,10.797588
242,54.66666667,22.368961
243,49.0,15.227863
244,55.0,19.398794
245,38.0,14.0555935
246,54.0,21.05278
247,47.0,17.24104
248,56.0,15.456973
249,53.0,17.186176
250,51.0,16.971762
251,31.0,10.301739
252,44.0,13.893743
253,34.0,15.530218
254,41.0,17.009172
255,47.0,11.781595
256,65.83333333,24.174482
257,41.0,16.220924
258,53.0,13.71461
259,43.8,17.130205
260,34.66666667,14.220785
261,51.0,19.749815
262,61.0,11.473185
263,54.83333333,16.826208
264,47.0,15.91688
265,45.0,15.895031
266,45.66666667,16.956936
267,56.0,15.857895
268,67.66666667,22.350098
269,65.0,19.49013
270,60.375,18.11145
271,37.0,14.63604
272,47.0,15.280273
273,38.0,12.435971
274,54.0,16.84399
275,41.0,18.67306
276,39.0,13.702442
277,69.0,18.476248
278,48.26666667,18.197844
279,35.9,11.941924
280,51.0,19.242085
281,62.4,18.038877
282,60.0,10.874157
283,54.83333333,14.9440365
284,43.8,15.740566
285,60.0,21.501455
286,56.0,18.77936
287,60.0,16.935589
288,55.0,16.200552
289,48.0,14.020109
290,65.0,19.30129
291,35.9,15.4539
292,46.0,13.378454
293,42.0,14.32362
294,60.0,19.763548
295,55.0,18.17235
296,51.0,14.83424
297,58.86666667,22.813929
298,52.0,18.874392
299,54.0,14.584551
300,35.0,20.833654
301,37.66666667,17.586718
302,42.0,23.02638
303,44.0,16.369478
304,68.0,16.535416
305,35.0,18.65777
306,37.0,11.770121
307,53.375,19.362211
308,42.96666667,15.250582
309,43.8,18.244133
310,49.0,18.701914
311,47.0,17.102823
312,67.0,22.769981
313,57.0,19.82421
314,73.0,22.889883
315,67.0,17.16496
316,32.0,18.03406
317,47.0,14.342611
318,53.56666667,20.733921
319,73.0,24.407207
320,40.8,13.248488
321,57.0,16.878284
322,41.0,14.633854
323,42.0,13.2344475
324,67.0,22.296364
325,67.0,18.775736
326,26.0,8.953879
327,53.0,20.878555
328,43.0,12.45017
329,50.0,11.984674
330,48.26666667,10.994933
331,53.0,11.704177
332,50.03333333,14.04199
333,65.0,21.27831
334,47.0,19.273317
335,40.8,10.732428
336,52.0,20.313688
