,LEAD,0
0,34.0,9.822747
1,48.0,13.339382
2,47.0,13.58681
3,43.0,16.413374
4,48.0,19.313105
5,62.16666667,24.00288
6,42.96666667,15.277475
7,66.0,15.987209
8,67.0,18.747307
9,40.0,15.402484
10,41.0,15.1556225
11,31.0,15.962088
12,50.0,13.4363365
13,48.9,14.573176
14,36.0,14.921409
15,47.625,15.4617195
16,56.0,16.070099
17,66.0,19.356585
18,49.0,19.328428
19,60.0,18.93926
20,41.0,15.185506
21,47.0,18.811388
22,37.0,15.016342
23,45.0,9.491766
24,57.0,20.410158
25,45.5,13.292568
26,55.0,17.727123
27,58.0,12.203041
28,49.0,17.365942
29,55.33333333,17.862825
30,38.33333333,16.289072
31,56.125,15.663913
32,55.66666667,18.903643
33,41.0,16.393099
34,52.93333333,15.784405
35,47.2,14.793184
36,38.0,12.717111
37,60.375,20.89481
38,48.26666667,20.562998
39,49.0,13.414607
40,57.0,18.325083
41,50.0,17.054546
42,32.0,13.759034
43,56.0,16.454374
44,39.06666667,15.524387
45,30.0,18.097734
46,60.0,26.2525
47,64.0,25.051506
48,47.625,10.371704
49,36.0,15.557656
50,47.2,14.867971
51,38.33333333,21.049631
52,46.5,15.529521
53,51.0,21.70298
54,69.5,25.063929
