,MANIA,0
0,41.0,45.73103
1,48.0,54.394093
2,44.0,45.027855
3,51.0,45.763
4,71.0,53.537643
5,69.0,54.278564
6,44.0,44.698627
7,63.0,45.663544
8,44.0,43.54409
9,45.0,47.54136
10,63.0,47.539627
11,41.0,42.558556
12,60.0,52.502796
13,44.0,46.896698
14,48.0,46.22016
15,45.0,48.57321
16,44.0,47.6278
17,48.0,54.318077
18,44.0,46.995186
19,45.0,50.14563
20,41.0,48.667034
21,51.0,48.539993
22,51.0,47.60203
23,41.0,42.602222
24,41.0,43.241253
25,41.0,42.10303
26,41.0,42.130947
27,48.0,47.03102
28,51.0,50.91061
29,48.0,47.721146
30,54.0,48.19776
31,51.0,54.88035
32,69.0,55.802155
33,50.0,50.195103
34,60.0,54.36946
35,41.0,48.422806
36,41.0,48.907066
37,54.0,47.736343
38,60.0,52.236855
39,60.0,50.913628
40,60.0,49.60537
41,41.0,48.371353
42,66.0,54.133793
43,41.0,44.16504
44,51.0,55.74527
45,45.0,43.52563
46,44.0,45.987717
47,51.0,45.723213
48,50.0,48.490158
49,41.0,49.391136
50,54.0,52.620644
51,66.0,61.738228
52,51.0,49.90333
53,45.0,47.94304
54,54.0,55.202587
55,41.0,43.477917
56,54.0,53.21055
57,86.0,61.194424
58,60.0,52.72544
59,41.0,47.595486
60,50.0,43.434547
61,48.0,50.325844
62,47.0,42.621067
63,41.0,45.366257
64,63.0,62.10189
65,60.0,58.13704
66,69.0,57.134796
67,45.0,44.93576
68,51.0,50.68499
69,51.0,53.28468
70,41.0,50.62515
71,57.0,50.006046
72,41.0,43.731785
73,45.0,49.283543
74,44.0,48.8911
75,41.0,48.007893
76,41.0,45.218723
77,41.0,45.752354
78,47.0,51.321655
79,51.0,49.991734
80,41.0,44.76106
81,41.0,47.10715
82,63.0,55.278873
83,57.0,42.555477
84,41.0,48.582264
85,48.0,49.924862
86,66.0,49.117004
87,41.0,42.524563
88,45.0,47.23236
89,60.0,46.545067
90,48.0,45.92692
91,45.0,44.413647
92,57.0,49.28545
93,48.0,51.3183
94,41.0,48.424084
95,51.0,56.678104
96,51.0,52.776833
97,57.0,53.152153
98,45.0,49.767853
99,41.0,43.16007
100,54.0,53.392487
