,MANIA,0
0,41.0,49.227196
1,60.0,59.297874
2,45.0,48.691006
3,54.0,53.872894
4,45.0,45.80138
5,54.0,50.88326
6,57.0,51.760838
7,45.0,47.35201
8,41.0,43.372684
9,48.0,55.583347
10,41.0,46.39142
11,41.0,46.22979
12,54.0,59.727604
13,63.0,54.838997
14,41.0,40.416683
15,48.0,47.91782
16,41.0,45.486412
17,54.0,45.600548
18,48.0,44.582954
19,60.0,51.072815
20,45.0,42.660145
21,77.0,64.80716
22,51.0,53.340725
23,50.0,50.98399
24,41.0,44.814632
25,41.0,49.50368
26,60.0,50.22667
27,44.0,42.98468
28,41.0,47.93468
29,48.0,53.943542
30,41.0,47.03177
31,44.0,40.821632
32,54.0,54.55313
33,41.0,46.62778
34,51.0,53.188618
35,48.0,52.656525
36,44.0,51.84446
37,41.0,46.095905
38,41.0,47.584393
39,41.0,43.658375
40,41.0,47.428886
