,MANIPULATIVENESS,0
0,0.75,18.767778
1,0.5,14.474666
2,0.25,12.11299
3,1.25,17.036772
4,2.0,22.187067
5,0.0,14.787662
6,0.5,10.477577
7,0.25,8.045234
8,0.5,19.63973
9,1.25,14.001071
10,0.75,13.201989
11,0.5,13.837189
12,1.5,21.911098
13,0.0,10.651212
14,0.0,12.307192
15,2.25,21.16129
16,0.0,14.854204
17,0.5,11.90817
18,1.0,21.399092
19,0.5,17.893507
20,0.5,14.009107
21,0.0,11.094422
22,0.0,8.093622
23,0.5,11.503303
24,0.5,13.945569
25,0.25,16.066914
26,0.5,13.160487
27,0.5,18.953287
28,1.25,18.935638
29,0.75,8.197783
30,1.25,11.407242
31,2.0,14.211072
32,0.25,10.644589
33,1.75,19.845287
34,0.5,13.293984
35,1.5,12.458222
36,1.0,14.321092
37,0.0,13.026757
38,1.5,16.942343
39,0.75,11.054574
40,0.25,9.765947
41,0.5,11.671157
42,0.0,5.296144
43,0.75,12.829137
44,0.75,19.899324
45,0.0,11.706349
46,0.75,15.15706
47,0.25,20.034004
48,1.0,17.045532
49,0.0,12.492654
50,0.75,14.4050045
51,0.25,6.9988894
