,MANIPULATIVENESS,0
0,1.0,13.933257
1,0.25,12.479197
2,0.5,12.45774
3,0.75,4.874828
4,0.5,10.12254
5,1.75,17.93197
6,0.25,15.53121
7,1.75,15.738624
8,0.5,10.698823
9,0.25,10.862897
10,1.25,18.119022
11,0.0,12.428728
12,1.75,17.290403
13,1.5,17.350138
14,0.0,12.292346
15,0.0,10.715339
16,0.75,17.558893
17,0.75,8.865998
18,0.5,8.935071
19,2.5,17.492874
20,0.75,13.021295
21,0.75,10.790124
22,0.25,10.473304
23,0.0,12.721833
24,0.25,16.440046
25,0.25,13.544478
26,0.5,7.538622
27,0.0,12.030988
28,0.25,11.559115
29,0.0,15.517434
30,1.25,13.047193
31,1.75,18.032543
32,0.25,11.803559
33,0.25,13.47972
34,1.0,16.152033
35,0.25,6.871894
36,1.5,10.830985
37,0.75,14.097095
38,1.5,12.524905
39,0.25,15.01691
40,0.0,17.011581
41,0.0,11.831938
42,2.5,11.379153
43,1.0,13.259387
44,2.25,18.155293
45,0.0,10.887075
46,2.5,18.297964
47,0.25,15.773507
48,0.75,13.482315
49,0.75,14.772818
50,0.5,15.678725
51,0.5,9.916479
52,2.75,17.897661
53,2.25,19.179287
54,0.75,15.679198
55,0.75,14.986192
56,0.5,13.914262
57,0.5,15.397027
58,1.25,13.321805
59,0.25,8.171115
60,1.25,18.628046
61,2.25,15.9457855
62,0.0,12.399068
63,1.5,14.316953
64,0.25,11.025677
65,0.25,5.1857004
66,0.0,13.132813
67,2.25,18.923439
68,0.0,15.293799
69,2.25,16.25498
70,0.75,11.3095045
71,0.0,13.1594
72,1.25,17.547258
73,0.25,12.072173
74,1.5,12.765236
75,1.0,13.875304
76,0.0,19.567665
77,0.25,14.062179
78,1.0,14.52378
79,2.0,18.163546
80,0.0,12.762084
81,0.75,12.518933
82,1.25,15.195985
83,0.0,14.600819
84,2.0,21.45543
85,0.25,10.228411
86,1.0,16.074453
87,0.25,18.389626
88,0.0,11.1458025
89,0.0,10.530154
90,1.25,18.195402
91,0.0,11.833425
92,0.25,9.798464
93,1.0,16.232847
94,1.25,16.31732
95,1.25,16.176151
96,1.0,12.925809
97,1.0,14.67979
98,0.0,14.276203
99,1.25,9.906796
100,0.75,10.703069
101,1.25,12.77426
102,0.0,16.911823
103,2.0,9.084963
104,1.75,14.687565
105,2.25,16.1006
106,1.25,13.624761
107,1.0,17.668934
108,1.5,23.777882
109,0.75,12.8543215
110,1.25,16.48361
111,1.75,19.164162
112,0.5,8.425273
113,0.0,10.2031975
114,0.0,9.532798
115,1.0,13.788655
116,1.0,12.188096
117,0.75,11.788453
