,MANIPULATIVENESS,0
0,0.0,11.060974
1,0.0,13.334346
2,1.25,14.91735
3,0.25,13.090053
4,0.75,12.328671
5,0.0,12.057664
6,0.5,13.888807
7,1.5,16.748785
8,0.25,7.521917
9,0.25,9.075513
10,0.75,14.65263
11,0.5,11.93118
12,0.0,12.571665
13,2.0,17.331429
14,2.0,13.091616
15,1.5,19.696432
16,0.75,15.024771
17,0.5,14.24546
18,0.75,14.281049
19,0.25,14.080377
20,1.0,9.627795
21,1.0,11.708768
22,0.75,5.9446635
23,0.0,15.229503
24,1.25,15.659428
25,1.0,16.114403
26,0.25,14.099741
27,0.25,16.732996
28,0.0,14.49205
29,0.0,7.7220263
30,0.25,15.890843
31,1.5,11.837113
32,0.25,15.971927
33,1.0,13.264762
34,0.5,15.350432
35,0.25,8.17373
36,1.5,18.878496
37,1.75,9.884044
38,0.0,12.92152
39,1.0,14.814736
40,1.25,11.690776
41,1.0,17.148798
42,1.25,17.380663
43,1.25,16.125328
44,3.0,21.097334
45,1.0,17.620123
46,2.25,15.11107
47,0.75,13.260999
48,2.75,21.005701
49,1.25,17.514095
50,2.25,16.661722
51,0.0,12.808888
52,0.0,9.980508
