,NEG_EMOT,0
0,47.0,22.774832
1,44.0,20.649343
2,44.0,14.013386
3,61.0,24.272104
4,61.0,23.432686
5,68.0,23.579319
6,65.0,24.905718
7,47.0,19.491331
8,58.0,24.461882
9,51.0,22.008879
10,54.0,22.547865
11,54.0,21.70218
12,44.0,24.292337
13,44.0,20.746508
14,44.0,19.565405
15,61.0,24.153887
16,47.0,20.265783
17,44.0,20.571825
18,51.0,19.75033
19,72.0,19.885664
20,58.0,22.441486
21,51.0,23.820997
22,54.0,19.031738
23,58.0,21.685986
24,65.0,26.260048
25,58.0,24.254639
26,47.0,20.571482
27,47.0,19.615671
28,37.0,21.488035
29,47.0,20.436506
30,61.0,22.108625
31,51.0,21.132036
32,51.0,23.584982
33,47.0,19.090395
34,51.0,22.05864
35,44.0,19.294538
36,51.0,19.834433
37,54.0,23.550983
38,58.0,20.910368
39,40.0,17.770952
40,51.0,20.249296
41,47.0,20.588614
42,47.0,22.251366
43,65.0,21.568977
44,37.0,21.297968
45,37.0,17.45042
46,61.0,26.2563
47,47.0,22.144575
48,47.0,20.461279
49,65.0,23.439718
50,47.0,20.636423
51,68.0,26.267078
52,44.0,22.825874
53,54.0,23.040264
54,37.0,19.479301
