,NEG_EMOT,0
0,44.0,19.869768
1,51.0,22.544405
2,51.0,22.518713
3,82.0,27.29273
4,61.0,22.948832
5,51.0,22.527367
6,37.0,19.16839
7,47.0,17.24351
8,58.0,21.111242
9,40.0,16.804525
10,44.0,23.856619
11,54.0,24.258245
12,68.0,25.713526
13,54.0,23.269514
14,44.0,19.26734
15,58.0,22.889677
16,51.0,21.200571
17,54.0,24.633482
18,54.0,24.150919
19,61.0,23.646791
20,68.0,25.189194
21,58.0,23.504557
22,51.0,19.491262
23,51.0,21.25979
24,44.0,20.299387
25,33.0,18.560324
26,61.0,25.638933
27,51.0,22.797077
28,40.0,18.681402
29,37.0,20.545755
30,33.0,20.923008
31,47.0,23.100506
32,44.0,22.577131
33,54.0,20.859303
34,47.0,22.903906
35,54.0,25.525745
36,44.0,19.061834
37,37.0,17.671041
38,54.0,23.222029
39,61.0,26.496672
40,44.0,19.308502
41,58.0,23.230917
42,44.0,22.36225
43,65.0,23.072962
44,54.0,22.749895
45,54.0,22.561548
46,51.0,22.678198
47,68.0,20.088125
48,51.0,23.245197
49,51.0,20.801485
50,37.0,16.425201
51,44.0,19.939028
52,51.0,19.49226
53,44.0,16.832954
54,51.0,19.973925
55,58.0,23.280127
56,61.0,26.740896
57,58.0,22.673426
58,47.0,23.630426
59,40.0,17.902851
60,51.0,22.03177
61,51.0,19.6819
62,54.0,21.100552
63,54.0,22.431774
64,33.0,20.300493
65,58.0,23.182749
66,47.0,15.660128
67,54.0,19.815836
68,37.0,19.690987
69,65.0,23.401545
70,54.0,18.657265
71,65.0,25.79949
72,68.0,29.444704
73,33.0,20.64705
74,54.0,20.8635
75,37.0,18.689926
76,54.0,21.498951
77,44.0,21.709599
78,54.0,18.239948
79,51.0,18.034842
80,47.0,24.911839
81,40.0,21.002125
82,68.0,23.574152
83,58.0,24.416967
84,37.0,17.683458
85,54.0,22.766542
86,33.0,21.221636
87,61.0,23.69265
88,75.0,22.576555
89,54.0,20.23187
90,51.0,22.815681
91,47.0,16.937239
92,51.0,23.62219
93,47.0,17.847292
94,51.0,18.64879
95,47.0,17.647066
96,51.0,22.668877
97,40.0,18.541487
98,65.0,22.453993
99,54.0,23.879301
100,33.0,19.689829
101,44.0,25.710615
102,44.0,18.626228
103,40.0,22.917177
104,61.0,24.288616
105,44.0,19.93737
106,68.0,25.804762
107,54.0,21.964132
108,54.0,23.021631
109,61.0,20.166155
110,51.0,22.139845
111,51.0,22.40582
112,47.0,23.018644
113,65.0,24.8033
114,47.0,23.705603
115,44.0,20.276926
116,65.0,20.936876
117,33.0,19.99593
118,54.0,18.900606
119,33.0,15.5856695
120,33.0,23.969206
121,47.0,23.21504
122,58.0,22.54946
123,51.0,20.099848
124,61.0,24.014597
125,44.0,21.99486
126,58.0,22.777124
127,65.0,22.681532
128,58.0,22.73906
129,37.0,18.804577
130,54.0,23.516834
131,68.0,21.183512
132,33.0,21.019417
133,51.0,23.768642
134,72.0,20.589596
135,51.0,20.80561
136,44.0,18.14831
