,NEG_EMOT,0
0,54.0,19.145897
1,51.0,22.51994
2,51.0,21.56386
3,37.0,23.12283
4,65.0,21.738085
5,37.0,18.080603
6,65.0,24.04828
7,47.0,22.434727
8,58.0,18.475716
9,44.0,18.446333
10,47.0,21.765455
11,44.0,22.609213
12,44.0,22.491573
13,61.0,22.330656
14,54.0,25.534763
15,47.0,19.383348
16,37.0,18.77979
17,47.0,18.538366
18,54.0,20.280827
19,58.0,21.981524
20,58.0,23.036337
21,51.0,21.67073
22,37.0,15.664637
23,61.0,21.370638
24,33.0,17.339949
25,51.0,20.62802
26,54.0,22.277964
27,54.0,22.301796
28,44.0,21.070847
29,44.0,21.37359
30,68.0,23.48877
31,61.0,26.208769
32,51.0,19.049683
33,44.0,16.476336
34,47.0,16.396734
35,37.0,23.139889
36,33.0,21.363546
37,47.0,21.657557
38,68.0,24.749731
39,47.0,19.7078
40,54.0,20.511362
41,44.0,20.864796
42,51.0,22.292978
43,54.0,21.349272
44,47.0,21.146065
45,47.0,21.6516
46,51.0,22.195055
47,47.0,20.390886
48,65.0,27.393728
49,58.0,19.65342
50,61.0,22.133074
51,47.0,21.242167
52,75.0,25.343044
53,54.0,22.696253
54,47.0,20.663
