,OMN,0
0,45.0,48.550724
1,65.0,67.960846
2,45.0,57.378353
3,80.0,79.687454
4,80.0,59.497097
5,60.0,59.843277
6,5.0,34.92027
7,80.0,48.61065
8,60.0,68.49465
9,40.0,54.5232
10,10.0,50.275555
11,80.0,72.73682
12,60.0,65.49907
13,60.0,71.2977
14,60.0,63.246223
15,60.0,69.36268
16,40.0,38.798126
17,5.0,39.83101
18,40.0,41.34494
19,5.0,62.855972
20,80.0,60.202312
21,85.0,91.3093
22,20.0,54.23559
23,20.0,41.69749
24,20.0,25.492353
25,95.0,80.55214
26,20.0,62.672535
27,100.0,75.814354
28,95.0,55.789738
29,85.0,56.312794
30,65.0,58.06628
31,80.0,54.72892
32,60.0,65.92358
33,80.0,56.587788
34,100.0,82.57068
35,80.0,74.67342
36,60.0,66.0737
37,60.0,58.71807
38,45.0,56.368843
39,45.0,44.870014
40,40.0,51.84724
41,40.0,51.356777
42,25.0,41.871597
43,25.0,45.05858
44,45.0,44.803722
45,80.0,58.81339
46,45.0,57.656315
47,60.0,36.664917
48,40.0,65.78954
49,85.0,66.07954
50,40.0,52.87653
51,45.0,53.26613
52,60.0,69.72418
53,10.0,39.542973
54,10.0,46.33761
55,20.0,35.420284
56,100.0,69.32667
57,80.0,43.541904
58,40.0,52.924618
59,10.0,34.390488
60,25.0,34.57436
61,40.0,37.962444
