,OMN,0
0,60.0,49.3049
1,60.0,60.314415
2,5.0,22.334288
3,80.0,53.215775
4,80.0,62.204956
5,40.0,48.105167
6,20.0,37.43153
7,45.0,52.381363
8,95.0,76.45157
9,20.0,30.552914
10,5.0,24.198278
11,20.0,35.114513
12,5.0,36.148212
13,60.0,62.78296
14,80.0,80.65315
15,80.0,82.947586
16,95.0,83.554924
17,100.0,57.941257
18,40.0,34.635677
19,5.0,39.383293
20,60.0,66.67414
21,60.0,57.102345
22,20.0,37.51623
23,10.0,16.409077
24,5.0,53.761875
25,20.0,54.421566
26,25.0,44.73096
27,80.0,70.4986
28,95.0,83.86763
29,10.0,49.94576
30,65.0,65.3653
31,10.0,47.20383
32,40.0,49.506992
33,60.0,74.81652
34,60.0,45.952385
35,80.0,73.107834
36,20.0,32.872337
37,60.0,56.446133
38,60.0,57.018585
39,10.0,54.83822
40,45.0,62.71662
41,5.0,49.793835
42,45.0,60.128376
43,60.0,57.782543
44,95.0,63.491493
45,40.0,50.01856
46,60.0,62.502563
47,45.0,53.358685
48,10.0,47.149868
49,45.0,75.82834
50,20.0,42.698425
51,40.0,37.691696
52,95.0,63.206703
53,80.0,71.36637
54,100.0,40.18557
55,40.0,41.72989
56,5.0,31.531502
57,10.0,62.989132
58,60.0,52.647877
59,10.0,22.678446
60,40.0,52.655582
61,95.0,50.62061
62,10.0,38.406563
63,60.0,56.28574
64,20.0,46.054035
65,10.0,22.595333
66,100.0,87.806015
67,10.0,18.699131
68,80.0,69.402855
69,95.0,65.611015
70,95.0,79.73563
71,80.0,77.51651
72,10.0,34.434277
73,10.0,13.438266
74,10.0,37.21325
75,20.0,45.272343
76,80.0,56.259094
77,80.0,72.188324
78,10.0,43.77917
79,10.0,55.80336
80,5.0,38.3911
81,80.0,66.36957
82,45.0,64.56381
83,25.0,30.833723
84,100.0,74.74187
85,20.0,42.816288
86,20.0,54.824963
87,10.0,47.281773
88,10.0,54.928165
89,25.0,64.36071
90,40.0,53.75395
91,45.0,63.54
92,60.0,64.047195
93,65.0,52.89751
94,10.0,16.10092
95,60.0,76.260086
96,100.0,93.34657
97,95.0,54.47289
98,80.0,45.56416
99,80.0,76.9269
100,80.0,62.598896
101,20.0,58.678955
102,40.0,48.999783
103,85.0,69.472595
104,10.0,47.317963
105,40.0,48.396408
106,65.0,57.957676
107,20.0,44.07111
108,5.0,18.73927
109,60.0,60.715824
110,80.0,82.06511
111,40.0,53.43358
112,45.0,58.064438
113,95.0,81.66899
114,85.0,67.24886
115,65.0,52.02084
116,40.0,51.054966
117,20.0,55.507656
118,40.0,57.83399
119,10.0,59.76102
120,10.0,29.529541
121,40.0,45.06532
122,5.0,42.543037
123,60.0,68.57477
124,65.0,57.781673
125,60.0,68.108864
126,100.0,53.33229
127,95.0,62.88219
128,10.0,43.437767
129,60.0,72.08355
130,20.0,45.147717
131,60.0,61.421833
132,20.0,22.260115
133,5.0,9.514233
134,40.0,66.145615
135,20.0,49.528595
